,CommentsStars,CommentsContent
0,5.0,                       so i normally use my ninja foodie which is really expensive  so i did a comparison between the   and this air fryer cooks exactly the same as my foodie  same cook temp  time and everything   i do like the look of this one better and it has replaced my foodie on the counter lol i love the ease of use of the buttons and the display looks very nice and clean  i love the basket release button its not come loose on me at all so far  it s also square and fits food better inside than the foodie does  it also fits a lot better on my counter  it s very easy to clean and easy to check on food during cooking and the food tastes great  this actually seems to cook a tad hotter than my ninja so i can probably even do less time on meals  i love the reheat button  my kids love how reheated pizza comes out in it  ribs come out amazing in here  i baked them and then added bbq sauce and air fryed about    minutes   i would definitely recommend this air fryer  will update if i find any complaints after longer use      
1,5.0,                       i ve been wanting an air fryer for a long time and i finally made the plunge  this air fryer got some many   star reviews i had to get it  the basket is huge and fits a lot  first time trying it and we made wings  tip  if you want crispy wings shake some baking powder on them  they came out super crispy compared to my first batch  highly recommend this airfryer  it s quite  easy to clean  and cooks amazing   a must buy      
2,5.0,                       i m so in love with this machine  it was super easy to set up the instructions are very clear  it was easy to use  easy to clean  i was afraid that it would take the food flavor away but no it didn t it actually leaves a really nice crispy flavor on my wings that i made the most that i love about use it is that i don t have that many dishes to wash lol and since the basket it s big enough to make food for my family of   it s easy to wash also  this air fryer it s a must have for everyone i just love everything about it        
3,5.0,                       while i am generally going to praise this unit  please do know that it is a lower priced unit with a lot of plastic   i found this out by accidentally letting the drawer bang on the granite counter  resulting in plastic clips which hold the front cover together breaking off   however  the unit still functions  looks like it has a loose bumper  and amazon has offered to replace the unit even though i said it was my fault and was inquiring about a replacement drawer  foolish me  soooo     for the price this unit cooks great  has great capacity and is easy to use and easy to clean   this is our first air fryer and it works better than expected   don t expect deep fryer results  but expect most of the way there with much more healthy results my adult aged son is a picky eater  doesn t cook much  but he loves fried foods   he s taken to the air fryer very quickly and makes his own mozzarella sticks  fried tofu and more   that s the result we wanted      
4,5.0,              your browser does not support html  video                          i have a ninja air fryer  but i needed   air fryers  buying another ninja is expensive          so i relied on our old friend amazon cutting the store lines and expensive brands wish i would have bought this instead of splurging that much on a ninja  it s smaller but it does the same  crispy fries and crispy chicken  on top of the air fryer it guides you with the proper temperature for each food group  no more guessing  will buy some for christmas gifts  hope this helps you save money and time as it did for me      
5,5.0,              your browser does not support html  video                          wow   so convenient an easy to use  i m hooked   i cooked frozen tacos an burritos in    mins an they are very crispy an delicious    love   this product  worth the money  now to go grocery shopping      
6,5.0,                       i loved how easy the air fryer was to set up and use  i started using it the same day i received it  i got it because i m going on a journey to be healthier and it honestly helps  there is virtually no mess  so quick and easy which so many other options  not just air frying  i ve been using it atleast twice a day       
7,4.0,                       my wife loves this machine she hasn t cooked with  anything else since xmas easy clean easy to use awsome flavor a must have  the only reason for the   stars instead of   is that it advertises     free recipes included  but it doesnt i tried to reach out to the company using  the email address giving to me on the instruction  booklets and it says not a valid e mail address  so i looked online and found a company  email address but no response but that doesnt take away from the product it works awsome update i know alot of people are complaining about not being able to find the     recipes believe me it was a pain in the a but i hope this helps on the description  look real close for application pdf it s really small u will need to download a pdf reader i use adobe acrobat  reader in ur play store it s free after u install the pdf reader press application pdf and waka theres ur     recipes comfee promised good luck     
8,4.0,                       only used it about    times so far  i have over under cooked a few things   i have so far found that baking pillsbury grands took a little more time than online recipes  lower heat as well   apparently it takes very little oil spray to brown  mine overbrowned and undercooked in the middle   french fries after a couple of tries came out well  this is a basic  cheap  model  i did not want to blow a lot of money on something that i did not know if i would like  the only downside i see is that the timer is a dial and apart from    min intervals it s hard to get accurate  is t    or    on the deal   for the money it s worth it  when done correctly the food does taste good      
9,5.0,                       i m blown away by the tastiness of the food coming out the air frier   also saves time compared to using an oven   cuts time to cook in almost half   it cooks fried food great  tastes basically like a real deep fry with a lot less calories  quicker  and a lot easier clean up   it also can bake and reheat items really well   things like eggo waffles or pancakes come out great i haven t tried the dehydrate function but it s also advertised as doing that other reviews mentioned problems with the basket   i have experienced none of those issues   there s a button that has a flap that is used to control that function   and it s very easy to not press   especially because it is protected by a plastic cover   so all in all  it cooks great and i didn t have any problems other reviewers mentioned   very happy with my purchase     
10,4.0,                       so  my friends are all super in love with their air fryers   i m less impressed   it turned a frozen burrito into a hard block   it only cooked one side of the grilled cheese  and took a while doing it   i will admit  that it reheats takeout fries like a dream   and mr loves it for his tots   i just expected to like it more  use it more   i m going to try baked potatoes next  i think   the girls said they loved them in it   we ll see   i imagine as i get used to it  it ll probably be good   my niece loves theirs  and uses it all the time   i m probably just weird   nothing new there      
11,4.0,                       i like mostly everything about this air fryer  it s my new favorite appliance  it makes the crispiest fried chicken and it s great for cooking single servings or enough for    the only thing i didn t like was the numbers and all of the lettering completely wiped off after the first use  overall a great product but now i have to guess the temperature i m cooking my food at      
12,5.0,                       i ordered this to use as a dehydrator to make backpacking meals  works like a charm  the basket is large enough to hold a decent amount of whatever i m dehydrating and the machine dehydrates evenly and thoroughly when shaken well in the middle of the dehydrating cycle  i haven t used it to cook with yet since my intention was to use it as a dehydrator but based on my experience so far  this machine should work exceptionally well for cooking too      
13,5.0,                       bought for my mom  i love her and want her to be around for many more years  she was eatimg alot of microwave food  saw your product and had to get it for her what a wonderful invention  easy to use  even let s you know when to shake  no fuss clean up  healthy cooking in minutes  i want one myself  easily best thing i ever gave my mom  thank you for this     
14,5.0,                       my air fryer came on time  we are loving it    it is so basic and easy for my   yr old son to use to make his fries  it even beeps half way through your cooking time to let you know to shake your food  no more oven for easy and light dishes  this is the appliance to have  the taste of the food that i have tried so far are really tasty and delicious  no mess   no grease  no hard cleaning      
15,5.0,                       this is such a game changer for me  i rent a room and don t have access to a kitchen  this air fryer is amazing  i decided to try salmon first and it came out perfect    the fryer itself is super easy to operate   clean      
16,5.0,                       very nice and easy to use   the images on the top of the air fryer provide temperature information but the book provides guidelines on length of time to cook the food  having the air fryer has made life easier  no messy oil cleanup and no lingering fried oil smell in the house which i used to hate  this was definitely well worth the money      
17,5.0,                       i love this air fryer  it was so easy to use  it came with easy to read instructions i made some onion rings n they came put super crisp as if i had fried them in oil certainly a way better alternative than frying  i cant wait to try other things  i am so amazed and in love  i cant get over how simple it is to use  i highly recommend      
