,CommentsStars,CommentsContent
0,5.0,                       this has tons of room   i use this as my work bag  plenty of room for everything i need   it has lots of pockets to keep everything organized   well made      
1,5.0,                       this backpack is great  it has lots of storage space and it s just darm cute  i love the fact that it has side pockets inside and outside  the day i recieved it  it was raining hard  i tested it and my paper books are dry  i usually carry a medium backpack for everyday use  and with this upgrade to a large  being able to hold all my items with extra space  has been wonderful  totally recommend      
2,5.0,                       i really like this backpack  it s super cute and well made  i love the patterns  i have the pink floral one  it s big with lots of pockets for storage  it would be perfect for carrying a laptop  although i don t use it for that  the main pocket opens up really wide so it s easy to access everything inside  it would be good for traveling as it has a strap to hook it on your suitcase and it s super spacious  i mainly use it as my everyday bag for work  but i m planning on also using it when i go on trips because it s honestly such a great backpack  i love it and i d definitely recommend      
3,5.0,                       i use it for work  large to carry lots of stuff  i love the zipper closure   many compliments      
4,5.0,                       omg  i love this back pack  it has so many zippered pockets for things to hold them inside  even a place to hold my water bottle  excellent product  i ll use this for years to come   thank you so much        
5,5.0,                       literally the best backpack ever  it s very sturdy  great storage capacity  and fashionable  can fit normal purse items along with laptop and two large text books  the side pockets for water bottles easily fits my    oz bottle      
6,5.0,                       i love this backpack  i am a college student and this backpack is perfect for me needs  very protective for my laptop and ipads and the sleeve for electronic devices is slightly higher on the inside so if you sit your backpack down a bit quickly without thinking they don t hit the ground hard  a good amount of pockets and space and it even charges my phone  great great purchase i m surprised it isn t more expensive  oh and i also like that it has pockets for a waterbottle or umbrella that aren t mesh and that it has both backstraps but also purse handles if you choose to carry it that way      
7,5.0,                       i now have two of their bags and i love being able to consolidate my laptop and work items with my personal items i would carry in my purse  the bag is cute enough to not need a purse sometimes      
8,4.0,                       this backpack is the bombdotcom  my daughter just started middle school and all her stuff woukd not fit in the standard backpack so i searched for a new one and finally found this one  it is awesome and the way it opens up it cool  the only negative is it is extremely hard to close  it has to be lined up perfect in order to zip      
9,5.0,                       it s perfect for what i needed  it is huge i carried     bags to work every day  this bag took it down to    love  love  love all the pockets and organizations  the pictures don t do it justice  it s sitting beside a  gal aquarium and i could literally fit the aquarium inside this bag      
10,5.0,                       i m very pleased with my backpack  it s so roomy and perfect for work   they thought of everything that i may need   it s not only very practical but very stylish as well   i highly recommend     
11,1.0,                       save your money  after using this backpack for   months  the strap began to detach from the pack  then zipper teeth fell off the zipper which cause one zipper to fall off  then the final zipper did the same and now the backpack is no longer usable  when i contacted the seller about the strap they told me  basically   too bad  you re out of the return window  move on to a different brand   this company s backpacks will cost you twice the amount when you have to replace it      
12,5.0,                       i ordered this bag  along with others  to be used for a personal item during a multi continental  trip  i chose this one over the other options because of its space and the way it opened  it was also the cheapest of the choices  this bag exceeded my expectations and was the right choice  this bag endured   long flights  i stuffed it way beyond capacity  with enough clothes for   or days  it held up extremely well  i was able to put spare shoes in one side pocket with a water bottle in the second  i used the front pocket for toiletries  the built in charger was also an added bonuses  i did have to remove the items from the side pockets to be able to fit the bag under the seat on the plane  i loved the extra straps at the top that gave you the option of carrying it instead of wearing like a backpack  purchase this bag  you won t regret it      
13,5.0,                       so far i am loving this backpack  it has so much space  but even when it s full it doesn t bulge out and become huge wide like many other backpacks  the main reason i was backpack shopping in the first place   right now it is holding my laptop  giant calculus textbook  a notebook  a whole set of extra clothes  and various other things such as chargers and a pen bag  so useful the only negative i have to say is that i wish it didn t have the handles on top or it would be nice if they would at least lay flat  instead of sticking straight up       but that is a minor complaint        
14,5.0,                       i absolutely am obsessed with this bag   so cute and so much storage   as a busy college student in medical school and mom i knew it would be perfect for me and i was so impressed when it arrived   it rains a lot where i live so being waterproof was super important to keep my computer and electronics dry while walking through campus     stars       
15,5.0,                       great backpack     nice and roomy  it poured down raining  st day i used it and nothing in bag got wet  i was so happy  i get lots of compliments      
