,CommentsStars,CommentsContent
0,3.0,                       so this box of bandaids was smashed when i got it    so i couldn t put the bandaids in the medicine cabinet because the box wouldn t stand up   i miss the metal containers   also for some reason they didn t agree with my skin     when i removed them after   day it left red marks   maybe i am alergic to something in them      
1,5.0,                       we ve used this product for years and are completely satisfied with the quality   great price      
2,5.0,                       love these band aids   super comfortable   and with a large box   will last through many wounds     
3,5.0,                       no complaints      
4,5.0,                       the real thing     
5,5.0,                       significantly lower in price that cvs store and in quantities that cvs never stocks      
6,4.0,                       i like this flexibility fabric band aid better than the water block one   it can use longer  stay more comfortable  and easy to take it out  and the price is valuable  it has     piece with   different size  one thing i don t like is  i need to find the small container to organize these band aid  so  i still like to buy it again      
7,4.0,                       adhesion is better than other brands  but the price is not cheap      
8,5.0,                       arrived on time and packaged week  the bandaids are as advertised sticks well      
9,5.0,                       way cheaper then buying at a big box  and has a ton of sizes and shapes      
10,5.0,                       thank  shipping was fast     
11,1.0,                       the product is great  but it looked like someone jumped all over it      
12,1.0,                       both band aid boxes were delivered completely smashed      
13,5.0,                       they cover your boo boos and don t randomly fall off because of getting wet or activity  good to go      
14,5.0,                       i decent band aid that moves like you do      
15,5.0,                       the price is affordable but the quality is so good      
16,5.0,                       great value  bandaid products are the best      
17,5.0,                       top quality  comfortable      
18,5.0,                       like the product has worked great as needed     
19,5.0,                       they keep your blood from getting everywhere     
20,5.0,                       good sticking strength unlike some plastic ones i ve used and gotten frustrated with   these are exactly what i was hoping for      
21,5.0,                       great variety   quality  no complaints      
22,4.0,                       i always go for the flexible fabric bandaids  our bodies are in motion   so the bandaid moves with you   the box has several assorted  sizes  is a great choice to have options      
23,5.0,                       best flexible fabric bandages on the market  ever  i keep a stash of these at home  car  suitcase  purse and the quality and effectiveness is unmatched by cheaper competitors      
24,5.0,                       great band aids      
25,5.0,                       decent brand long time favorite  i prefer this brand to all others     
26,5.0,                       good quality and adhesion     
27,4.0,                       good product  slow reciept      
28,5.0,                       perfect    good price too     
29,5.0,                       it s hard to find a bandaid that stays on   these are wonderful   i kept searching my pharmacy to no avail   then  ding  it dawned on me to look on amazon  and there  they were   hard to put a price on a bandage that stays on and may be a little more expensive  that a cheaper one that does not stay on   i really love these   and  they actually are priced in line with the others      
30,4.0,                       other plastic things are useless  these stick under water  love them  will never buy anything else      
31,4.0,                       this is a very plain product to review  but i often go through many bandages  and this seems to be one of the better items for price quantity  i can t recommend it for outdoors sports use  however   they sell more durable ones with stronger adhesive if you need them for that purpose      
32,5.0,                       good value      
33,5.0,                       great deal      
34,5.0,                       a           
35,1.0,                       don t buy these  they do not stick to the skin the easily      
36,5.0,                       what s not to like      
37,5.0,                       they cover my cuts well      
38,5.0,                       i would buy again great product     
39,3.0,                       as promised but packaging was non existent  so baisically i received an envelope with a crushoed box and     loose  band  aids  not a big problem  just kinda shabby      
40,5.0,                       works good  maybe will buy again      
41,5.0,                       excellent     
42,5.0,                       good brand  good quality      
43,5.0,                       for use in laboratory environment     
44,5.0,                       does what it promises     
45,2.0,                       made in china  the band aids are fine  but the box they come in is junk the box these band aids come in don t let them selves well to storage  very thin and flimsy amazon grouping together reviews for different versions of this product leads to confusion  i purchased a     assortment box      
46,5.0,                       love it     
47,5.0,                       had to order these since no stores had stock  i m accident prone and always keep some on hand  these are great      
48,5.0,                       well  they do what they are supposed to do  just better than bargain brands       
49,5.0,                       unfortunately you can t find this brand anywhere in israel anymore  so glad i could buy these for a decent price here  best bandages in the world  perfect adhesion  won t go off that easily  and very confortable      
50,5.0,                       i have ordered these   times  highly recommended     
51,5.0,                       i love these flex bandaids   regular adhesive causes a reaction on my skin but these don t   they also don t wear out like the older style bandages      
52,5.0,                       great bandaids  our family loves the fabric bandaids because they seem to last longer  the pack has a variety of sizes that also works for little kids and adults alike      
53,5.0,                       very good      
54,5.0,                       i haven t used them yet  i hope i never have to but they are as advertised and quick shipping      
55,5.0,                       band aid is  by far  the best brand on the market for bandages   this particular purchase was needed for my daughter s hands and fingers   she works in a warehouse requiring significant manual labor resulting in extremely dry  cracked hands and box paper cuts on her fingers and hands  her hands are petite and regular work like gloves do not fit her properly and caused blisters so she had to go without gloves   these bandages acted  like gloves for her  they speeded up recovery of the wounds she d attained and prevented new ones from arising      
56,5.0,                       i think it s to do with the slightly rounded corners  i mostly end up using these on my toes or my feet  yes  toes are on feet  but they re a different beast to band aid   for blisters  or on fingers for paper cuts  or if i have a skritch from a cat   whatever my boo boo  these are my go to      
57,5.0,                       as expected     
58,5.0,                       great bandaid  flexible and vreathable     
59,5.0,                       i love these band aids     
60,5.0,                       i love this product      
61,3.0,                       band aid is a good product but i will not recommend this one there are only   sizes of band aids  they are very thin and not very strong  the box is very cheap so when it arrived  the box was already open and all the band aids are mixed together inside the envelope  i won t buy this again      
62,5.0,                       a wonderful pack of bandages for the value  and great to have on hand for a bathroom cabinet      
63,5.0,                       great bargain  value     
64,5.0,                       these bandages are reliable  they do not peel off in the shower  definitely water resistance and the adhesion last for a couple of days  also easy to remove and it doesn t hurt to peel off your skin      
65,5.0,                       i m very pleased that it brings all the sizes it says on the box  my band aids arrived on time and packaged really well      
66,5.0,                             
67,5.0,                       literally didn t even need this i just got carried away  they re band aids  fabric kind so you know they ll work great      
68,3.0,                       i thought it has a few sizes in the package but it s just two sizes only      
69,5.0,                       best band aid for me     
70,5.0,                       nice selection of top quality band aid brand fabric bandages      
71,5.0,                       good band aid pack  between my husbands construction projects and my kids i am confident we will use the entire package quickly  great band aids        
72,5.0,                       ready when i need them      
73,4.0,                       package was damaged when i received it and some bandaids fell out  other than that  still usable      
74,5.0,                       excellent product     
75,3.0,                       these band aids are okay for very small cuts  most of the band aids would not cover more than a small cut  there are very few that would be big enough to cover much more than a pin prick  the description say assorted sizes but most are small  would bot buy again  i need larger bandages and most of these are useless      
76,5.0,                       a lot for the price     
77,5.0,                       in the winter my fingers get sore n cracked from dryness  i apply vaseline and cover with a bandage  it stays on all day n nite  amazing      
78,5.0,                       these have always been my bandages of choice   this value pack is great and lasts a while      
79,5.0,                       love everything about this product     
80,5.0,                       satisfied with the purchase  the trust in band aid keeps pulling me away from buying other brands  the various sizes is a very good option to have in hand      
81,3.0,                       i love the cloth feel of these  and they don t irritate my skin   but what is super annoying is as soon as you put them on  they start shedding threads and i have to keep cutting the strings off   it s similar to an unfinished hem on cloth   it s just keeps  shredding off string by string   but they don t just fall off   you have to cut them off because there is still adhesive on one side and then your scissors gets gummy      
82,5.0,                       great addition to my first aid kit     
83,5.0,                       abrasions       
84,3.0,                       item came completely crushed  yet not seemingly from the other items shipped  as the box and packaging around it was all ok they re bandages  so most of them are still fine and usable  but some got torn  the picture is after i  fixed  the box by bending things back together and folding it up as best as it can be  definitely looked worse on opening still  shipping and packaging problems are shipping and packaging problems  the item itself works as you d expect it to  sticks on  covers a minor wound  can t complain about that      
85,5.0,                       they adjust to anywhere u put it on and they stay on when u use water     
86,1.0,                       band aids fray very quickly  its       there are so many different bandage company brands that are better in all regards  not sure why so many great reviews      
87,5.0,                       adhesive is strong  one of the best bandages out there      
88,1.0,                       got my package and it was ppen      
89,5.0,                       always have these in our home        
90,1.0,                       small bandaids  bandaid box was cheaply made and didn t hold in bandaids during shipment  wouldn t buy again  looking for something more substantial      
91,5.0,                       a great product thats flexible to cover many types of cuts and its nice to have a varied selection of sizes to better fit the actual size you need   got this at a great price making the purchase all the better   dont plan to have that many cuts during the year and will be sharing these with a neighbor      
92,4.0,                       excellent     
93,5.0,                       great to have in case of small injuu      
94,3.0,                       the band aid is not very waterproof  i took a bath on it and it fell off after a while     
95,5.0,                       sticks well  does the job as it should      
96,5.0,                       my wife has been buying the cheap bandages  i bought these and within five minutes of her applying it she remarked on how well it stuck and how it stretched when she moved to conform to her hand  she isn t going to buy any more of the cheap ones  skip a meal at mcdonalds and you will lose weight and be able to buy these good bandages      
97,4.0,                       good band aids     
98,5.0,                       i do not mind using generic medicines  but when it comes to adhesive bandages  i do prefer band aid over the generic store brands      
99,5.0,                       it is used for minor wounds      
100,5.0,                       lots of band aids  no funky shapes that you don t know how to adhere      
101,5.0,                       as always fantastic band aids with perfect prime shipping      
102,4.0,                       fast shipping  fair price      
103,5.0,                       and keep the clean   good product    covid    stinks       
104,5.0,                       old fashioned     
105,5.0,                       great quality and reasonable price      
106,5.0,                       great bandages     
107,5.0,                       these stay on   i don t mind that they sometimes leave a bit of stickiness when you take it off as they don t fall off my kids throughout the day even when it gets wet   the bandages prevent my little one from scratching his mosquito bites and he would forget to tell me if the bandage falls off   these stay on even in tricky locations  e g  bend of the leg  etc    also prefer them because they allow the wound to breath  there is no adhesive along the edges of the gauze  so you can keep a wound covered  but it still gets to breath      
108,5.0,                       product is perfect for my needs      
109,5.0,                       bought these to avoid going into the store and they worked great     
110,3.0,                       definitely not what i expected      
111,5.0,                       exactly what it     
112,5.0,                       perfect     
113,3.0,                       all the brands of bandages out there  band aid sticks the best  but has disappointingly mini sized the cotton part meant to cover wounds  that w antibiotic ointment or active bleed  comes through      
114,5.0,                       good     
115,4.0,                       good value and works well   not water resistant tho box came smashed but bandaids were fine     
116,5.0,                       good product     
117,5.0,                       great variety pack     
118,5.0,                       fsa purchase not rocket science they work     
119,5.0,                       after throwing my box of misfit bandaids out the window  i picked them up to avoid being a litterbug   i opened my new band aid brand band aids with excitement and relief  then i realized i no longer had an injury to patch up  but held firm in my confidence that my next cut  scrape  puncture  etc  will not suffer the embarrassment ad wastefulness of weak adhesion  requiring repetitive replacement throughout the day  to quote the tune that has jingled in my ear since  i was a young boy   i am stuck on band aid because band aid s stuck on me      
120,5.0,                       great bandages easy to remove i m stuck really good     
121,5.0,                       put on it stays     
122,5.0,                       these are the best   my daughter can wear them an entire day at the pool and they stay on   best bandaids i ve ever bought for water use      
123,1.0,                       came all busted up    missing bandaids     
124,5.0,                       best sticking flexible fabric band aids      
125,5.0,                       takes the little hairs off with them but that s the sacrifice for super adhesion  best band aids out there      
126,5.0,                       large box  good value     
127,5.0,                       great bandage  adhere well  even when in the ocean      
128,5.0,                       brand name quality  but still at a better price than my neighborhood store  walgreens duane reade   the flexible fabric sticks better versus sheer clear  if you want it to really stay on your finger  etc   even through hand washings  get it to stick to itself as you wrap it around your finger  i can t accurately describe this in words  but i think you know what i mean  haha      
129,4.0,                       nothing like material bandages     
130,5.0,                       the best band aids i ever bought  wish they had more variety on sizes     
131,4.0,                       good value band aid could improve this product by dividing sizes with partitions of any kind      
132,5.0,                       different sizes  i kept only man sized bandages but wife needs smaller so she liked this assortment      
133,5.0,                       i love this product and its a mainstay in bbn out medicine cabinet      
134,5.0,                       i wanted band aids that were cloth      
135,5.0,                       kinda good band aids      
136,5.0,                       great ahesion  easy to remove and water resistant  everything you need in a bandaid great bandaid that lasts along time      
137,5.0,                       band aid brand flexible fabric adhesive bandage for wound care and first aid  very easy to use     
138,5.0,                       the only band aids i use      
139,3.0,                       it s okay i wouldn t buy it again you can buy h e b brand is better     
140,5.0,                       band aids   you need them   don t get the cheap kind     
141,5.0,                       i am stuck on band aid  cause baind aid s stuck on me      
142,4.0,                       bandaids work well     
143,2.0,                       first time a j and j product has disappointed us  this fabric bandaid is not waterproof and often does not stick correctly  not pliable enough for example to use on a finger or other awkward or angled area  heavy looking  j and j makes so many varieties of this item   this is not the one for every day use  in our family  we like the sheer or antibiotic bandaid  thought we would try this type but big mistake  it is heavy duty in terms of the weight of the fabric  a disappointment      
144,5.0,                       this is a great value pack and cover s our family s needs for months at a time      
145,4.0,                       they are good for what they re for   but they are not water proof      
146,5.0,                       exactly what you expect from bandaid     
147,5.0,                       excellent baindades      
148,5.0,                       great durable   water proof  excellent     
149,5.0,                       god i love these band aids      
