,CommentsStars,CommentsContent
0,1.0,                       ball delivered quickly however the ball will not hold air and has a leak somewhere     
1,5.0,                       i love it     
2,5.0,                       the ball simply feels like a real basketball  weight  diameter  bounce     
3,5.0,                       i usually go cheap on my bassketballs  but i decided to get something with more professional materials this time around  this is a great ball that functions well both indoor and outdoor      
4,2.0,                       really bad grip even for an outdoor ball  kept slipping out my hands     
5,5.0,                       great deal  my nephew loved this      
6,5.0,                       excellent basketball with superb grip     
7,5.0,                       in fact  the picture of this ball contains a small mistake the word  infusion  is not printed on the ball at all and actually the  nd picture which contains  nba zi o  is the correct one note that there are   levels for this type of spaling basketballs     professional game ball  the official game ball of nba     maximum performance  ultimate composite leather cover for the highly competitive player     advanced performance  premium composite leather cover for the serious player     performance  durable outdoor cover for players of all levels and this item belongs to the  maximum performance  i bought a ball which belongs to  advanced performance  level at the dick s and it was the same price as this one  which is a better and higher quality ball thus  i returned my ball to the dick s and ordered this one in addition this ball is more suitable for indoor play if you use it as an outdoor basketball you will need a new one soon      
8,5.0,                       it came quickly and in perfect condition  it is exactly as the description says  would definitely recommend this to a friend      
9,4.0,                       good quality      
10,5.0,                       exactly what i was expecting     
11,1.0,                       the ball can not hold its air for more than a day  if i leave it for   days  i need to re pump it  i has been gradually worse to the point where its unusable  it was also delivered a week after amazon s expected delivery date  in addition  the item is cheaper on the maker s website      
12,5.0,                       all right      
13,1.0,                       ordered    both arrived warped with a slight bulge by the inflation point  useless     
14,1.0,                       the ball constantly goes flat    i pumped it up with air and played basketball for maybe    minutes and the air was already out of it  every time i play it is flat and requires air  defective ball      
15,4.0,                       pressure stated on ball to inflate to seems low  pumped it up more and it s great but hopefully it won t pop       
16,3.0,                       i needed a new ball to play with at the park and i saw that the reviews on this product was promising  not a lot of people reviewed the ball being used for outside play  so i thought i had to share  after maybe around a month and a half of running   s and other pick up games at the park  i noticed that the outer layer of the ball started to peel off  the durability of the ball drops a butt ton if you use it outside but i am sure it will last longer inside      
17,5.0,                       perfect        
18,5.0,                       good ball for outdoors and indoors  good material     
19,5.0,                       the quality is good   the weight  size and feel is that of a professional basketball   the ball is reasonably priced      
20,5.0,                       nice grip     
