,CommentsStars,CommentsContent
0,4.0,                       the quality of this batteries is pretty good specially for the price  they have a nice weight to them and have not leaked on any of my devices  their only weakness is that they don t seem to hold for a while as i noticed that the longer i have them the more they are loosing their strength  if you use them right away you will have the best results      
1,5.0,                         years isn t necessarily a lot in terms of battery shelf life  but i bought these over   years ago now  and they are still coming out of the box fresh and full powered  no need to waste you money on name brands  if you are buying some regular alkaline batteries  these perform just as well for less      
2,5.0,                       we bought these for a planned power outage to use in our battery operated fans  the battery lasted on full speed for a good    hours of non stop use  the power came back on before the batteries died      
3,5.0,                       thank you amazon for having a large stock of batteries when stores ran out   while others were frantically searching local stores  i ordered these on my couch at home and they arrived in   days   these batteries are strong and provided light during the blackout of hurrican irma      
4,5.0,                       i recently purchased   sets of the    d cell battery packs for my outdoor motion detector lights   upon receiving the batteries  which were packaged very well  i tested each battery with a volt meter before installing them in the lights   all batteries had a charge of between      and      volts   these batteries are rated at     volts  so all were above the listed voltage   how they hold up is another question that i will answer after some time has passed      
5,5.0,                       great value   don t know how long they last yet  but they work great so far     
6,5.0,                       they are d batteries  and are lasting a good amount of time in our outdoor motion sensor lights more economical than energizer duracell  and longer lasting than the  value  d cells      
7,5.0,                       best price i have found      
8,5.0,                       best batteries  i use them for battery operated fans and luminara no flame candles  they are reliable and last forever  they bring a confidence level that i don t find with other brands and you just can t beat the price      
9,5.0,                       their batteries that work oh  so far so good     
10,5.0,                       use lots of batteries for grandchildren toys so this was a value     
11,5.0,                       skip the brand names and pick these  just as good and priced to sell     
12,5.0,                       long lasting batteries   thank you amazon for these  i have a fisher price cradle and swing and it chugs down batteries because i use it everyday  so i was going through batteries like water and very      so j saw these on amazon and thought about giving i a shot and they re great  and a fraction of the price  very useful  thank you again amazon      
13,1.0,                       these do not have the life of abrand name product      
14,5.0,                       great value comparing to supermarket     
15,1.0,                       batteries seemed fine when new  but i put   of them in small closet lite fixtures  and   of the fixtures have lost charge   the  rd one still works   could there be something about my lites that is causing this   the return rules say that i can no longer return but replacement is possible through        but i don t see any way to request this replacement      
16,1.0,                       i purchased amazon basic batteries in every size i use     and all of them have had a very short battery life and several have corroded which  imo  shouldn t happen at all in fresh batteries  just about ruined my new optical mouse      
17,5.0,                       no joke  i would say i only write a review   time a year  and this is it   i bought these back in december for my luminara candles   which i have on a timer and they are stillgoing strong      i can t believe it  i don t even think duracell lasted that long  i m going to try the double aa s and hopefully i ll get the same results       
18,5.0,                       good value  i ve been using them in my outdoor lights for months and have not had to replace them yet      
19,1.0,                       these batteries seemed like a great buy until i needed them during hurricane irma and they couldn t power the battery operated fan i wanted to lend to my neighbor whose power was out i bought these batteries in may       and while they worked in a flashlight they did not work in the battery operated fan  at first i assumed that the problem was with the fan  then this week i bought other batteries and tried the fan and it worked  i double checked and the amazon batteries still did not work in the fan so  if i could return these i would  don t count on them powering much other than a basic flashlight      
20,1.0,                       i never wrote a review before  these batteries are so bad i felt i needed to warn others  they do not last  i put them in a flamelss candle that duracell powered on a timer for more than six months  on the same sceheulde i get about a week from these batteries  bad      
21,5.0,                       each battery was good for long time  but too big a package  i use more aa aaa  didn t have enough use for this large a package of ds      
22,5.0,                       bought for my battery inventory  getting ready for the holidays     
23,5.0,                       good     
24,1.0,                       these were the worst   i always buy my batteries from amazon but these lasted less than two weeks  i think i got a bad batch      
