,CommentsStars,CommentsContent
0,5.0 ,                       it s a stuffed bear     
1,5.0 ,                       it was the right carebear my daughters best friend wanted thank you       
2,5.0 ,                       very soft bear  this bear is sooooo soft  it was exactly as expected  my kid loved it  she snuggles with it every night  glad care bears is making a comeback      
3,4.0 ,                       i got this for my    months old granddaughter who is in love with the care bears  she was immediately attached to him and loves him  the only reason i did not give it   stars is because at first it was shedding a great deal  but that has since stopped      
4,5.0 ,                       my child loves this care bear and it looks exactly as advertised  we are happy with what we purchased     
5,5.0 ,                       nice and soft bear   great gift for the price     
6,5.0 ,                       my daughter loves the color purple  it s hard to find things in purple  she loves this bear  she has had it for a weekend she takes it every where with her      
7,5.0 ,                       lucky care bear came in time for christmas which will be a gift for my granddaughter  this is what she asked for from santa      
8,5.0 ,                       so cute  so soft  for a great price  i thought it was going to be slightly smaller than it was  which means there is even more to hug  little one loves her good luck bear        
9,1.0 ,                       i m sure this teddy bear would have been great but the sent me a sonic the hedgehog one instead     
10,5.0 ,                       bought for my godchild and she absolutely loved it      
11,5.0 ,                       my daughter loves it  she was happy as can be      
12,5.0 ,                       very cute   was the only one we couldn t find to finish the collection        
13,5.0 ,                       i was obsessed with care bears as a kid and wasn t sure if i would like these new plush especially with the really unique facial expressions but it looks so much cuter in person  the fur is super soft and the belly badge is embroidered on and looks really good as well         
14,5.0 ,                       this carebear is soooo cute  i can t believe it was so cheap     
15,5.0 ,                       i love him so much lol     
16,5.0 ,                       awesome   my   year old daughter loves her care bear bought it for christmas and it got here just in time a couple of days before even tho  it had said it would be delivered after christmas    it s super soft too          
17,5.0 ,                       i purchased the blue grumpy bear and purple share bear   they are a nice size  good quality  soft  and adorable      
18,5.0 ,                       exactly as expected     
19,5.0 ,                       as expected  super soft  got here extremely quickly  we love grumpy bear already      
20,5.0 ,                       thank you for the care bear  he was so fluffy  soft  and insanely cute  quick delivery      
21,5.0 ,                       such a cuddly reminder of when my kids were younger and enjoyed these babies      
22,5.0 ,                       i love these     
23,5.0 ,                       love the care bears  bought this for my granddaughter and she loves it      
24,5.0 ,                       perfect      
25,5.0 ,                       bought this for my mom cause she s recently started collecting the care bear dolls and at first i was worried that the box would come crushed from other reviews but it come in perfect she loves it     
26,5.0 ,                       loved my care bear    used to collect them as a little girl and so happy they are back now  even my son loved them too      
27,5.0 ,                       my daughter had care bears stuffed bears and was glad they re back so she asked me to get it for my granddaughter for christmas      
28,4.0 ,                       perfect for st patrick s day  love the expression on the face  boxes were not pristine but bears are fine     
29,5.0 ,                       my    month old daughter loves has them all  but the yellow one is definitely her favorite  very soft and the color is vibrant  i recommend all   care bears      
30,5.0 ,                       great     
31,5.0 ,                       my granddaughter loved her new  care bear  so glad care bear s came back  they were one of my favorite toys growing up  my gbaby couldn t take her eyes off it  i will be purchasing the rest of the collection on amazon  best price in my area  and it was delivered quickly      
32,5.0 ,                       great quality   will definitely last a long time      
33,5.0 ,                       love the updated look each care bear s face have distinctive look to match their personality  very soft and high quality for only    bucks        
34,5.0 ,                       very soft great gift for a great price     
35,5.0 ,                       very cute version    really want to collect all of them   right now have the promo price is cheaper than walmart      
36,5.0 ,                       i found this item a but cheaper here on amazon than how much it is in stores    it came on time and was a perfect gift      
37,5.0 ,                       my adult friend ended up in the hospital so i sent her this little guy   she loved it   made to last     
38,5.0 ,                       adorable care bear     
39,5.0 ,                       got for my gf  she had one as a kid  she was so surprised and happy       
40,5.0 ,                       this guy is so soft and honestly the perfect size  not too big  not too small  his face is perfectly grumpy      
41,5.0 ,                       only place that had my favorite bear  exactly what i wanted  soft plush fabric     
42,4.0 ,                       it was a great value and was the only one i could find for christmas     
43,5.0 ,                       my nephew absolutely loves his care bear   his aunt  me  absolutely loved the price    thanks so much        
44,5.0 ,                       omg this bear is so soft and cuddly  my granddaughter loves it and snuggles with it      
45,4.0 ,                       everything great i love the bear only complain is that the box came ripped      
46,4.0 ,                       is orange not at all original color  brown    soft  keeping bc can t find  new  ish original for reasonable price  but daughter likes      
47,5.0 ,                       super soft     
48,5.0 ,                       just in love   they are cute  soft and cuddly  what more can you ask for   bears  yes  i said bears because well i have a problem and i have them all  are super soft and easy to get out of the box  but the collectible coin was in there like fort knox not a problem because i have a toddler that i did not want getting that on her own   these bears are not the same as the original but i think they are better than the originals i just love the colors and expressions      
49,5.0 ,                       super soft       
50,5.0 ,                       a gift for my granddaughter  who is     she just went off to college   she took it with her  she gave me two of hers when she was little when i was having a  rough time  at work  then last year  when she was     she gave me another one when her grandpa  my husband  went through open and heart surgery  the care bears helped me so much   i love them      
51,5.0 ,                       she loves yellow and she love care bears so what a wonderful combination      
52,5.0 ,                       think my little one has the whole collection       
53,1.0 ,                         of   bears arrived just as described  can you guess which one was wrong  that s right  smaller bear not even in a box  i ve requested it be replaced and will update my review once i receive the right bear  disappointing to say the least        
54,5.0 ,                       purchased as gift     
55,5.0 ,                       i was super happy that when i received the package that the box the bear was in wasn t damaged at all  the bear is perfect      
56,1.0 ,                       these bears are supposed to be the same size   the pink one came in a bag  not even a box  paid the same price for both  be careful  bear size advertised is not what actually comes to your door      
57,5.0 ,                       great gift idea for a friend if any age  very plush and soft      
58,5.0 ,                       it arrived early  it was double wrapped in plastic so it was nice and clean   top notch     
59,1.0 ,                       i wouldn t purchase this  do not risk working with the seller  they are deceptive      
60,5.0 ,                       love it     
61,5.0 ,                       super cute completes our collection for granddaughter     
62,5.0 ,                       softness     
63,4.0 ,                       just the box came all bad  overall love the bear i wanted to keep him in the box     
64,5.0 ,                       perfect for my  yo  nice color and so soft to touch      
65,5.0 ,                       so soft and fluffy  awesome  i m surprised it was such a good price  also  it comes with a special collectible coin that my kiddo loves      
66,5.0 ,              your browser does not support html  video                          nice toy      
67,5.0 ,                             
68,5.0 ,                       love     
69,5.0 ,                       very happy  a        
70,5.0 ,                       i got a few of these for christmas gifts and they were a hit       
71,5.0 ,                       love this     so soft and fluffy not furry  nice big size  i    grumpy bear and my son loves it too      
72,5.0 ,                       purchased this for my   year old niece   it s so bright and cheerful   she loves it      
73,5.0 ,                       it s super fluffy and soft       
74,5.0 ,                       soft made well just beautiful     
75,5.0 ,                       cute and quality care bear delivered fast and on time box is undamaged and giftable      
76,5.0 ,                       got this for grandson that is  lucky  to be alive      
77,5.0 ,                       loved it     
78,5.0 ,                       bought one for my daughter  and one for my granddaughter  kids were happy  so i m happy     
79,1.0 ,                       this item was advertised bigger and in a box  it can unboxed and very small  i am very disappointed      
80,5.0 ,                       grumpy bear was on special but he is a real treat  the kids love how soft he is and we often talk about what makes us happy and what makes this grumpy  he s a nostalgic icon from the past and he feels his role wonderfully     
81,5.0 ,                       i was reading some of the reviews and it is really unfortunate that some of the customers didn t receive the advertised product nor did they receive the collectible coin  i took a shot on it as a valentine s day gift and i received the product  cheer bear  in the advertised box with the collectible coin  it was for the girlfriend and was more so going to be a display collectible item rather than a teddy bear to sleep with  either way  she loved it  said it was really soft and it s cute  would recommend      
82,5.0 ,                       es perfecto  su color  su suavidad  todo me encant      
83,5.0 ,                       one of my daughters favorite stuffed animals    so so cute    you can t go wrong with a care bear        
84,5.0 ,                       my girls loved the soft arms and legs and the body was nicely stuff  it s also a good size  they were very happy to get them      
85,5.0 ,                       bought for my son for christmas  he absolutely loves it     
86,5.0 ,                       it is worth what u pay  it s comfy  it s a great gift  it was perfect     
87,5.0 ,                       omg  i scored a deal on these beautiful care bears  they re big and they came in perfect condition  i buy toys throughout the year for toys for tots  so these will go for that      
88,2.0 ,                       the bear smells like cigarette smoke  trying to get the smell out     
89,5.0 ,                       perfect great gift for my daughter she loves it     
90,5.0 ,                       my one year old loves it  i showed her the show the day before and she fell in love with care bear so i bought it for her  the price for the quality is amazing  soft and hazard free  very cute  i kept the coin she keeps care bear lol      
91,4.0 ,                       only problem i had with this product is there is a small hole under the ear  other then that expression is great and the bear is so soft      
92,5.0 ,                       loved it so cute     
93,5.0 ,                       make more bears     
94,5.0 ,              your browser does not support html  video                          the box was broken in two spots but i got the bear i wanted for my niece s collection       
95,5.0 ,                       love it  thank u        
96,5.0 ,                       so cute and bigger than i thought  would recommend      
97,5.0 ,                       i love the carebears  i bought all   of  them     
98,5.0 颗星，最多 5 颗星,                       i ordered this for a dear friend who used to have an entire collection of care bears   due to alzheimers she no longer has her home or contents   i sent this to her as we re not permitted to see her due to the covid   she loves it   she plans on keeping it forever   her words   so hugable      
99,2.0 颗星，最多 5 颗星,                       the bear was soft and very cuddly  was highly dissapointed in the packaging  it was a gift for my daughter for her birthday  she likes to keep the boxes for her stuffed animals but the box was crushed and ruined  i had to throw it away  they need to handle things better over there in the warehouse  that box should never have been distributed      
100,4.0 颗星，最多 5 颗星,                       box came wrapped in a plastic bag  great since i was worried about the box having an open front side  easy to free bear from box  it s super soft  good quality for            
101,5.0 颗星，最多 5 颗星,                       i am completely excited about these care bears  i was nervous about the texture but wasn t disappointed  they are soft and cuddly  care bears was my favorite child hood toy and i m super excited to gift them to our kiddos      
102,4.0 颗星，最多 5 颗星,                       beside the box being a little beaten  the plush itself is so soft and very cuddly  i ve seen it in walmart for a less price but like always grumpybear was always sold out  so had to go online and pay a bit more for it  but still worth it since i have the old versions of carebears      
103,5.0 颗星，最多 5 颗星,                       i noticed that these are priced competitively with other stores  but those other stores were sold out so i came here to complete my set of care bears   these also make great gifts to give others   they came well packaged and then wrapped again with plastic on the outside during a pandemic  which is a plus   they also come with a special collector s coin  with the same or similar color as the bear   i d highly recommend these as gifts or as  visuals  for those who need comfort  self care  and or stress relievers   as a side note  during this pandemic  i store the incoming items i ve removed from the main package into a secure place inside my apartment and wait three days before use   i also use either lysol spray or tide antibacterial fabric spray to pretreat these after i ve waited three days  just to make sure they are clean and germ free before use during a pandemic   i am high risk and therefore do what i can to make sure that anything i purchase is cleaned and disinfected before use   it s just an added step that could reduce risk of any infection during a pandemic   the extra care that went into packaging this item was impressive  however   i knew i was receiving a new and carefully packaged product   i received the same type of packaging from one other company that sold care bears as well   i m wondering if they come direct from the factory with plastic bag coverings outside of the bear boxes      
104,3.0 颗星，最多 5 颗星,                       i love love love this cheer bear  i bought it for my daughter  she s only   months old lol  but for a keepsake  it is just as described and perfect in every way  except it smells like a fish factory   it has the faint smell of rotten fish on it  i don t want to deal with returning because my husband works     hours a day and it sucks trying to take my kids and   month old out  especially with covid         is i throw it in the washing machine  will it ruin its fur    thank you      
