,CommentsStars,CommentsContent
0,5.0,                       awesome     
1,5.0,                       awesome batteries     
2,5.0,                       these batteries were such a great deal and work so well  that i have bought them a few times since      
3,5.0,                       batteries are equal to the name brands and for less money      
4,1.0,                       i honestly bought these  x because i thought one batch of batteries were defective but now i know that they re very bad quality  please dont waste your money on these  after  weeks they re dead and its frustrating to constantly replace them  the other amazon white batteries were the best but thsese are garbage      
5,5.0,                       great value for the money     
6,5.0,                       not duracel quality  but good value     
7,5.0,                       accidentally clicked on these because they came up in the c batteries section  but i guess they work  i don t have anything that needs d batteries but maybe one day i will      
8,5.0,                       awesome batteries   i use them for my outside  motion lights       
9,5.0,                       these things last forever    i have luminara candles in my salon that take   d batteries each  it can get expensive   i tried amazon basics and those candles are on about      hours a day  at least   days a week  i change the batteries about every other month or so   don t waste your money on  name brand    save it and get the same  if not better  quality of product      
10,1.0,                       i used these as a replacement for duracell batteries in my newborn s swing   the duracells lasted   months and these batteries barely lasted a week   we did not use the swing anymore than usual and the only thing that changed was the batteries   pay a little extra and get better batteries      
11,5.0,                       great batteries especially for the price   we use these and buy in batches for our toddler swing   that swing is what keeps our house in tact and sane   these batteries are as good as or better than the other brands and for a better price  i use these and rechargeable eneloops      
12,5.0,                    saludos con la experiencia del pasado hurac n maria se escasearon las bater as  es mejor tener y no necesitarlas que necesitarlas  y no tenerlas         
13,5.0,                       as good as the expensive battery      
14,5.0,                       very good     
15,5.0,                       i recently purchased   sets of the    d cell battery packs for my outdoor motion detector lights   upon receiving the batteries  which were packaged very well  i tested each battery with a volt meter before installing them in the lights   all batteries had a charge of between      and      volts   these batteries are rated at     volts  so all were above the listed voltage   how they hold up is another question that i will answer after some time has passed      
16,5.0,                       i was telling my hubby how my son uses his alexa to order things  like batteries  the next think i knew    doz  d  batteries arrived   be careful what you say around her  lol     
17,4.0,                       we all know family dollar sucks in termsnof longevity these happen to be the best bang for your buck     
18,4.0,                       good middle of the road battery with great packaging designed to keep them together     
19,5.0,                       i just started using them      
20,1.0,                       these batteries are horrible       didn t last a week in a commercial paper towel dispenser      
21,5.0,                       cool     
22,5.0,                       these batteries last just as long as the name brand batteries and seemingly without suffering any leaks   which i seemed to get quite often with the name brands   some much cheaper  in cost   but seem to be better made      
23,5.0,                       works well     
24,5.0,                       great batteries at a great price      
25,5.0,                       appreciate the simple packaging   i am using these in an outdoor motion sensor light  jury s still out on longevity      
26,5.0,                       they are okay      
27,5.0,                       effective   performed as stated          
28,3.0,                       i love amazonbasics products but looks like i should step back a little especially for these batteries  last time i ordered and was having same problem when i opened this box  every piece of these batteries were having battery level     or less      
29,5.0,                       great price     
30,3.0,                       dont have anything in the house that uses them      
31,5.0,                       they last just as well as the famous name brands  i just found out about amazonbasics batteries  wish i had known sooner  they are really great      
32,5.0,                       great value     
33,5.0,                       convenient     
34,4.0,                       excellent quality batteries  you don t need to purchase the name brands when you have these long use batteries  i have ordered three times and have always been satisfied with these batteries      
35,5.0,                       why would you buy batteries anywhere else   the value is insane and they re great long lasting batteries      
36,4.0,                       seem to work well  just as good as name brands  hasn t leaked  i ve had energizers leak all over the inside of equipment  d size     
37,5.0,                       we use these batteries for the office     
38,5.0,                       been using amazonbasic batteries for awhile now  no issues and at a great price      
39,4.0,                       what can you say about a battery  i use them for my lantern when the lights go out and they last long     
40,4.0,                       seems to be good quality  probably made by a major name brand with amazon logos      
41,1.0,                       i tried these on electronic mouse traps  each set of four batteries per trap was dead after three kills  name brand batteries give me anywhere from at least    to as many as    kills per set  these amazon d cells are not good value      
42,5.0,                       good     
43,5.0,                       these batteries have been going for almost   months now after using them every night since i bought them      
44,1.0,                       these batteries seemed like a great buy until i needed them during hurricane irma and they couldn t power the battery operated fan i wanted to lend to my neighbor whose power was out i bought these batteries in may       and while they worked in a flashlight they did not work in the battery operated fan  at first i assumed that the problem was with the fan  then this week i bought other batteries and tried the fan and it worked  i double checked and the amazon batteries still did not work in the fan so  if i could return these i would  don t count on them powering much other than a basic flashlight      
45,5.0,                       just like the headline says     
46,5.0,                       perfect price  exceeded expectations vs name brand batteries      
47,5.0,                       i use these in all my flameless candles  nice packaging and good value     
48,5.0,                       last a while in baby gear    great value      
49,5.0,                       very happy with amazon basic batteries  we use these for our big camping lantern that we use at home too when our electricity goes out      
50,1.0,                       i bought these for a vibrating chair for my baby  i thought it was a sweet deal but literally die within a few hours  which is crazy  i d say it s worth spending the extra money on normal brand name batteries      
51,5.0,                       good amount for price     
52,3.0,                       used in a device requiring   batteries  device stopped working shortly after  tested all   batteries    were dead   were fine  i suspect these batteries are garbage  should have paid a little more and gotten the energizer batteries      
53,5.0,                       bought this and did a side by side comparison for named brand batteries  performed the exactly the same as the name brand batteries  i like to have battery operated candles in my house with timers  placed the batteries in the candles and the amazon brand lasted the same   months the higher priced batteries lasted  buying again now      
54,5.0,                       one of the best long lasting batteries  i m  using it  for     month for my daughters bouncer  rocking chair  working great and great price  before amazon barand  batteries i used duracell batteries they finished in   weeks and they are expensive also  highly recommend amazon brand batteries don t buy duracell       
55,5.0,                       i purchased these to use in an automatic pet food dispenser   i m doing a bit of an informal test as one dispenser has these batteries and another has name brand batteries   i will update my review in a few months with the results       
56,5.0,                       great item for hurricane prepping   i was prepared for hurricane florence      
57,5.0,                       great value and quality   no reason ti pay more for other brands     
58,1.0,                         of    batteries had no charge when received and tested   the other   were only moderate charge left      
59,4.0,                       i always purchased the amazon brand batteries because they are the best value for the money  never had any issues with them so far      
60,5.0,                       great value for the money     
61,5.0,                       i was very happy with my first order of amazon aa batteries    especially the price    that i ordered them again along with c and d batteries   wonderful of amazon to have their own brand   they are great batteries     
62,5.0,                       these arrived boxed well and arrived in fast time   great value for the money      
63,5.0,                       toys and clocks     
64,5.0,                       fantastic alternative if you don t want to go the electrical route   light up area very well  stay on maybe    seconds or so   i love the three pack  allowed me to illuminate a path down the driveway   very bright  did a lot of research prior      
65,1.0,                       these are low capacity batteries  because they are d cell size  they take up a lot of storage space  best to use the space for a better capacity battery  even at twice the price of these  you get reliable larger capacity      
66,5.0,                       very pleased with these batteries  seem to last just as long  if not longer  as some of the pricier batteries i ve purchased in the past  will definitely continue to purchase      
67,5.0,                       batteries work fine     
68,5.0,                       great value     
69,5.0,                       great value for the money  long lasting  very pleased     
70,5.0,                       work as described     
71,5.0,                       i needed these for my automatic pet feeder   so far  so good   they re doing their job      
72,5.0,                       they re batteries     
73,5.0,                       good price for these big guys      
74,5.0,                       these batteries and this brand from amazon have won my trust i have purchased these more than a few times for all of the battery operated candles in other small items that run off d batteries     
75,5.0,                       why buy them anywhere else       
76,5.0,                         amazon basic product always good for money     
77,5.0,                       well worth the money which is cheaper than name brands      
78,5.0,                       lasts as long as name brand batteries at a much lower price     
79,3.0,                       i m not sure how long batteries are supposed to last in my hlway closet  but i expected to last longer than this  it corroded in the packaging  none of my other batteries in the same area did the same thing      
80,5.0,                       batteries are batteries   but great to have them delivered right to the door        
81,4.0,                    buenas pero no duran tanto como otras marcas alcalinas        
82,4.0,                       these last a long time     
83,1.0,                       i am using these batteries in my christmas garland and i have to change them out every day   these do not last      
84,5.0,                       liked     
85,5.0,                       for what they look like and the price they last a very long time and are very strong      
86,5.0,                       they are batteries    what can i say      
87,5.0,                       i ve bought quite a few of these over the last few months  something like    of them  no issues on any of them  they re the cheapest d cells i could find and they work  they re packaged well      
88,5.0,                       decent batteries     
89,1.0,                       installed these batteries in my light sensor christmas candles around thanksgiving and they were dead by december   th     do not buy      
90,5.0,                       best value out there     
91,5.0,                       we ll never run out of these batteries  never  we now own a lifetime supply      
92,5.0,                       best batteries  i use them for battery operated fans and luminara no flame candles  they are reliable and last forever  they bring a confidence level that i don t find with other brands and you just can t beat the price      
93,3.0,                       batteries are fine for short period oeration  should be removed from device for storage  may cause corrosion if left in device or extended period      
94,5.0,                       great price  great product  will always purchase amazon basic batteries        
95,5.0,                       use  them in camping lanterns when power goes out     
96,1.0,                       no battery life   stick with name brand      
97,5.0,                       the amazon basic batteries and their i just love the size of the m        
98,5.0,                       was in the path of hurrican dorian and this product saved us  all the store shelves here in florida were empty  arrived in   day  will definitely be buying more and would recommend to anyone      
99,5.0,                       love these batteries  and a great price   they are long lasting     
100,5.0,                       these batteries are great to have on hand  i haven t used them enough to test the longevity      
101,1.0,                       i left them in my trailer over the winter and they were all dead  other batteries  including some well known chinese units were still fine  disappointed in these      
102,5.0,                       they seem to hold their own   haven t had an issues   using them automatic cat feeders  no issues     
103,5.0,                       i use flameless candles on a timer so occassionally i need to change the batteries  i like to have them ahead so that when i need them i have them available  i have bought several types of batteries from amazon and have never been disappointed      
104,5.0,                       we bought these for a planned power outage to use in our battery operated fans  the battery lasted on full speed for a good    hours of non stop use  the power came back on before the batteries died      
105,5.0,                       the product was used for my satellite radio for when we are outdoors or camping they last a very long time  very pleased     
106,1.0,                       these batteries leak acid and destroyed our hardwood floors   these batteries were placed in a keyboard   even though the keyboard was still working i noticed large dark brown splatters all over our hardwood floors and acid leaking out of the battery compartment   we have never had this problem in the keyboard with any other batteries   the cost of refinishing the floors make these cheap batteries incredibly expensive   remove these batteries from anything you ve put them in immediately      
107,5.0,                       great packaging  great value     
108,5.0,                       great     
109,5.0,                       as the name implies   it s a basic d cell battery   every one i ve used has worked without an issue   great price and i d buy them again      
110,5.0,                       the amazon basics batteries work just as good as any other brand and they last just as long  you can t beat the price for how many you get in a pack      
111,5.0,                       work great and the price can t be beaten     
112,2.0,                       i put the batteries into the device i was using and it stopped working within less than   weeks      
113,1.0,                       batteries seemed fine when new  but i put   of them in small closet lite fixtures  and   of the fixtures have lost charge   the  rd one still works   could there be something about my lites that is causing this   the return rules say that i can no longer return but replacement is possible through        but i don t see any way to request this replacement      
114,4.0,                       good price good batteries     
115,5.0,                       i never thought to order batteries online  this price is fabulous since i go through d cells quickly  using several battery op fans at work down here in florida      
116,5.0,                       these batteries work just as good and just as long as the more expensive brand      
117,5.0,                         years isn t necessarily a lot in terms of battery shelf life  but i bought these over   years ago now  and they are still coming out of the box fresh and full powered  no need to waste you money on name brands  if you are buying some regular alkaline batteries  these perform just as well for less      
118,1.0,                       batteries were used for christmas small strand lights and different candles   never lasted more than a week and were only turned on at night for maybe   hours   just not worth the aggravation to replace   or   times during christmasseason   will not purchase again      
119,5.0,                       i really think the price is very reasonable for how many you get  i have a lantern i use these for i have a radio i use them for  they are very good compared to others i have used      
120,5.0,                       great value     
121,1.0,                       had to be returned  completely dead        
122,5.0,                       these batteries work great a a fraction of the price of the name brands      
123,3.0,                       cheap but dont last very long     
124,5.0,                       i bought these batteries for my smokeless ashtray and play compared to the more expensive brands     
125,2.0,                       these batteries do not last any longer than dollar store batteries  i have purchased several packages of different sizes because the quality is so great however i will not be purchasing any more of the amazon batteries they just do not last nearly as long     
126,5.0,                       ok     
127,5.0,                       battery     
128,1.0,                       i happened to check the batteries  and found  they burst open under normal temperatures and would have ruined the device  had i not found  it  will go back to battery brand batteries     
129,5.0,                       best way to buy     
130,2.0,                       product is fine  they re batteries  not much else to say  the packaging  however    is so incredibly wasteful  the box comes with   packs of   batteries that have been shrink wrapped together  why  so unnecessary  not only is it wasteful  it can also be hard for the elderly or disabled to open  amazon  please consider changing the packaging of this        
131,5.0,                       these are a great deal  i buy all my batteries in this amazon brand  i like buying in bulk and know i wont run out of batteries for a long time  they last a very long time too      
132,5.0,                       great price and so far  last just as long as name brand batteries  used them in a baby swing and have gotten quite a bit of time out of the first set  very pleased      
133,5.0,                       got this to work with portable motion lights in the backyard  i am pretty impressed on how long they last  also in the harsh cold winters the batteries worked great with not loss of power     
134,5.0,                       love amazons batteries and auto delivery  hate to need a battery and none can be found  this work great and great prices      
135,1.0,                       we replace batteries in a device once a year at most  these did not last a month  when they were removed i noticed they fell over on counter  they are deformed and egg shaped on both the top and bottom  upon further inspection  all the batteries were deformed  terrible quality  not worth the savings      
136,4.0,                       i purchased these batteries to power my baby s toy  these batteries seem to work great  based on the reviews  i was a bit worried about purchasing a bunch of batteries that could be duds  then i looked at the reviews more in detail and realized that most of the bad reviews were from a few years ago  amazon must have fixed their issues since then some things i noted are that    these are not rechargeable  if you want rechargeable batteries  you should purchase the amazon basics rechargeable batteries    there s not much of a price difference between these amazon basics batteries     pack  and the energizer max d     pack   at the time of this writing  there s only a    cent difference  amazon basics           energizer max        if you want a brand name  you may as well go for energizer max    a duracell   pack          is only approximately    cents less than the amazon basics    pack          overall  these batteries work fine  if you don t need a brand name batteries  you should just purchase these      
137,4.0,                       i put these on the voltmeter and got      v reading on each of   i tested   i compared them to two other new unused d cells  the duracell coppertop  assembled in us  and the rayovac fusion  both of which tested at     v   the amazon cell and the other two were all nearly exactly  within      of a mm  the same length and diameter   the expiration dates on the amazon cells were oct       the expiration dates on the duracell and rayovac cells were mar      and nov       respectively  and i ve had those cells for about a year   maybe amazon puts more realistic expiration dates on their cells  or maybe they ship older stock  who knows   the packaging of the amazon cells was very solid   two rows of   cells  each row shrink wrapped  and a cardboard divider between the pos   neg terminals as the two rows lay lengthwise in the box   the packaging makes them great to use for long term emergency storage  especially if the expiration dates are usually further out like the competition   unless those dates are all bs anyway   the voltmeter doesn t lie   i would not trust these to leave in a device long term   i assume they would leak like every other chinese alkaline battery i have ever used   i wish energizer ultimate lithium made d cells   their aa and aaa non rechargables are bulletproof and the gold standard in non rechargeable cells      
138,5.0,                       picked these up as a cheap alternative to name brand batteries when i went on my camping trip  i needed d cell for my lantern  i figured that even if these didn t last the whole weekend in the lantern  i could use more than a few  surprisingly  or unsurprisingly  i never needed to change the batteries the whole weekend  very happy with these batteries  good price point  overall good quality  i would definitely purchase again      
139,5.0,                       we love these batteries  shelf life is incredible and the longevity is incredible for the price      
140,1.0,                         of the    batteries  which i stored inside my closet  were dead within    months of purchase  despite the website stating that there is a   year  leak free warranty   also  amazon had zero sympathy and stated that is not a warranty or claim that can b e resolved   i m having to throw away two thirds of the batteries i purchased   i will be sure to purchase legitimate batteries from a membership warehouse in the future      
141,4.0,                       since i just received these within the last few weeks  it is hard to judge longevity  but they seem fine      
142,4.0,                       works     
143,5.0,                       they re batteries  why do you need a review for batteries  they re all the same  man      
144,5.0,                         haven t used them for long  but it was nice to get a whole bunch so i could trade out all my marginal flashlights  when you just buy a   pack  it s never enough        
