,CommentsStars,CommentsContent
0,4.0,                       ok for the price      
1,5.0,                       super comfortable     
2,5.0,                       similar to the normatec zero gravity chair  works great if you are using normatec leg recovery compression and the price is also reasonable      
3,5.0,                       excellent sturdy product yet great comfort and value overall  hopefully more to come from amazon  have brought   solid products that are amazon  x  so far and both very happy with  would recommend      
4,1.0,                       i bought three of these  and two of them fell apart within a month  they are bad quality      
5,5.0,                       husband is      just had heart surgery and this is perfect for feet up and rest during the day   he s a little long so need a cushion under his ankle tendon   he loves the chair        
6,1.0,                       the chair broke when my daughter was on it  she landed upside down on her head  the safety feature failed so buyer beware      
7,3.0,                       cons  locking mechanism is uselessarm rest are low and therefore useless if you have a tall torsopros cheapcomfyi have mine resting against a big deck box  this keeps me from flipping over  it is comfy cheap and seems sturdy  but the recline is hard without something to rest the back against      
8,5.0,                       i would recommend  it is a comfortable chair for the money  it serves its purpose  i am   feet     lbs   i try and bring it in from the direct sun  i just feel like it will last longer   easy to fold and put away      
9,4.0,                       comfortable enough to snooze in and hey your feet up  i keep this handy for track days  not a fan of the plastic knobs to lock down the chair from tilting too far but they work okay      
10,1.0,                       this product is not safe  do not buy it  when i reclined in the chair the top went all the way to the ground and the foot went up in the air  when i was able to get free of the chair  my investigation revealed that it had not simply tipped over but the joint slipped  not securely fastened   and now the chair will not return to the position of a chair as pictured  i bought this one because of the rating for      in the event that my      dad might use it but it couldn t even handle me      
11,5.0,                       we ve had these for a few years now  and we re very happy with them   they re a little heavy  but sturdy and super comfortable   i definitely wish we would have bought the cup holders when we ordered them   that will be my next purchase      
12,5.0,                       love these chairs  my husband wanted a set for father s day so after researching them on amazon  including looking at reviews  i decided on these  haven t had problems with stitching  the material doesn t stretch or sag  overall so far they re great  would definitely buy again      
13,5.0,                       buy this chair  the other chairs are exactly the same thing only         
14,4.0,                       great product for the money      
15,5.0,                       love them      
16,5.0,                       nice     
17,5.0,                       just what i ordered  perfect      
18,5.0,                       very nice     
19,5.0,                       although it don t seem truly zero gravity i like it and it s well made so it feels like it will last awhile      
20,5.0,                       this chair is amazing      
21,5.0,                       i love these     
22,5.0,                       i m roughly     lbs and i ve been non stop torturing this chair with a lot more than just my body weight  most of these fold up styled lawn chairs would ve broken by now  and this one just has some minor scratches on the parts that touch the ground   so can give this a very strong recommendation one thing to keep in mind  tough i m very rough on it  is that it has some elastic which means it shouldn t be left in direct sunlight  if you don t understand why this is a problem  i d recommend first looking up elastic care  it s cheap and easy to replace the elastic  but also unnecessary if one cares for it correctly      
23,4.0,                       its a little narrower than other brands but its comfortable  it is a littlw weird folding it since it has an extra joint      
24,5.0,                       quality material and construction   good price   very comfortable  what else can you ask for   love them     we take them camping  great comfort after a hard day   cliff williams     
25,5.0,                       work as advertised  priced right      
26,4.0,                       love it  just before warned that if you get black it s a little warm if you sit down in it quickly     
27,3.0,                       the only problem i have with this chair is the locking feature  i have another one that has an easy lock lever  this one has a wheel that you turn and it is kinda cumbersome  other than that  it folds nicely and is very sturdy      
28,5.0,                       i like     
29,5.0,                       these chairs are awesome and were cheaper than several that i had looked at prior to buying them  i think that they are comparable  if not betrer than those that cost      more  i would definitely buy again      
30,4.0,                       overall these are totally worth the price  the only negative i have to say is that its locking feature isn t great  if you lock it and lean back it ll just fall back it really doesn t stay in slace      
31,5.0,                       i love this chair  noticed it on here and the price blew me away  many chairs like this are double the price in stores and probably no better than this one  this chair is comfortable and sturdy  love having it on my patio and am amazed at the value this chair is      
32,1.0,                       false advertising  the description on amazon says it can hold     lbs  the instruction sheet that comes with it states a max weight of    lbs      
33,5.0,                       good chair and comfortable  no issues  perfect for husband with bad back      
34,5.0,                       great chair      
35,5.0,                       as discribed but it s huge  if you re looking for a regular size folding chair this is probably too big for you but if you want bigger this is great  durable     
36,5.0,                       this come in as one  no need to install and very comfortable to lay onto      
37,1.0,                       the lock mechanism does not lock tight  when folded the lock doesn t work at all  i could only get the chair in   positions  straight up or flat i wanted a chair that would lean back only a little with the feet raised   for me it was difficult to get out of bad part  i can t send it back  because i don t have a box it will fit into      
38,5.0,                       well built and comfy for bad backs  perfect combination      
39,5.0,                       this chair is very comfortable and i strongly recommend it      
40,5.0,                       this is s really nice chair  comfy and looks nice  only negative is i wish it was longer since my feet hang over in the recliner position      
41,5.0,                       he loved it   i thought he would keep it in his car for when he goes down to the beach   but he installed in the livingroom and says it helps his back more than anything else      
42,5.0,                       very  very comfortable      
43,1.0,                       cheap junk  don t buy     
44,5.0,                       bought three of them for family  they love them      
45,5.0,                       love this chair  great value     
46,5.0,                       love this chair for watching tv outside  have a bad back and typical loungers are too stationary  this one allows you to change position enough to help elevate pain      
47,5.0,                       this is an amazing chair  very comfortable and relaxing for outdoors  want to buy another so i can have two       
48,5.0,                       these chairs are awesome   i had a couple that the ex took  had to buy two more  we love them for playing video games and i have fallen asleep in them several times         
49,5.0,                       lounging on my deck     
50,5.0,                       we have taken this chair on several camping trips now   my husband has  a very bad back and he says it is very comfy  in fact  he has spent a lot of time napping in it   one of the nuts has needed retightening a few times  but we always have a leatherman with us which comes in handy for that      
51,2.0,                       my chair is  in one word  dreadful  i am returning it  given the reviews  it seems that every chair is different  there must be an issue with quality assurance and control  i hope amazon basics will update with a version ii i am a mellow person  i rarely get angry  this product annoyed me so much i was tempted to throw it out the window  i would not even donate this  i have purchased     beach chairs that are more comfortable about me  i am           pounds  overweight   in my early    s  i maintain good posture  practice yoga  but have had some minor neck problems due to hyper mobility  i love hammocks  my living space       sq ft   i bought this for   reasons     using it in zero gravity mode for relaxing and meditating     napping      watching tv and reading at a slight incline  and    lounging outside when it is warmer  easy to fold when not in use  etc  i really really wanted the timber line xl padded zero gravity chair  but i am on a budget review of the chair  it arrived undamaged  note  if you want it in an amazon box to surprise someone  select that option at checkout  opened the box  the chair comes assembled  it folds nicely  and it was easy to carry upstairs  there are no directions  no paperwork  it isn t difficult to figure out  it opened smoothly  on each side there is a little dial to unscrew to recline to desired level  then screw the other way to lock in position  all good so far then i sat in it  my head rests against the very uncomfortable metal bar  there is a small headrest lumbar pillow  in the lumbar area the mesh hangs down and does not  hug  your back like a hammock  i tried moving up and down  there was no comfortable position  i wanted to ease back into the nasa zero gravity position  no luck  i got back far enough  about     degrees  no change in the lumbar area  i put a mackenzie roll behind me to fill the gap to no avail  my head  using the  headrest   sank into the upper metal bar  i immediately got a headache  so i got out  even my lower back was bothering me  in    minutes i went from feeling fine to a terrible headache in my opinion  my chair must be defective  given so many other reviews where people are tumbling backwards  not reclining  having the chair collapse  etc  i am happy for the people who got a quality controlled recliner for the rest of us  this is a very evil chair that causes pain  i recommend staying away from it      
52,1.0,                       after only the second time using it  i was laying back in it and the thing gave way and i fell back and hit my neck and head on the cement  the reason i bought the chair was because i have two bulged discs in my neck   ridiculous   hopefully my neck is now not worse off   now the chair will not even work anymore      
53,4.0,                       very comfortable chair at a great price  it adjusts easily and stays in place  the only thing i wish that it had was a drink tray      
54,2.0,                       was very happy with this item until tonight it was pretty comfortable  seemed sturdy  have had it   days shy of a year tonight i was sitting in it  i heard a creak and then bolts and washers went flying and i ended up on the ground  very quickly it did last a year  almost  but  while i was not hurt  i very easily could have been  by the way i am       and about     lbs      
55,5.0,                       very comfortable and well built      
56,5.0,                       purchased for me after major surgery  i need to keep my feet elevated and this chair works perfect for relaxing on the deck with the family  easy to get in and out of even on crutches      
57,1.0,                       very danerous product     
58,4.0,                       i bought several of these   they fold up very easily   my only complaint is that they aren t that great about locking in place and staying there   any movement in the chair and they ll push forward from the locked position   above average comfort      
59,5.0,                       these chairs are amazing  love them so much  these are long enough for myself and my guy who is       most of these chairs leave his feet dangling off and these don t  want to order some spares for camping soon      
60,5.0,                       i love this chair  i have lower back pain  but my back feels amazing when i m sitting in this  i ve currently got it set up in my office in front of a tv  much to my wife s dismay        
61,3.0,                       about this chair  i have serveral opinions  first  it was not easy to fold unfold  it requieres some effort to unfold it and even worse to fold it  second  it has a different angle lean back which is great but the problem is that it does not stay still   the angle moves alone your movement  third  the product does not really match the price      
62,5.0,                       no complaints here  i bought the same chair  years ago and paid      for it  now that s just messed up    so       dollars is great     
63,5.0,                       sturdy construction which makes it a bit heavy to move around much  yet  extremely comfortable  best of zero gravity chairs i ve purchased over the years      
