,CommentsStars,CommentsContent
0,5.0,                       the best   fastest  ethernet cable  well  before i have no ideal of cat  and never heard about it    after i got this one  i plan to upgrade my network to gigabytes station    smart householdcompare with the old yellow cat   the cable was shielded and each pair was also shielded per cat  spec and there was a grounding wire after i test it via fluke  you can see the performance is really fantastic  insertion loss is tiny   brand with is big   have to say   it support   gbps     mhz high speed gigabit  and its spec really meet everyone s requirements  works very fast and steady with my imac        to improve the best experience i ve called comcast and now upgrade to a xfinity     mbps package  the wire is well made and easy to manipulate not being to stiff but still thick durable material  the main feature that i mentioned before that is my favorite part is the durable head piece connector which is the main piece that has given me problems in the passed breaking or becoming unusable meanwhile the outdoor material jacket of cable is tough enough for the daily use       
1,5.0,                       i have an area with lots of known   hz interference  no reasonable way around it  shielded cabling seems to be the answer  this one works great  but  the fun doesn t end there  this isn t one of those crappy cables that you have to pray doesn t fall apart as soon as you leave  this thing is built to last  it s flexible  and solidly built  did you have too much to drink at the last christmas party and break all of your patch cables swinging through the warehouse like tarzan  have all the egg nog you want  this cable will still work perfectly      
2,5.0,                       i upgraded to this cord from a cat   cable  i use it to connect my tv to the router  there was a noticeable difference in the sound quality while streaming video  there was a slight improvement in video  this is comparing cat   to this one the cord is a little stiff which is understandable with all the insulation on the wires  the cord is round good value for the money      
3,5.0,                       the cables appear to be of high quality and i ve had no issues attaining some of the faster speeds that cat  cable allows for  however  i haven t tried pushing the cable to the limits the shielding is good and the connectors snap in firmly  the gold plating around the edge of the connectors is gimmicky  though  but it looks cool and might help you differentiate these cables from others      
4,5.0,                       it s awesome   so far as i can tell  i just wish i had the electrical testing laboratory available to verify the quality   like i had in the calibration lab i worked at in the air force   i cannot see any issues  and everything seems of a better quality  and construction  than anything you would be able to purchase locally  or would be installed  or provided by local technicians   much  much better than what was installed at my property  not included the ruggedized cable buried underground    for anything above ground  inside  and outside this is the  gold standard  for installation of services and perfect for gaming  and general home use  in my opinion      
5,5.0,                       i got this cable to hook up a nas with a   gbps port to our nighthawk router which also has a   gbps port and it works perfectly  the cable is just the right length  heavy duty  and gives us max transfer speeds over the network  would definitely recommend this      
6,5.0,                       have att internet      on wifi on bedroom firestick  was experiencing drops due to atts arris bgw    modem that they give you  awful  unreliable   purchased this cat  cable in    foot and plugged it into the amazon ethernet adapter which i also had to purchase  thanks amazon for not making an ethernet port ready firestick yet  and now i am blazing through music and movie streaming   i should bill att for this expense  nice cable as others have said  very sturdy      
7,1.0,                       i bought these to improve the stability of my internet usage  there wasn t any issues with my existing cords  but   i wanted to see if investing in new  top of the line cords would make it even better  the moment i started using these cords  hardwired into my pc  i experienced severe packet loss   something you re not suppose to have with a wired connection  and i never had before  so i am returning these cords asap  glad it worked for everyone else  but it was worthless for me  disappointed      
8,1.0,                       damn  it didn t make any difference at all  bought a     ft  and   ft i thought this damn thing would help me out  still freaking the same idk  pretty much my cat  and this one just gave the same speed yep  it makes it more slower instead      
9,5.0,if you want a real technical review  there are some really good ones in the other reviews  i m a novice   it made absolute sense to change out all of my old ethernet cables   the one from the modem to our wifi router  and     from my child s ps    computer that connect to our wifi router  the difference in noticeable   i encourage everyone with old ethernet cables to upgrade    note  i bought my child a digital storm lynx   level   gaming system    below i have included all of my   star purchases from march august to support my child s computer experience  i hope this review helps to shop   compare with other sites as well                                           mr ironstone l shaped desk           https   www amazon com dp b   y dspt ref ppx pop mob ap share                                           knodel desk pad  office desk mat      https   www amazon com dp b  jw zj m ref ppx pop mob ap share                                           apc ups      va ups battery     https   www amazon com dp b  vy fxmm ref ppx pop mob ap share                                            k hdmi cable     ft atevon high     https   www amazon com dp b  xnrjssw ref ppx pop mob ap share                                           cat  ethernet cable      https   www amazon com dp b  qlxc qr ref ppx pop mob ap share                                           amazonbasics    outlet power     https   www amazon com dp b  gpf  bz ref ppx pop mob ap share                                           displayport cable  silkland dp     https   www amazon com dp b    qvlhq ref ppx pop mob ap share                                            jeecoo usb pro gaming headset for     https   www amazon com dp b  tc j hk ref ppx pop mob ap share                                           gtracing gaming chair racing     https   www amazon com dp b  n rj hi ref ppx pop mob ap share                                           soundance laptop stand  aluminum     https   www amazon com dp b  d  dt b ref ppx pop mob ap share                                           adjustable cell phone stand      https   www amazon com dp b    dm y  ref ppx pop mob ap share
