,CommentsStars,CommentsContent
0,1.0 颗星，最多 5 颗星,                       i had been buying a different set of cups for over a year   then amazon switched these to be there amazon choice cups  so i switched   i ve learned my lesson of following amazon choice   its clear they were just looking for the best deal for amazon   my first day with a cup of coffee  coffee drips out of the cup and onto my shirt   i assumed i had not put the lid on well   scroll forward    days and i have paid to have   shirts and two pair of pants dry cleaned and one ruined shirt   they simply don t seal well and the cups drip out liquid even when the top is fully on   i don t know which makes me madder  that i kept using the cups or that i assumed amazon would have fully vetted these before calling them amazon choice      
1,1.0 颗星，最多 5 颗星,                       we have ordered these cups several times without issue   the most recent batch we received almost all of the cups leaked after a short time filled with coffee   the bottom edge let liquid seep through  cups would buckle at the weak point and leak at the bottom      
2,2.0 颗星，最多 5 颗星,                       we have these dixie cups on a subscribe and save order  we have been ordering these cups for about a year now  our last order we noticed that the first few cups in over have the packs of holes in the bottom of the cups  this has led to quite a few messes because we don t always notice      
3,2.0 颗星，最多 5 颗星,                       i didn t want to believe the reviews on  leaks  but yup sadly there are some cups that leak and some that are just fine  im disappointed because these cups are so cute    i use these cups for my coffee in the am but might have to replace since they keep leaking update         i said i wasn t going to buy these any more but i came back  i just couldn t find any other better cups  i really love these  i haven t had any leakage problems anymore  i feel like they really listened about the reviews update            okay so now its      and i m still using these cups  i actually subscribed for monthly packages  haven t had a leakage problem since the first time i bought these  im a happy customer we all love coffee here at home so these are used multiple times a day everyday       
4,5.0 颗星，最多 5 颗星,                       these are great  this particular deal is a great one  i use these every morning during the week day and have not had a spill yet  make sure when you are putting on the lid that the hole on the lid is directly opposite to the seal line on the paper cup  dixie disposable coffee cups are my go to and this particularly style is super cute since it has cute little messages on them      
5,3.0 颗星，最多 5 颗星,                       good value for the price  but i can t give   stars bc after an hr car ridez any coffee left in my cup is pretty much cold   i m a slow coffee drinker   also  the lids seem cheaply made or poorly put together because they constantly pop off the top and several times i have actually poured spilled some coffee all over me and or inside my car while getting in and out of my car  which really sucks  i have a pretty long commute in the mornings so i was looking for something disposable and that would keep coffee warm for my son for his hot chocolate in my coffee so once i got to work i could just throw the cup away and not worry about the cops at my office or in my car  i recently found that the knock out yeti s for    at walmart are actually amazing at leaving beverages actually hot for hours  so once we ve used it all these cups up  i will probably be switching over to those for our daily routine and just continue to search for a better quality to go cup to use as needed      
6,5.0 颗星，最多 5 颗星,                       this is an excellent product  these cups have leak free lids  and when full of hot coffee they aren t too hot to hold the    ounce capacity is just right for most people at my office  i love they aren t made from styrofoam despite feeling like they are  i hate to say that i trust dixie brand for a reason  but yes  i really do the lids attach firmly and are easy to put on  the cups are sturdy enough to wash once or twice and reuse  and they hold up to an overnight with water in them   clients sometimes set a cup down half full and leave it there  if we are in a hurry closing up  we don t always notice until the next morning  these are thick enough that no sleeve is needed  even with piping hot liquid inside  there are no burned fingers      
7,5.0 颗星，最多 5 颗星,                       i m very excited to have this as a subscribe   save option  i was forever forgetting to take clean coffee cups to work  i only have cold water there  so i had to take them home to clean   so this helps me out  the sayings are fun  a step up from the old cups they had  the lids work with the starbucks  plugs  so your coffee stays hot longer  it s not going to keep your coffee as hot as a thermal cup  but it does help  and your hands don t get too hot while holding it  the heat of the coffee doesn t transfer to you hands much       
8,2.0 颗星，最多 5 颗星,                       update it s gotten so bad with the leaking that s i ve finally given up  i m switching to another brand so i ve been using these for a while  and i ve noticed that lately i ve been having more and more problems with drips down the side of the cup where the seam is  after spending a ridiculously inordinate amount of time trying to figure out why  my best guess is that the seam in the lip of the cup  which has a raw edge  appears to wick up the liquid and when it becomes oversaturated  starts to drip down the outside of the cup  i haven t had the same issues as others with holes in the cups or lids ripping  but i have definitely had problems with leaks and stains on my clothes      
9,5.0 ,                       living in a house of coffee drinkers  we ve bought multiple reusable travel mugs and try to use them when we can    but these are so great for being able to take and toss  we use them most while camping and it s nice not having to wash out our mugs i do try to limit use  as i consider the landfills being filled with my cups  but if i need a quick grab and go cup that i can toss    these are my favs the designs are adorable too      
10,5.0 ,                       my family uses these cups for coffee every morning and they work great  they have a thin insulating layer around them so you can handle hot beverages  note that it is thin so scalding hot beverages can t be held for too long  even a cardboard sleeve doesn t handle that for long i find they hold up well and being packaged in groups of    lids and    cups makes it easy to store the extras until they are needed      
11,1.0 ,                       i went to use my first cup today and the printed pattern is peeling off all over and looks terrible  how embarrassing for me to have something like this at work  also  the lid i grabbed for today with my first cup is cracked  i dripped coffee on my keyboard because of it  i would love to return these but can t since they re not able to be returned      
12,5.0 ,                       these are nice cups   the lids fit fine   the cups don t get hot  so no problems handling them with hot liquids   i haven t had problems with leaky bottoms   my photos are of a cup after   refills today      
13,1.0 ,                       horrible  every time i put the lid on it splits right where you need to take a drink  so annoyed by this  thought i was getting a great deal because dixie is usually a good brand but there must be some sort of flaw in the design with these lids  also the cups are not quite durable enough  they look like they ll fall apart if hot liquid is in them for too long  which is crazy since they are made for hot liquid  i definitely want my money back for these      
14,5.0 ,                       this is my first time ordering disposable hot beverage cups   these couldn t be cuter and they are working well for me   i haven t personally experienced any of the quality issues other customers mention with leaking or lids  however i drink coffee fast   i make my coffee     degrees and drink it within an hour or two   i m loving taking the cups on the go when i m running late for work   the price is great      
15,1.0 ,                       i have been using this brand for years  love them  this order was received and they are totally unusable   the strong scent of perfume is imbedded in every cup and you literally get sick from the smell while trying to sip  most of the lids were also crushed and rendered them useless as well  has to be a seller issue  very disappointed since i can not return them      
16,1.0 ,                       i have used dixie cups at work nearly    years  never had this problem before   this current batch is defective   my coffee group at work has found several cups with small puncture holes  maybe as many as   in    it appears to have happened during the manufacturing process  i attempted to capture one of the punctures in the attached photos      
17,5.0 ,                       good cup for traveling  i reheated my coffee in the microwave several times before i got the little scorch mark on the bottom and the cup didn t fall apart  coffee stayed warm for quite awhile in it  the cover fits nice and tight too  will definitely buy again      
18,5.0 ,                       i love these i gottem to go  but use them in my no dishwasher little house they aren t hot at all to the touch  and the lid stays on  im weird  i like straws and squeeze the straw through it i forgot to mention  got this organizer at amazon   u gotta get one  the cups and lids fit perfect      
19,5.0 ,                       these cups are the best for on the go hot drinks   the lids never accidentally pop off  the outer foam insulation keeps your hands from getting too hot  plus it s comfortable for holding  an all around excellent product and one that s been added to my  regulars  list      
20,5.0 ,                       when i started with my employer  they had some white coffee cups that were hot to the touch  so i purchased these with the lids and everyone loves them  i see more and more employees using these now more than ever  great purchase and i avoided sticking with the white cups   lids   having to purchase sleeves  all that out the window for these which are perfection with the added bonus of the fun designs      
21,5.0 ,                       these togo coffee cups are excellent   lids are strong  cups are well insulated and not hot to the touch   they are also thick so you don t get the leaky bottom if you leave a drink in there for an extended period of time  i e  heat your coffee up for the  th time and then set it down and forget about it for a day or two    any other mom s or dad s out there           i ve purchased several times and i m never disappointed      
22,3.0 ,                       i ordered these  paper  cups as i was hoping to microwave them for a short time to heat up my tea   it turns out these cups are coated in some sort of plastic  making it a very bad idea to microwave them   i wish i hadn t bought a whole case   the packaging says paper      
23,2.0 ,                       i have had two cups leak  nothing visible and cups in the middle of stack so no excuse  have a lot of cups left so how many more i may have a problem with i don t know  never had this happen to any cups ever before      
24,5.0 ,                       love it  holds heat in very well  doesn t seep through after long periods  very nice details on the designs  cute and colorful  expressions      
25,1.0 ,                       i have been buying dixie cups for years  i have always loved them  however  these cups leak   as soon as hot water is poured into the cup for tea  it starts dripping out of the bottom   a leaking cup is worthless  i will not buy these again  unfortunately  i bought multiple packages  i think the seller should give me a refund  i actually wonder if these are  real  dixie cups      
26,5.0 ,                       these cups add that little something to the morning   the little saying on the cups help get you going and provide a little smile to others when they read the cup keeps hands from getting hot  but insulated to keep my drink hot plain white cups got boring  these are way better      
27,3.0 ,                       i find the cups to be durable and fairly well insulated  they are coated on the outside so that they dont require sleeves  the biggest problem with this product  imo  is the lid  the lid constantly  and soundlessly  cracks near the mouth  giving you quite the surprise as you re drinking  this isnt a horrible setback if you re working from home in a tshirt and jeans  however  office managers and people on the go may want to steer far clear of this product  unless your company covers dry cleaning bills      
28,5.0 ,                       i use these for my short term rental  read that airbnb  accommodations   i really like the spill resistant lids that are matched to the cups   makes my guests happy that they can take their morning cup of joe with them instead of having to leave it in the sink   just a little nicety and these are perfect for the job  sturdy and even kind of fun looking   win  win      
29,1.0 ,                       i get these cups often   they are medium weight   not thick enough to stand up to piping hot coffee   but no plastic or cardboard taste   i like dixie hot cups better than cheaper giant store brand or more expensive solo brand      
30,5.0 ,                       these cups don t leak at the seams   i have tried other brands  and they all leak at the seams   the cup is not flimsy when holding it is worth to spend the extra money  to get a better travel coffee cup      
31,1.0 ,                       no lids i m absolutely confused  plus there isn t anyone i can co tact to find out why i received   packs of cups with no lids  the description said cups with lids and it doesn t qualify for a returnable item i never write bad reviews  but this is unfortunate      
32,3.0 ,                       my wife and i have been buying these on and off whenever we are running late out the door and want some coffee  pros  keeps coffee hot for a out   hours  more than i need   additionally  the insulation on the outside prevent you from burning your hands while holding the cup over the past few months the new cups seem to leak after and hour like the bottom kind of tears from the liquid  it sucks because they are arguably some of the best to go cups out there but the quality has been lacking lately      
33,1.0 ,                       i have ordered these many times  but this last batch i received is not good  the cups are leaking  the lids keep breaking   i have now had an entire hot cup of coffee spilled on my daughter  very disappointed this time      
34,5.0 ,                       we bought these to go with our coffee hot cocoa bar at our wedding reception  we have not used them yet but we are very pleased with our order so far  they have fun  cute sayings on the cups and where way more affordable on here than we saw in the stores  it will work out great      
35,5.0 ,                       i was surprised at how cute the cup designs were  these are convenient and sturdy  i can see myself even reusing them a couple of times  i like to keep these around for family gatherings and when i m on the go  these are great      
