,CommentsStars,CommentsContent
0,5.0,              your browser does not support html  video                          just received the hadineeon double walled electric kettle and it s an amazing product  i already have another kettle that is made by hadineeon and i was looking for a completely stainless steel kettle that had a cool touch exterior  i found this and it is exactly what i needed pros entirely stainless on the inside  there is no plastic or silicone whatsoever on the inside soft open lid  some lids pop open splashing hot water on you  this is very well engineered in that regard power      w is more than enough power  it heats up    l in roughly     mins depending on the temperature of the water aesthetics are nice  can t beat it for the price cool touch exterior and being double walled is great for heat retention  i have a kid and my other kettle is glass which gets hot and this has the cool touch which is awesome remember that an electric kettle is more than just heating up water for tea and coffee  i use this to preheat water for making pasta which saves a ton of time compared to heating up on stovetop alone      
1,5.0,                       it s been two weeks since i get this electrical water hitter it  looks very nice on my kitchen counter interior   first i boiled water for my tea and omg  tee  tasted horrible  then i read instructions  and boiled water three times  yes  people  you should boil water couple of times before you start using it  to remove  whatever stainless steel is cover with  initially  after that  water taste perfect  automatic shutdown works perfectly but you should keep water  level between minimum and maximum  you can boil one cup also but you should shut down manually when it starts boiling and it happening very fast  whole week i ve been using this heater very heavy  i  mean very heavy  boiling like    gallon of water a day just to make sure it works and i don t have to return  so far so good  works perfectly  i will post another review  in a couple of months      
2,5.0,                       okay  so i am a huge hadineeon product fan  why  i had gone through   different manufacturer frothers for my coffee cream and theirs was the best of all  i loved that item so much that i have bought   more over this year as gifts  a few other friends always see the froth and ask for the info so they can buy their own as for the kettle  i took a photo of the frother  black  and the kettle side by side so you can see that this is a bit larger  it is well made  solid  and i love the way it works  just lift off the power base and place it back on  the water gets to be boiling hot but the kettle stays cool to the touch outside  it works exactly as advertised and i have no doubt that i will likely be buying more for my friends      tea lovers of not note  my wife loves to take her coffee with her in the morning and i have found that by simply prewarming the inside of the cup thermos with hot water  her coffee stays a lot hotter through the day  this makes  that  job even easier  no mess  easy clean up and a grade a in my book i highly recommend      
3,5.0,                       the hadineeon electric kettle    l       stainless steel interior double wall electric tea kettle is a fantastic buy highly recommend if you haven t used an electric kettle to help cooking meals of all types  you do not know what you are missing  this double walled kettle heats water fast and efficiently  it looks great on the counter and is the perfect tool to add to your kitchen arsenal  we heat water often for everything from ramen noodles and oatmeal to hot drinks of all types or when you just need to add some hot water to any recipe  this kettle is perfect for all applications and the kettle separates from the base so you can move the hot water around safely and independently this is a great kettle for the price cost we are gifting some to family and friends that haven t yet used an electric kettle but saw ours in action during the most recent holiday      
4,5.0,              your browser does not support html  video                          i like my new kettle especially the matt slick look of it  it s very quiet too compare to my old kettles  it s very pretty and modern look  much nicer then any white kettle i ve seen   it boiled water quick and quiet  it s big too so i don t have to refill it all the time      
5,5.0,              your browser does not support html  video                          i always wanted a reliable kettle   this one seems doing the job  as u see also it matches our kitcheni used electric kettle for some time  current one worked well as well but it had   issues and this one resolved both it s hot when water is hot and by accident  without thinking  i touched it a few timesand the bottom is wide  but top is narrow  so it was very difficult to clean inside this kettle has   walls  so i can touch outside even when the water is hot inside also  bottom top is same size and wide enough to put my hand inside to clean inside wall    its outside is white but modern white  not the old shining white color    the doube walls  so outside is not hot when inside water is hot    the nice looking  modern designit is perfect for my family  specially we are considered al coffeholic        
6,5.0,                       this kettle is convenient to use especially with the cordless design  even though i only use the kettle for myself  the size capacity on this thing allows me to boil a lot of water real fast   i drink a lot of tea and generally prefer warm hot water over cold room temp so i m constantly refilling my mug  my favorite feature is the automatic shut off because i tend to forget to check on the stove when boiling water  also  this kettle is aesthetically designed so i usually just leave it on the counter when not using it  you can also wrap the cord around the charger base so it makes storage really neat      
7,5.0,                       i ve been looking for a relatively small electric kettle for a while  we had a coffee maker that worked just fine  but cleaning and using it just didn t feel right  i m very much a chai mix person rather than straight coffee but my mother loves a quick cup in the morning  so  having a full size coffee maker just wasn t the most expedient or efficient i wanted a relatively small one  not too large like   liters or more  we don t drink that much at once  i wanted something that worked fast  like done in   minutes fast  and i wanted something that was  one and done   no fuss or complicated settings  and i got all that with this kettle this is     l  so a little larger than i wanted  but it works out great  plenty for a few cups without wasting too much  barely takes a minute to fill to the recommended level  and with one button  it s going  takes a few minutes to boil  and you can definitely tell that it s boiling  it is a bit louder than i originally thought  you can hear the kettle heating up and then the boiling  so if you want a silent kettle  this one isn t it  depending on when you re using it  really early in the morning while other people are asleep or if you have very little distance between the kettle and a bedroom  this could be an issue  but for us  it s nothing to complain about  the water is boiling hot when done and it auto clicks off  both with sound and the light under the button  you can easily tell the difference between the kettle being on or off for safety i ve heard complaints that the lid doesn t open as fully  but i don t see an issue  my hands aren t so big they can t clean it when needed  and i always pull the plug when i know i won t be using if again during the day just for caution  i originally wanted something with a warming function  but truthfully  i don t miss it  the kettle heats so fast normally  i wouldn t need it  and as we are not habitual drinkers throughout the day  it s a non issue overall  i love this thing  it works exactly as i wanted it to  and we get use out of it every day  i m drinking more coffee now than i did before  which some people might think is a bad thing   but i enjoy it      
8,5.0,                       should ve bought this sooner   what a time saver and it s so simple to use   i was using a coffee maker for hot water since i always use hot water for tea  hot chocolate  instant soups and korean instant coffee but    it takes up a large amount of counter space    it s ugly      you have to deal with cleaning out the pot so your hot water doesn t have a coffee after taste     it steams from the back  which can ruin your cabinets over time this handy appliance fixes all of that   small footprint on your counter so you can leave it there all the time   the design is very simple and modern   i don t need this to be a show piece on my counter   i just need it to be out of the way and heat water quickly   it takes     minutes to heat up water to a perfect hot temperature depending on how much water is on there   it does steam for the last    seconds or so from the spout   however  you can rotate it so that it faces out   no more steaming my cabinets if you use hot water for tea  hot chocolate  soups or whatever  buy it   you won t regret it      
9,5.0,                       this electric kettle is a worthy investment  i ve been hesitant over the years to purchase an electric kettle because of lack of storage in my kitchen  but i m so glad i decided to give this one a try pros  it boiled water in     less minutes than my traditional stovetop kettle  cord could around base for convenience and clean looking storage  matte finish on outside of kettle gives it a more classic look  easy to cleancons   bigger than a stovetop tea kettleoverall  this a great purchase and will shorten the time needed to boil water and do it in style      
