,CommentsStars,CommentsContent
0,5.0 ,                       the smell and the bubbles that you get out of this product are just great  i found that using this creates a better and stronger smell than using lavender bath bombs and you get the fun bubbles on top  also the bottle is huge i have used it   times now and i still got so much left in the bottle it really is a steal for the price      
1,4.0 ,                       no not really but i have felt the   soaking in the    feel good      
2,1.0 ,                       this product wasnt sealed on arrival  shouldnt it be  disappointed  dint get a scent at all  wont be buying again     
3,4.0 ,                       nice product  although the bottle looks cheap  of course  we paid cheap  so it is a      valid  but just fyi  loved that the bubbles are just perfect  really great product      
4,5.0 ,                       this product is a wonderful gift for friends who like relaxing bathes  it smells good and you get a lot of product for the money  i don t know that i can speak as far as pain relief or moisturizing      
5,5.0 ,                       such a soothing smell for my bath at night      
6,5.0 ,                       the lavender smells amazing  it didn t irritate my skin in any way and it actually made plenty of bubbles      
7,5.0 ,                       i liked this product i did not have pain so can t answer to that and don t have sensitive skin but it was soothing and i enjoyed it     
8,5.0 ,                       this is wonderful after a long day  literally  helps me feel sleepy      
9,5.0 ,                       i love everything about this product  the scent is delicious  the bubbles are more the consistency of suds  the epsom salts ease both bones and skin      
10,5.0 ,                       love this bubble bath      
11,5.0 ,                       very good product  however  more pain relief with the epsom salts  nice clean scent  price not discounted  same as in market      
12,5.0 ,                       the scent is great but when buying a bubble bath  i look for one that can yield a great amount of suds   this one didn t do that   i had to use a lot to get an okay amount of bubbles   for pain relief  you may want to go with epsom salt for that   this one was more for relaxation   this was okay   i don t think i would buy again      
13,5.0 ,                       bubbles slightly  great scent  leaves skin moisturized      
14,5.0 ,                       this product smells very good  it say it promotes good sleep however i m not very sure about that      
15,5.0 ,                       foaming great  satisfied     
16,3.0 ,                       bought this for the bubbles  but it doesn t make much      
17,3.0 ,                       i honestly wanted to love this  but i found myself using soo much to get a good amount of bubbles  and i have a standard tub  so although the price is great you are using an insane amount  to get the result you want  but i guess the result is achievable so that s a plus      
18,4.0 ,                       would have given   stars because i love this product except the bottle came damaged      
19,5.0 ,                       love this product  always helps me relax so much  i also use for daughters bath time and she loves it too      
20,4.0 ,                       i love the product but it was leaking  good thing they put it in a bag      
21,5.0 ,                       so good scent  very relaxing foaming bath      
22,5.0 ,                       i used to use products of another brand  but their quality is far from as good as yours  your products are in line with the high quality products advertised  i am very glad that i have changed brands  i love this stuff  it s great     
23,5.0 ,                       i need to order more  nice  thick liquid so you don t use a lot  i am a chronic epsom salt bubble bath taker and this lasted me a nice long while  especially for the price  fragrance is very nice  not overwhelming  great stuff      
24,5.0 ,                       wife loves this bubble bath   ordered a few times now      
25,5.0 ,                       excellent     
26,3.0 ,                       if you pour the product beneath the spout right as the water is filling your tub you will get the most bubbles  the ingredients seem fine to me  although the lavender smell is not strong and isn t the best smelling  however  it does have the epsom salt and it makes a great combo  the price is amazing to  i give   stars  not the best but really not bad either  i have sensitive skin and i seemed to be okay so far and i ve used this twice now  the major thing i did not like was it was not sealed  i ordered twice because the first one came with stuff all over the bottle  neither one was sealed  can t say my pain level is different but my skin feels amazing  soft      
27,5.0 ,                       love this bubble bath  so relaxing      
28,5.0 ,                       i love this stuff definitely worth           
29,5.0 ,                       best bubble bath  it has it all and the bubbles last     
30,5.0 ,              your browser does not support html  video                          the bottle suggested to pour a generous amount which i did and i was surprised by the amount of bubbles produce  after a few minutes the bubbles were pour out of my jacuzzi  i highly recommend this product if your looking for bubbles      
31,3.0 ,                       not all that concentrated but smells nice and feels smooth     
32,1.0 ,                       no bubbles at all  oily tub  didnt like it      
33,5.0 ,                       the bottle leaked a little bit in transit  but because of the way it was wrapped   sealed  no harm done to the other items in my box  which i appreciated  it has a lovely lavender scent  i only wish the cap had a lever for easy pouring  instead of having to pour from the full bottle  which tends to drip down the side      
