,CommentsStars,CommentsContent
0,5.0,                       great quality forks for a cheap price      
1,1.0,                       after about six months of light use i noticed the insides of the tines were rusting  there are a lot of good reviews and also a number of reviews stating that the forks rusted  so apparently there is inconsistent quality of manufacturing  until the rust appeared i was happy with the size  weight  design of the forks  then i threw them all out so i don t have rust mixed in with my food      
2,5.0,                       great quality forks   thank you for the speedy delivery   they were packed well and what a great price      
3,5.0,                       decent flatware  without an exorbitant price      
4,5.0,                       very good price when i just needed extras and they have been used a lot already and clean up nicely   heavy and don t look cheap         
5,5.0,                       there forks  they look like  work like  clean up like forks  lol  good deal fer the money     
6,5.0,                       the design of these forks  as far as forks go  is upscale  they feel substantial and easy to hold  i recommend them and would buy again  if i needed more      
7,5.0,                       true to description      
8,5.0,                       love them and will buy again     
9,5.0,                       very satisfied with the forks great price      
10,5.0,                       love them     
11,5.0,                       used as dinnerware  better than expected  heavy and very classic look  would go with any pattern      
12,5.0,                       great      
13,5.0,                       good basic everyday fork  simple  affordable  and does its job      
14,5.0,                       nice set     
15,5.0,                       i was really surprised at the quality of these forks  i ve had them for a few months and they are completely dishwasher safe and sturdy  i bought these to replace my higher priced forks since my kids kept taking them to school and losing them  however  these feel like the same weight as the more expensive silverware  i ordered spoons and knives to match      
16,5.0,                       great value for the money     
17,5.0,                       these are sturdy  but not heavy  good size and great quality      
18,5.0,                       love these forks  they are heavy weight and don t leave the metallic taste inexpensive silverware sometimes leaves  i will buy these again      
19,5.0,                       love the quality   definitely better than a restaurant style     
20,2.0,                       too small     
21,5.0,                       great purchase  i d buy these again  not too big  not too small   not too thick or thin      
22,5.0,                       sturdy quality forks  exactly what i was looking for thanks      
23,1.0,                       its not smooth it looks smooth but its not and the prongs are too narrow     
24,5.0,                       arrived quickly  had for two weeks seems very durable     
25,5.0,                       this fork literally have your dinner looking and feeling like a five star restaurant      
26,5.0,                       perfect      
27,5.0,                       over all very happy and the price was better then buying from my local store s and they are not thin or bendable and easy to hold with no rough edges        thanks     
28,5.0,                       very solid  works great for eating      
29,5.0,                       lovely  sturdy  delivered in one day  can t beat that         
30,5.0,                       needed more forks for everyday use and these are just what i needed       
31,5.0,                       i think these are very good quality  it was a fine price for them  as well  however  i think it s a bit rediculous that each fork has to be wrapped in it s own plastic sheath  what a silly reason to use plastic  they could be fine in one baggie together lol     
32,4.0,                       you get what you pay for and i am quite happy      
33,4.0,                       i like these forks but the handles are long  when you have small hands like i do they are not my favorite  i was excited everyone raving about them in the reviews but they re just too long for me      
34,5.0,                       well worth it     
35,5.0,                       these are a nice sturdy fork  very happy with them  i don t like a flimsy fork that would bend  these are just right   if you have teenagers in your house and need replacement forks every so often  because kids make them disappear        these are great forks to buy      
36,4.0,                       great one       
37,5.0,                       as advertised     
38,5.0,                       good silverware  good buy      
39,4.0,                       very nice looking forks  sturdy and dishwasher safe      
40,5.0,                       i was skeptical buying a set of forks for such a low price   they  forks arrived individually wrapped and packed well   they are a heavier weight that i expected   which is a bonus   they look and feel great   these are very nice looking and an excellent value   if you are looking to replace all the lost forks that can only be found by a group of teens and a dog  in a cartoon  these are the forks for you      
41,4.0,                       they work  they re cheap  look good  seem to hold up well      
42,5.0,                       nice     
43,5.0,                       it is really good quality i really like him     
44,5.0,                       i ordered a set of forks for our vacation property  we rent out the property when we are not using it and often need to replace things  lost or ruined by renters  i selected these forks based on the description and was blown away by the quality and strength of these forks   they are a much higher quality than i expected and should last forever if not longer  they are a plain pattern which is great because they blend in with other sets  i doubt any future renters in our cabin will be able to destroy these  they seem indestructible      
45,5.0,                       these are great to be inexpensive  they are sturdy and feel like they should cost more  the look is nice and the packaging is great  highly recommend      
46,5.0,                       nice     
47,1.0,                       sharp edges  thin  cheap feel     
48,5.0,                       they look great and feel great   i don t know how my family managed to lose all but one of our forks  but these were the perfect replacement         
49,5.0,                       it was hard to find a set of just forks without spending an arm and a leg  these came in handy     
50,5.0,                       inexpensive and do the job  a few tines are warping on a couple of the forks  for the price they are a good deal      
51,5.0,                       this is a very great purchase for the money  these are very sturdy forks and hold up very well  would buy them again      
52,5.0,                       after my forks ran away or retired from forking i ordered these and actually surprised by there quality     
53,5.0,                       perfect for office or home use      
54,2.0,                       beware if ordering set of     instead of      product seems fine  but shipped order quantity was incorrect   i ordered a set of    and received      barcode sticker on the package stated it was a set of     but manufacturer s labeling on box and contents reflected only    pieces   i was not able to simply get a second set of    shipped to resolve the issue and instead had to return      
55,5.0,                       these are in a great addition to match the silverware i already have at such a great price      
56,5.0,                       these work great and are heavy enough to not feel cheap      
57,5.0,                       these are big sturdy forks that are pretty basis utensils   nothing fancy but they do the job      
58,5.0,                       these forks are perfect for using during fellowship time after church  i wanted a sturdy fork and these fit the bill      
59,1.0,                       there are many different  fork options  don t choose this product  the rust proof coating is not properly applied in between the tongs and will rust within a month  very unsatisfied      
60,5.0,                       easy for everyone in the family to hold   especially my grandchildren  who are all under the age of ten      
61,5.0,                       i loved the shape and feel of these     
62,5.0,                       my husband and boys are very picky with their  flatware  they pass with their  approval  they are sturdy and fit comfortably in their hand  they said that they do not feel flimsy or too thin  which would make it difficult for them to hold      
63,5.0,                       i haven t had them long enough to where they might be rusting falling apart so i can t speak to that  but this was a great value for what i paid and they re nice sized weighted forks      
64,4.0,                       i have purchased this multiply times  each time they come in great quality and very sturdy  only negative is some times the edges on the handles are a little rough or sharp      
