,CommentsStars,CommentsContent
0,4.0,                       good     
1,5.0,                       nice product     
2,5.0,                       it s perfect i love it  everything came in that was in the picture and it s just amazing        
3,3.0,                       tuning keys were very difficult to turn  you re all quality of the guitar was great other than this little issue with makes it difficult to noon and stay tune i would recommend paying a little more friendly guitar to make sure that this doesn t happen to you     
4,4.0,                       i own an electric guitar and tried to learn how to play it  i thought it was okay to learn first  but  i learned from a friend at work that acoustic is can be better for beginners  i don t make much money so i bought this one  cheap and quick to learn more  it works like any guitar would  i have found that when it was brand new  every day i picked it up to play it  the string were out of tune after i just tuned them the night before  it seems that they just aren t tight and need to be tightened a lot  they are new strings  after retuning it for   weeks everyday  it doesn t seem to come untuned again  still  pretty good bang for your buck      
5,4.0,                       just as it has stated  i got all  got   stars because each time you want to play  you have to tune it  all instruments have to be tuned  my pitch pipe is malfunction but  can tune the guitar using app on smartphone      
6,5.0,                       granddaughter loves it     
7,4.0,                       man     tuning it is impossible     
8,3.0,                       the guitar itself is decent for a beginner   the accessories that came with it are rubbish   the bag broke on the first use  so did the strap   the electronic tuner never worked and the pitch pipe sounds like a blue whale dying of emphysema      
9,5.0,                       i love my guitar    i bought this guitar a year ago after deciding on a whim that i wanted to learn guitar but not wanting to spend too much money  i was looking for a good starter guitar and this was exactly what i was hoping to find  while you can tell looking closely that this beautiful guitar is cheaply made  for example  the rosette and sound boards are both stickers rather than being built into the guitar  they don t fall or peel off so i don t mind that  but that s one specific difference in quality compared to more expensive guitars   it is good quality for the price  has good sound  and still looks like a serious guitar   it is a bit smaller than the standard size   as some others have mentioned  it falls out of tune very quickly  but that felt easy enough to me to resolve with the tuner  included   pitch pipe  included   or by tuning it to a guitar tuning video on youtube  this also comes with an extra set of strings    different style sound boards  you choose which to install put on   a pick holder that you can attach to the guitar  i love this    a set of picks  a strap  and a case  the case is not padded at all  so be careful  but i ve still been able to use it to transport my guitar and am really happy that this guitar came with it because i wouldn t have wanted to spend money on a separate guitar case at this point  the case opens at the bottom and has an adjustable strap and pocket  i haven t used the separate guitar strap because there wasn t something to attach it to the guitar on both sides  but i could have figured this out if i had tried harder  i think there might have been instructions in the other reviews oh also  another perk of this guitar is the strings and fingerboard are very comfortable  at least for me  i tried playing a friend s guitar after playing this one  and the strings were spaced a little bit higher above the finger board than this one  meaning it required me to press on the chords harder to play  playing this guitar was much more comfortable to me by comparison if you are an intermediate guitar player or more serious than i was about your long term commitment to guitar  you might want to get a more expensive guitar set but for someone like me who wants something beautiful and functional but cheap  i leave this with a very definite   star review  i am thoroughly satisfied with this guitar set  i love that it is a complete set with everything i needed to get started and an excellent value for the price  i may upgrade someday  or i may be happy with this for my whole life as an amateur guitar player  i highly recommend this guitar        
