,CommentsStars,CommentsContent
0,4.0,                       i m very happy with this hub   it s nice and small and works just great   i own a sabrent usb     hub as well  and my experience with it caused me to select sabrent for this purchase  too i would have given it   stars  but for one thing   the cable is very short  maybe a foot or so  which is great for laptops  but i m using it on a workstation tower that is located under my desk  so i had to get an extension cable for it   no biggie  and i wouldn t let that stop you from getting this unit note   i was having trouble with my logitech unifying receiver when it was plugged into the back of my tower  poor reception from mouse    i now have the receiver plugged into my sabrent hub  which is located on my desk s work surface  and it works great      
1,4.0,                       i have been looking for a usb hub for a while and none were the  bang for the buck  i thought they should be  i read the reviews and thought i would try this one it is nice  it works well and i have quickly filled up each port the disadvantage of this unit is the length of the cord that runs from the hub to the computer  it is very short  i use a laptop and this would be really great if the cord was longer and i could then velcro it onto the lid and when using  the hub is out of the way  i can t do that with this unit  that is a big drawback for me and i do mean big however  the price was more than fair for four ports if it had a longer cord  it would be perfect     
2,4.0,                       looks great and is exactly what i needed  only reason i gave   and not   stars is because sometimes the pc won t pick up the device plugged into the hub if you plug it in while the computer is running   plug everything you need into the hub and then start your computer to avoid any glitches   otherwise it s a great product      
3,2.0,                       one by one each leg went bad  only needed two outlets so it took a little while before completely worthless  but wouldn t buy again and certainly wouldn t recommend      
4,5.0,                       in regards to the sabrent   port hub with individual power switches and led lights is a great bargain  i have been using it with my lenovo ideapad  if anybody has one you know that there is a lack of usb ports like any other laptop i ve had no problems whatsoever  i attached a magnet from a old hdd so it can attached on the side of my metal cart desk and not be in the way  as far as transfer speed it does what says it does  solid device at a low price  very satisfied with this purchase      
5,5.0,                       i really like this product  i use the usb     hub as an on off switch for usb led lights mounted on my pull out keyboard and for switching between monitoring my two ups sources  the lighted switches are a nice touch  i use the usb   hub to disconnect my two usb     backup drives  flash drives  and card reader from my computer  that allows me to physically isolate my backup drives and thus better protect them from malware  i receive a notice from my calendar to reconnect the drive prior to my acronis backup  acronis      sends an email when the backup is complete  as a reminder to disconnect the backup drives  knowing that your backups are safe is truly priceless  and this is done with  remove hardware  followed by pressing a button      
6,5.0,                       very easy to use  just plug and go  cord could be a few inches longer  but still easy to use  lights let you know which port is active      
7,5.0,                       i use this product to hook up multiple usb devices to my laptop   mouse  keyboard  headphone i like the idea that i can push on and off the device when not in use without having to unplug the entire hub      
8,1.0,                       junk  it didn t even last   years  it was okay for the first   months or so  but then the usb cables that were plugged in would lose contact and weren t working properly  i would have to jiggle the wires for it to work  i would not recommend purchasing it  spend the extra     for a quality piece of equipment instead of this garbage      
9,5.0,                       not much to say other than it works quite well  it s been holding up for the past couple years i ve been using it  definitely recommended as a cheap  compact usb     hub  as other reviewers mentioned  it s a bit tight and you may need to pull a little harder to get the usb cable out  but i don t mind it too much      
10,5.0,                       i bought this product because usb     creates signal interference in the    ghz      ghz range  which happens to be the frequency that bluetooth and most wireless mouse and keyboard dongles use  so  if you plug those devices into a usb     plug  you are likely to get intermittent problems with those devices stuttering or not working  with this usb hub  and a usb extension  i am able to plug my wireless mouse  keyboard and bluetooth dongles in at a safe distance from the usb     ports  and alleviate that problem      
11,1.0,                       this was about as useful as a a block of wood in a steel factory  this would not charge anything that wasn t a simple device  iphone   no  ipad  no  basic headset  yes  but it charged slow  there is a place for a power supply that probably should have been included  this just was a vapid waste of money  thankfully i was able to return them for a full refund      
12,5.0,                       i ve been doing a lot of hybrid bible studies and i needed additional ports for my added microphones  cameras  etc  for my macbook air   this worked just as i needed it to  one thing to note  i couldn t use any of the usb ports on my macbook when i had this inserted  this was the only device i could use for ports      
13,5.0,                       it is just what i needed  and at a great price   my macbook only has two usb outlets and these days  with all the zoom for work  classes  etc   it became necessary to have more than two items plugged in at a time   external microphone  cooling pad for my older computer  the printer  ring light         now i don t have to unplug things  and that is a welcome help   i like that i can turn each slot on of off      
14,5.0,                       i have had a lot of issues with my work laptop not allowing or recognizing my devices with this working from home quarantine  this worked    it gives you extra usb ports which is amazing  this is a must buy        
15,4.0,                       very convenient usb hub  definitely needed it to use my usbs on the desktop computer which doesn t have enough built in ports for me  it s small enough to stay out of my way  the only thing about this hub is that with the type of usbs that i have  i can only use   at a time because my usbs are a little to wide to use all   ports  that s the only complaint i have   for me  the chord is just the right length  happy with my purchase  the price was excellent      i bought        
16,5.0,                       this is the  nd one i bought in a few years  reliable product  the first one still works fine  i needed a  nd one for work   the cord s length is perfect  not too long and short enough to my likings      
17,5.0,                       the   port charging station works well with the led light   charges fast   the only negative is the  ft cord   it cannot be moved or reached other than where it is located      
18,5.0,                       this product is super easy to use  plug it in and plug things into it and go  the cord is fairly short  which could be a problem if you need to connect it to the back  but its perfect for me   since i just ran out of usb ports  put a piece of tape on the bottom of it to stick it to the computer  and i m a happy guy  i especially like the individual power buttons for each slot     
19,5.0,                       because of my home office   studio setup  i needed usb ports in two locations  i purchased sabrent s     usb hub for my recording gear  webcam and game pads  and their     usb hub for my bluetooth mouse   keyboard dongle and printer the     and     hubs transfer data exceptionally well   no connectivity issues  lag  or playback issues whatsoever  having an on off switch per usb port is incredibly convenient due to the number of instruments and mics i use for recording  both hubs are the same size   they re slim   compact and easy to keep out of sight the sabrent     and     hubs together cost me     and transfer data for   devices simultaneously without a hitch  having two separate usb hubs allows me to keep all devices connected to my pc and in their proper place i couldn t be happier with these hubs  and highly recommend them      
20,5.0,                       the laptop i was issued from work only has one usb port   not handy   so a few months back i ordered a belkin usb       port ultra mini hub by belkin from amazon which didn t work very well for me   the things i had plugged in kept losing connectivity  i thought maybe that s just how good it was going to get since i d never used a hub before   however i got so frustrated that several weeks back i came back to amazon and ordered this sabrent   port usb     hub with individual power switches and leds and i can t believe the difference   i have not once lost connectivity with anything i plug into it    of the   hubs are currently being used and i m loving the fact that i don t have to work in frustration any more   i wish i d gotten this one first      
21,4.0,                       i was seeking to find a compact  self powered hub for travel  as the macboo k air is very limited on usb ports  and i ve been pleasantly surprised with this gem  it fits neatly into a pocket in my carry on bag  fits snugly in the port  and thus far has been completely foolproof with everything i ve plugged into it turning off and on of individual devices is nice  as well  however  if i were to have one suggestion  it would be for a longer cord on the unit itself  the short cable tends to place the hub in some very awkward positions  especially when using the laptop in clam shell mode  on a vertical stand   fantastic little budget port for travel  though    glad i purchased it      
22,5.0,                       i am a virtual teacher this year  i have my wireless mouse and document camera plugged into my computer daily  i recently purchased a wireless keyboard  i only have two usb ports on my computer  i use to have to unplug one device in order to make room for the other  this port has solved my problem and another tool to make virtual learning easier      
