,CommentsStars,CommentsContent
0,1.0,                       warning  these masks do not provide a proper seal  the nose piece is flimsy  i do not believe these are fda approved and will report them  false advertising     
1,3.0,                       workmanship appears adequate   made in china apparently for chinese size heads   ear loops are short and uncomfortable but do appear to be well anchored   overall measurements seem designed for smaller faces   definitely not suitable for beards   nose piece is adjustable but it takes more work to get it to fit properly than flat masks   i think i could only recommend this for small to medium faces without beards      
2,1.0,                       these masks made our throats hurt  even causing canker sores  there is something nasty in these  they are good construction and comfortable  but whatever is in them isn t clean  used   masks total and now it s a waste  rather wash fabric masks and be blinded by fogged up glasses than have to wear these again  don t buy      
3,2.0,                       these mask seems to be of decent quality but they have a small surface area  especially from the top to bottom   if i move my jaw just a bit  like when talking  the mask will slip down on my nose   don t know if they would work for someone with a small face as the ear straps seem to be average length have bought other k   masks that are slightly bigger  just as good if not better quality  and fit perfectly      
4,5.0,                       i work in a hospital and these masks are very comfortable and have a tight but comfortable seal   the only minor problem is after wearing them for several hours  they are just a little bit hard to breathe in  we don t use anything else though   we feel very well protected      
5,5.0,                       it s a mask    function  rather than fashion  is paramount   these masks offer full multi layer protection with just enough interior space to allows for breathing   ear loops are comfortable with adequate stretch   mask seals comfortably against face for good protection   and these masks also come with instructions for cleaning      
6,5.0,                       we ordered these and have been wearing them at work for the past   weeks  these are kn   masks and provide much more protection than the cloth or disposable ones we were using  they re comfortable to wear  much easier to breathe  fit snugly around your face while leaving space for you to talk without having to keep repositioning the mask  don t fog your glasses  and fold up neatly when you take them off  they are also reusable  simply let it air out for a few days before using it again  you can use one  set it aside  use a different one the next day  set it aside  same for a few days  and then start the rotation all over  don t use soap and water or alcohol based desinfectant to clean them  just rotate them  airing them out before using them again      
7,3.0,                       i see it has been written that they have dozens of holes punched in them  i thought so at first as well but if you look at the outside of the mask in a bright light you will see that the  holes  are actually heat welded seams  they reflect light  they are solid heat welded areas that are more transparent  so they can appear to be holes  but they are not holes at all the masks are comfortable  but they do not pass air nearly as well as what i am used to with a  m or especially a moldex n   mask  nor do they seal as well around the nose  for me anyway  they suck tight to your face when you breathe in i d say they are as good as the typical disposable  medical  type mask a lot of people wear and that seem to be acceptable for reducing the risk of contracting bugs  those don t really seal around the perimeter at all if the filter medium restricts air more  then more air will slip through the perimeter  thus unfiltered so i would not wear them around serious risk areas or for construction where you are trying to filter out drywall dust  fiberglass dust  etc personally i doubt that they meet the usa n   specifications      
8,5.0,                       some have said that these are really   or   layer masks  but they are not  i cut one apart and easily found four layers   but by looking close and tearing them apart  the white material inside the black material is two thin layers  so these truly are a   layer mask  i have a little trouble being understood sometimes while wearing them  but i would rather have the extra thickness that you don t have with the standard surgical masks  i was double masking as advised by the cdc  but with these masks it is not necessary  they make me feel much safer  one review was written by a nurse who recommended these  and that is a good enough review for me  i recommend these masks      
9,1.0,                       these are not in    masks and they are pretending to be that so there is a truth in advertising thing going on here  for untruth rather  deja flimsy and they don t smell good     
10,5.0,                       my mask fits like a glove and i think i m getting more protection  my wife s face is a little smaller and she does a lot of typing  she says looking down a lot causes the mask to touch her eyes and is not as comfortable      
11,5.0,                       i purchased these three months ago and work in congregate care for children and am in daily direct contact with children and adults  so far  so good  i wear these all day every day and forget i m wearing it  i have them on hooks labeled monday through friday and will reuse a few times before switching out  i ve been contact traced but have luckily never gotten covid thanks to several safety precautions  one of which are these masks      
12,1.0,                       not sitting with a hot glue gun to reinforce the elastic straps so that they don t snap pop off of the actual mask fabric i would look elsewhere of course  must of these masks are made by the chicoms  so it s hit or miss with the quality they don t believe in quality control this product shows this to fact      
13,4.0,                       i feel very well protected when i wear this mask  the only issue i have is that it can get very warm on your face   i feel it doesn t breath very well so i wear it only for a short period of time when going in and out of stores  restaurants  etc   i would not wear it working out in a gym      
