,CommentsStars,CommentsContent
0,5.0,                       so far so good  this was purchased as an early christmas gift  the enter key and space bar design make for a very comfortable gaming keyboard  the keyboard itself has a matte finish over the keys  making them comfortable and easy to use  the extra keys are super nice as well  one of them along the top will open your my computer folder with just the touch of a button  its function keys are akin to almost having a laptop keyboard for your desktop  allowing for easy access to things just from your keyboard  rather than needing to constantly adjust your speakers to your computer  or vice versa  the mouse is a little bulkier than we are used to  but it has good response times and the buttons are springy and respond well on both keyboard and mouse  overall would recommend as a good budget gaming mouse keyboard combo      
1,5.0,              your browser does not support html  video                          i love the color setup on the keyboard and how you can choose to turn it off  on  and  breathing mode  where it phases in and out   the colors are preset and do not change on the keyboard   the mouse does change colors but from what i can tell there is no option to pick   color and stay on it   i ll be setting this set up on my daughter s gaming pc which i feel will help her because she lights to play without the overhead lights on and the led lighting on the keyboard really helps you see the keyboard in the dark   i had recorded a video of the mouse color patterns too but it seems we can only upload one video per review      
2,5.0,                       it has been   months and i can t say much about how good the mouse is because my husband only used it for a couple of months and didn t like the feel of it so he got a new one   it worked good but while playing cod he hit the side left button by mistake too often   he loves the keyboard and it is still working great but the w paint has rubbed off because that s his run button   it still works perfect but we are remodeling our house  he built a new desk and he got a new keyboard same one but without the mouse    he will use this one as a back up      
3,5.0,                       so i recently switched to pc from ps  for gaming  i play fps  in particular warzone i used to play on keyboard back on counterstrike     days    so it s been a while  the keys are very responsive  it only has one pattern of rgb but it can go bright or dimmer with breathing pattern options i can t say it is all coincidental  but i went from   win every other day to getting like   wins a day in warzone  the mouse quick change in dpi really helps with steadying snipes or snapping turns to     an opponent that catches you off guard      
4,1.0,                       i have been a pc professional  since        was director of technology for  liusky int  magitronic  vp of engineering for channel communications and  vp of technology for harman kardon and i have no clue any anything but junk one can  call this piece of garbage  anything but junk  yes it is dirt cheap  but at any price this is junk and the people  loving  this are not qualified to judgefirst  the  lights have three  levedark  less dark and slightly lesser dark  but they are not  bright at all someone kidded themselves into calling it   mechanical nope it is  not mechanical it is membrane  and bad one there is no  click  and it overheats very fastas i said junk      
5,4.0,                       for the price  i d call it a decent keyboard  but it doesn t appear to have any macro capability  which in my own book leaves it unfit for a gaming keyboard   i always need that one  click at top speed  macro for the games that insist on rapid clicking for normal play   still  the keyboard has the pretty lights  buttons to control pc volume  and the keys are quiet  no clicky noises    the extended front looks like it s trying to function as a wrist rest  which i personally feel falls short of the mark in the worst possible way    but it s probably a  your mileage may vary  thing   some people may well like the extended front  but that very feature may force me to replace it with a keyboard that i can use a proper wrist rest with oh right  it ships with a mouse too   it s no trackball so i ve stashed it in a drawer for the fateful day my regular mouse breaks    lets give that a quick look   snazzy art design       decently bright light if i plug it in     the mouse wheel does not support left right motions  but most people don t use that mousewheel function even when it s present    and the blinking the mouse doeswhen i change dpi settings would be an issue in an unlit room  epileptic seizures being things that like triggering from blinking lights     half the point of having a glowing keyboard mouse being to use them in an unlit room  i could see that actually being a problem for some users   but the combo mouse keyboard still looks snazzy  and for some it s the looks that matter      
6,2.0,              your browser does not support html  video                          the kb has good action and fairly standard placement of keys  though i often hit the volume down key when i mean to press ctrl you will notice   things from the picture  the keys wear out from natural oils on the skin  food oils  and frictions   there should be some protective coating the caps lock is missing   i always remove caps  lock because it is annoying that it activates so easily   it should be a multi key toggle or a real switch   the insert  overwrite mode can also easily ruin a writing session   but these are problems endemic to all keyboards  pardon my rant turn the lights off  put stickers on the keys and it s a decent kb though the lighting is bright enough  but these tired old eyes could use larger symbolsthe sequencing has a few presets and adjustments for timing and brightness i have an older letton which looks exactly the same  with more worn out letters  that has a more pleasant sequencing for the kb and mouse wouldn t it be great if there were a cross platform python interface to control the lighting sequence another triviality  but fun      
7,2.0,                       first and foremost  they changed the design  most of the reviews you see here that are positive are older reviews from       when they had an actually good design  so  please disregard any review that came from before       as they are not talking about the same mouse and keyboard you potentially will be buying that said  onto the new design review the mouse lod  lift off distance  is rather high  which means if you lift your mouse off the mousepad at all  it ll still keep detecting movement even if you re half an inch off the pad  this can be extremely inconvenient as it will mess up your movement  the newer mouse design is a bit heavier then the previous design  but not too bad  its shape is mediocre  but acceptable too  its biggest flaw however  is definitely the lod which can inhibit movement during gameplay so be aware of that  perhaps it could be fixed with a little tape  but i m not terribly sure  as is however  sensitivity of the sensor is way too strong as for the keyboard  the design is also mediocre  its a pretty standard keyboard design  which generally is passable but nothing great  unfortunately  within a minute or two of typing and gameplay  my wrist started hurting and i m unsure if it was was from the mouse or the keyboard  i m actually inclined to think keyboard  but either the mouse or the keyboard had a design that wasn t super great for comfort wrist health  in addition to that  the new keyboard design lacked some keys from the previous design  which essentially played the role of the fn keys  and although the feature is now in the fn keys  it is not nearly as convenient or efficient as having the keys separate havit  if you re not going to go back to the old design  would you potentially consider making a separate page for the old design  i know i certainly would buy a brand new set of the old model if you were to sell it  as it was quite good and was a different design wise then other keyboards i have come across  including your newest design  or perhaps consider making a new design that incorporates more of the old designs   for both the keyboard and mouse  both were quite good  to customers  i am intending to ship back the set of the      version  and maybe the set will work better for you  but it doesn t quite work for me  if you do decide to buy it however  hope it works         
8,3.0,              your browser does not support html  video                          the keyboard is super light feels cheap  as seen in the video  bumping the keyboard hits certain keys unintentionally  non adjustable rgb lighting  only dimming options  bought this for my ex while on deployment  decided to give it a shot now since i m back and cleaning out all of my old stuff  it s not worth it  you can get a steel series keyboard at walmart for roughly the same price with more durability      
9,3.0,                       hi i bought this product about   months ago and when i was playing with it i heard a click  i didn t think much of it but when i got back on i saw that i couldn t use the left mouse button wasn t working correctly  when playing certain games reaction time and response is key but it would have a big delay to respond and made me lose a lot but i thought it was just the game until i tried other games  the same thing happened to me and i would have a large noticeable delay for everything  then i tried to use a office mouse that is not meant for gaming    but that was completely fine and it worked well  then i realized that the mouse button had broke  so i was wondering if we could have a replacement if not a refund or if it has a manufactures warranty      
