,CommentsStars,CommentsContent
0,1.0,                       painfully slow     not only is it slow like      dial up  everything i touch sticks  i touch the browser  it sticks  i touch an app  it sticks  email  it sticks   i regret buying this  waste of money  its a paperweight now     
1,4.0,                       i m gonna compare this  g ram version with the ipad      its not a fair fight but because the ipad was on sale  its     more than this lenovo m   plus  and i got both on the same day don t use chrome browser on this tablet  it makes it very laggy especially if u are streaming hd videos i use microsoft edge and disable ad in the options and it loads way faster the ipad was blowing this thing away when loading sites now it s same speed n some sites it even load faster lenovo   smaller bezel   very easy to hold  lighter than the ipad small battery  lasted about   hours web browsing on half screen brightness over all it runs pretty smooth but multi tasking can make the table abit laggy screen is clear but not as bright  ipad  same big bazels as       feels big and heavy holding it bigger battery  got little over    hours screen time web browsing with half brightness the os is very smooth and handle multi tasking very well screen is pretty much the same  both are very clear but the ipad is brighter over all this is a good tablet  it s an entry level tablet so don t expect too much know what u need it for before u buy im happy with it     
2,5.0,                       this is my fourth lenovo tablet no i didn t buy a fourth one because the others broke i bought this one because it is the newest version of the lenovo tablets and it does not disappoint  my first   lenovo tablets were over   years old and they were dated but they still work fine but i sold them  they had the older android or there so they could not update anymore  i had this tablet now for about   days and i have been using it every day it is beautiful very easy to work with very thin in very expandable with a sd card  i am adding a     gigabyte sd card to it so i can add more music to it  plenty of room for all of your apps your netflix hulu plus hbo max whatever you want to put on here you can add to it you like playing video games go for it you can download tons of games to it as well  this is a very easy tablet to carry around it is very thin so i would say get a carrying case for it throw it in your backpack and you are good to go      
3,5.0,                       i have always loved lenovo ibm  this tablet even being the to gigabyte model of ram works      i watch youtube with it hulu netflix no problem whatsoever  i can t say much for gaining but i can say for watching or streaming videos or movies it is perfect  feels very premium at a low price      
4,4.0,                       good product but need to attach speakers by bluetooth      
5,4.0,                       only had it a few days    so far so good  sound quality could be a bit better     
6,1.0,                       bought it thinking sound quality would be better than the other tablet i have and it turned out  it was worse than my phone   shocked by that   i had intended to use it in the office for streaming tv  and music   have a hard wired audio setup to go thru the headphone jack and the audio was horrible   then the thing locked up on me and i had to power cycle it to get it back   locked up again and then was returned      
7,1.0,                       i found this warning in a label in the product box  which is not available in amazon product description     this product can expose you to chemicals including lead  which is known to the state of california to cause cancer and birth defects or other reproductive harm     this serious statement must have ben presented in the amazon product description page      
8,4.0,                       used the tablet last weekend for my drone as my pixel   phone would not pair with the drone  this didn t either at first but did eventually  the bigger screen is a plus for that purpose and if it gets dropped this is much cheaper than the phone  noticed no notification last week but this week it did a system update so now          the tablet is on android     syrup   jawbreaker    my defunct tablet is an old toshiba thrive and has a charging base that i wish this did as well  there are pins that are likely there for that reason  the screen looks very good and the system is smooth and responsive  at least it was with v   i did pay for and get the plus model according to the box but the little drawer will not release with the supplied tool  i read that the wlan model will not accept an sd card so if this thing has its mouth glued shut i will get it open and find out whisky tango foxtrot  have to ding it a star for charging base not being available  it wasn t cheap for the thrive  and for the sd card slot not opening  i seem to remember seeing somewhere that mine is the wlan model but the box definitely says otherwise and so did the price  it is setup to be my dog s tablet so anyone can use it and read her muttmail   i hope she doesn t use it to order a truckload of bones  all in all i recommend this tablet and sarah  the dog  gave it a pass after her customary smell test  hasn t tried to bury it in the yard nor has she shaken it like a screaming redheaded  bucktoothed baby and rip it apart like she did my friend s maga hat update         tried the ds card tray release tool again but no matter the effort and prying it was futile  with the tool shoved all the way in it was time to get the knife out  it put up a good fight but even though it was as stubborn as the dunce woman living in my house my determination eventually won out and the jaw gave way  put in anoew ds card  the tablet formatted it and all is well  only had a    gb class    on hand but will up it to     when the need arises      
9,2.0,                       i bought for the advertised high quality volume not so      
10,2.0,                       tablet isnt that bad for light browsing or youtube  i regrettably bought the  gb version which made playing clash royale unbearably painful watching the screen freezing constantly durig game play  i would recommend you pay more for the upgraded ram if you re looking to multi task with this tablet      
11,2.0,                       i had higher hopes for this tablet  i purchased   of them for my kids thinking that the octo core processor would be good for them to play roblox but the tablet is super slow  it lags when the kids are playing and if they have a video playing  the tablet gets really slow  disappointed in the lack of performance that it advertised but not have      
12,5.0,                       great value  great battery life  seriously  and very bright  i am surprised at what you get for the same money you would spend on a no name tablet      
13,5.0,                       battery last a long time     
14,1.0,                       i have bought it for two weeks and i am sure it is a junk i bought it just to learn the language never downloading movies or games but it was slow stuck and the touch screen was insensitive i still use my iphone to study i just want it to rest for a while it is getting old suggest not to buy this tablet       
15,5.0,                       great tablet for the price   pairs well with a bluetooth keyboard   very good battery life      
16,2.0,                       i went with this tablet due to lower cost and good reviews and only needed it for small task  however as soon as i set it up it would make a weird scrambling noise thru the speaker  almost seemed like it did it when something was downloading in the background or if i opened an app  the noise wouldn t interrupt while listening to music  very annoying  the volume button on the side was a pain  the home graphic displayed on main screen was cut off at bottom of font  and it was very laggy even tho i didn t have much installed  called tech support and he told me it was normal for it to make that noise and couldn t fix it   since it was new and already dysfunctional  figured it probably wouldn t last  i returned it and purchased a samsung galaxy for a bit more    but loving it much better  on a positive  it did have good screen quality and very vibrant      
17,4.0,                       so i decided to upgrade to a bigger tablet i m very pleased   i m going use it mainly for reading       
18,1.0,                       horrible  not guidance on how operate all searches lead to nothing that works   leveno website does not have a customer service contact your stuck with the useless tablet because they do not care to have any help with their product      
19,1.0,                       tablet was great initially   great sound and picture   fist issue i had was the micro sd slot   it wouldn t open normally  once i finally got it open and inserted a card which fits tightly   ill never get it to open again   biggest issue is the sound stopping   ear buds work fine but no audio from on board speakers   i will try to return product      
20,3.0,                       the one i received had display issues   the one i received had a dull screen in it s background white values   far from  paper white  which for me was caused contrast and text reading difficulties  shame  because colors  pics  and vids are brilliant as i don t notice the grey against a strong color ok f display  i was not able to adjust any of the multiple settings to overcome the text issues  further  bolding text and brightening in settings caused slightly bizzare effects and rapidly used battery much more than expected  although i can t qualify the latter battery issue with a bench test value otherwise  i was impressed by the pad and its build and qualities for this price point   ultimately  i had to return it    wondering if i got a sub optimal display or they are all shipped this way   for about fifty dollars more i got the competitor s      tab which was an improvement over the lenovo      
21,5.0,                       i love the the display very clear and sound is very clear and all together looks and sounds great    but the battery  doesnt last long at all  it last about maybe   or   hours and then have to charge it      but speed is very good and i would recommended to my friends       
22,5.0,                       excellent tablet in terms of performance  size  weight and really fast charging  review is after months of use  much faster than an earlier asus and a recent model lenovo   in tablet  did use android task mgr to kill periodically running tasks for even more performance        
23,5.0,                       bought this for use with my schwinn indoor cycle   fast and great resolution for cycling tours      
24,5.0,                       this thing is awesome  well worth the money  i d say it s slightly faster than my ipad  i got the   core   gb ram  and   gb storage version of the m   fhd plus   the screen is amazing  there s no lag  and i ve done some be pretty heavy workloads on it just to test it out  large spreadsheets in excel  large powerpoints  no problem  i love the widescreen format for watching movies  and the audio with flac files is excellent  highly recommend this  i would definitely but this again  i was going to buy one of the fires  but the specs on this we re better and you get the full play app store without having to sideload it  and even when you sideload the play store on a fire  some apps just aren t available or compatible       
25,5.0,                       this is my  rd lenovo     tablet  i replace them every   yrs or so when the battery life gets too short and the os is outdated   wow  this is a huge upgrade from my last one  the screen is gorgeous  same res as last one but looks better  nice color  the tablet is slightly smaller than the last but the screen is actually bigger  a downside is that without a cover  it s very slippery  another issue is battery life  not horrible but the battery should be bigger   over all though  it s a great tablet and blows away the amazon fire garbage      
26,5.0,                       i ve had this tablet for about a month and really like it  the screen is excellent  and the sound is good  very pleased      
27,5.0,                       love all the lenovo products i ve purchased and this tablet is no exception  using it as we speak to write this review  just a joy so far      
28,5.0,                       i was very skeptical about purchasing a tablet on line without trying iy out first  but did a little research and opted in to buy the lenovo tablet    and it is more than i expected from a tablet  quality and efficiency is well worth the price       
29,1.0,                       not work cellular     
30,5.0,                       i tried several tablets from amazon    sent them all back but this one    i upgraded to the    gb storage model and im glad i did    all my apps work and it is very fast    downside is i had to wait a week for it     
