,CommentsStars,CommentsContent
0,5.0,                       got it for a canon camera  memory speed works completely fine and for the price it gets the full   star   besides  it can save more than        raw   jpg   mp pictures       
1,5.0,                       it s different from what i expected     
2,5.0,                       i was very interested in taking advantage of homebrew software on my old wiiu  i tried to use a couple of microsd card with sd card adapters  but they kept failing  i decided to pick up one of these  it has worked time and time again without issue  transfer speed using a usb     card reader  not included  obviously  was nice and fast  if you are in the marker for wii u homebrew  pick this up immediately      
3,5.0,                       hope it holds all my daughter s basketball games      
4,5.0,                       delivered fast with no problems  i bought this to use with a cammera i just bought  it arrived ontime the next day  i used this once or twice then had to return the camera  i had a mirco  sd card and used that on first   when ii changeed to using this one my pictures noticeably improvrd   recommended     
5,5.0,                       i use these in my hunting cameras and they work fine   records excellent pictures and video   nothing negative to say      
6,5.0,                       purchased this memory card to replace one that had error issues  for one of my dslr cameras      
7,5.0,                    hola  saludo a todos los grupos amaz nicos en el nombre de jesucristo   es un verdadero placer escribirles para decirles cuanto les agradezco porque estoy satisfecho con los servicios que me han brindado en mis compras  aprecio mucho el producto  gracias  que dios los bendiga         
8,4.0,                       nothing special  does what it s suppose to     
9,5.0,                       this purchase was for a game camera  works great      
10,5.0,                       good sd card     
11,5.0,                       works well right out of the package  used it for memory back up for my icom      hf radio      
12,5.0,                       came promptly  works well for my camera      
13,5.0,                       very good quality  i am happy with my purchase     
14,2.0,                       as other reviewers have noted  the write speed of this card is horrible  i bought it to replace an older sd card and the sandisk performed much worse  here are the comparative benchmarks for both   sandisk   gb ultra sdxc uhs i memory card      mb s  c    u   full hd  sd card   sdsdun     g gn inwarning  only       of       mbyte tested test finished without errors writing speed       mbyte sreading speed       mbyte sh testw v                                                              samsung pro uhs i   gb sdxc memory card   mb sg  d amwarning  only       of       mbyte tested test finished without errors writing speed       mbyte sreading speed       mbyte sh testw v                 this may be fine for some uses  but is unsatisfactory for photo video cameras   one of the main targets of sandisk memory cards  my canon  d mark ii shoots long bursts of raw images at   fps and this write speed is insufficient      
15,5.0,                       works great with my camera not the fastest loading but definitely not the slowest     
16,4.0,                       i used this card for my trail camera and was really impressed with how many pictures it held  it was really easy to use and for the price  you can t beat it      
17,5.0,                       awesome item to put in hunting camera     
18,5.0,                       exactly what it is     
19,5.0,                              
20,5.0,                       now i have extra cards  just in case  love how quick these cards were delivered      
21,3.0,                       returned camera  going to save for a better camera  opened this so i think i m stuck with it now  no camera to put it in      
22,5.0,                       a great value for the money      
23,5.0,                       i really like the san disc product  i ve used them in the past and have been very happy with them  reliable and long lasting product      
24,5.0,                       the card works well in my canon t i shooting both pics and      hd video i d buy it again      
25,5.0,                       i bought this for my son s camera      
26,5.0,                       works just like the more expensive ones  great price      
27,5.0,                       used for a trail camera has very clear pictures     
28,5.0,                       was going to go with a cheaper brand but reading other reviews i got a little worried  spend the extra   and buy from a good brand     
29,5.0,                       enough room for a lot of filming     
30,5.0,                       works at it should  you can t go wrong with sandisk      
31,5.0,                       very happy with product  no issues works exactly like an sd card should it saves the pics  installs in any device that accepts  an sd card     
32,5.0,                       good value for my digital camera      
33,5.0,                       perfect for our outdoor camercas      
34,5.0,                       it works well in our cameras      
35,5.0,                       i use the cam park t   trail camera   formatted quickly and works beautiful for video and pictures      
36,5.0,                       great   pack  using for podcast     
37,5.0,                       just what i needed for a new camera that i purchased      
38,5.0,                       works well in my game cam      
39,5.0,                       san disk is my go to memory card  nice to shop at home on amazon got the products i use  arrived on and delivered with care      
40,5.0,                       wish it wasn t so pricey  but it did its job so that s   stars from me      
41,5.0,                       great value for the money     
42,1.0,                       i m sure this is a great product but it didn t work for the camera it was recommended to buy with so we have no use for it     
43,5.0,                       i like the product awesome     
44,1.0,                       this scandisk bent the second time i used it   i didn t jam it in to the reader   it bent underneath the metal contacts on back of card   i lost all of my info      
45,5.0,                       alot of space for a low price      
46,5.0,                       i only trust sandisk with my photography storage needs      
47,1.0,                       had to return would not fit this camera  to large      
48,5.0,                       got this to put mp s on for the car  works fine      
49,5.0,                       they were just what i needed and are an excellent value      
50,5.0,                       super fast delivery   absolutely no issues or problems with the order   good price  i thought       
51,5.0,                       it is a camera memory card  i use it hold photographs which i then download onto my computer      
52,5.0,                       it s really good for storage and recording videos  i really like how much data it can hold     
53,4.0,                       sandisk nee i say more     
54,5.0,                    muy r pida  mejoro el desempe o de mi c mara         
55,5.0,                       came quick but wrong size needed micro so its just going to be for whatever may come up     
56,5.0,                       work like it should     
57,5.0,                       my daughter is happy with this product     
58,4.0,                       this card is good but please know that can t be used for  k videos  otherwise it s perfect     
59,5.0,                       sd card is just what i needed     
60,4.0,                       good value for slower streams      
61,5.0,                       arrived promptly and exactly as described      
62,5.0,                       super cheap i actually bought it for my phone but i didn t know that it was for a computer but i m still going to keep it cuz i m going to buy a laptop anyway and it came really fast     
63,5.0,                       good price  with free delivery i got it in   days      
64,5.0,                       when you want the best  use sandisk   i ve always used sandisk storage devices and i have never had a problem with any of them  this card is fast and holds tons of your pictures   files   etc   i m using it in a security camera that is outside   no problems with extreme temperatures in winter or summer   what s even better is how cheap they are to buy      
65,1.0,                       it has no tab to push up  it is read only without the tab  unusable for my application      
66,5.0,                       i guess the only frustrating thing about sd cards is that the quality and price of them improves as time passes  this is twice as fast and twice the storage for half the price of the one i bought last year sandisk good     
67,5.0,                       this sd card holds alot and that s the best thing about it  it  is not flimsy and doesn t cause any crashes on my computer or camera  i would definitely rec this to you all      
68,5.0,                       i needed to replace my tired old sd cards i use in my trailcams  these new cards were a great price and the pictures seem to be better      
69,5.0,                              
70,5.0,                       this card is all i needed for my dslr  i can take as many pics as i need to  it s fast and huge      
71,5.0,                       worked well     
72,5.0,                       great product and low price      
73,5.0,                       great memory card  glad i ordered it      
74,5.0,                       initially  i wrote a review saying it wasnt really    gb  but i realized i had to reformat the memory card  i never had to do that before  but that did the trick and i was finally able to access the full    gb  for            i d say that was a steal      
75,5.0,                       great value     
76,5.0,                       we have a laptop but there was no more space on it  so it was laggy  we needed a memory card      
77,1.0,                       if you re purchasing this for a  ds or  ds xl    it s not compatible   you need to get a micro sdhc of  gb up to   gb      
78,5.0,                       my new car does not have a cd player so i stored all my cds in this card and everything fitted   the media player has no problem recognizing the files and the sound and definition is perfect      
79,5.0,                       quality     
80,4.0,                       read speed is good at   mb s but write is really slow    mb s     
81,5.0,                       using this in a kodak negative scanner  works fine  what else would you want of it      
82,4.0,                       love the film color and quality         
83,5.0,                       i use this with my mpc live   and it loads very fast  i heavily recommend  it s actually a lot more space when being used in that manner      
84,5.0,                       work perfectly     
85,5.0,                       very nice     
86,5.0,                       sandisk  always been a fan of their sd and micro sd cards  i have never been disappointed  sandisk  a name brand you can respect      
87,5.0,                       bought for camera works good     
88,4.0,                       great deal     
89,5.0,                       it s good for the money but this does not fit my mp  player  they sent me one for a camera  if i had a camera it be perfect  the return was easy as well      
90,5.0,                       works  what can i say  good brand and low doas     
91,5.0,                       works great in my trail camera  good photo and video quality  lots of storage space for the price      
92,2.0,                       it s not an international size  i needed to buy other sd card connecter to use this card  my laptop is hp corei   this card doesn t fit  you want to aware of that      
93,5.0,                       no issues   works fine     
94,5.0,                       i prefer this brand      
95,5.0,                       product was shipped quickly and was exactly as shown     
96,4.0,                    muy buena la calidez de la tarjeta sd  no tiene trabas  estoy seguro de que fue una buena inversi n  y la transparencia por parte de la marca es buena  recomiendo su compra          
97,5.0,                       works ok     
98,5.0,                       it s my go to memory card for my canon camera  works as described and is a great value for the amount of storage you get      
99,1.0,                       after a few couple times of use falling apart           
100,5.0,                       works perfectly      
101,5.0,                       good quality that i expected ftom sandisk  shipped promptly  good price     
102,5.0,                       haven t used all the space but glad i got the    gb   have written to it and rewritten to it with out issue      
