,CommentsStars,CommentsContent
0,1.0,                       horrible quality  waist of money after waiting so long   dont waist your money      
1,1.0,                       i have ordered   boxes from modenna and have received diffrent packaging that are not in a box or say modenna  i ve returned those because they are diffrent quality the nose strip does not bend easily like the ones that come in a box that says modenna  i m very frustrated and confused why this happens if i m ordering from the same company  modenna disposable masks  and the price also keeps changing      
2,1.0,                       very cheaply made   string break off very easily     
3,3.0,                       i ordered several different mask types from amazon   although i m sure these are fine for whatever setting they were originally made for  i don t exactly feel safe with these on when i m out   there is way to much air that escape and way too much air i feel coming in on the sides   i suppose it is better than nothing but i ve opted for more secure masks      
4,3.0,                       the product seems fine for the purpose  i specifically chose this vendor to order from because of the statement that it was not shipped from china  i look at the product s box    made in china  grammar translation on sides of box is poor  will use the masks because they are hard to obtain  but disappointed in misleading information  if you are looking for a made in usa product  this is not it      
5,5.0,                       great deal  great quality  not one has had a strap rip off  very satisfied with the product  i have bought   boxes so far and highly recommend them      
6,1.0,                       this are nowhere near the comfort and quality of those blue doctor looking masks  i found these black masks to be very uncomfortable on my face and flimsy  i had to adjust it several times while in store  the material is also super light weight  and frankly wont block much i also just noticed the name of this company  not sure if they are trying to get people to think they are moderna  anyway  not happy with this purchase  i will be donating these since they were headed for the garbage  save your money and try another product      
7,1.0,                       the ear loop breaks off as soon as you put it on your ear  the majority of the masks in the box had that same issue  can t return them  very disappointed  they break down it just is very frustrating  as i was walking into the doctors office and looping it on to my ear it broke off  do not recommend     
8,1.0,                       these mask only looks exactly like the ones that are given to folks walking in for routine treatment at mass  general hospital but they do not perform anything like the mass  general masks   that is  one cannot compress the nose piece on this mask to conform to ones nose to create a seal   it just bounces back to its original shape   when i inhale with this mask  the mask itself does not compress like identical looking ones  which indicates that air is entering through the mask fabric instead from around it   exhaling is the same  i e   the air from my breath goes around the mask in contrast to the ones the hospital provides me when i go for routine treatment   i regret buying this product      
9,3.0,                           that these are good quality but non medical  it s probably why they don t show a photo of the box    which read non medical      
10,5.0,                       did the light and breathe test and these passed both   masks are comfortable  cover my face from nose to under chin  i ve had no problems with ear straps detaching  just wish i had ordered more  c   continues in community spread      
11,1.0,                       these masks don t fit securely around the entire face  they are not medical grade so basically you re covering your face with a few layers of tissue paper  i m returning these      
12,3.0,                       i ordered these in may and i imagine there was a rush to get masks into production  but they were both excessively expensive  how do you spell  price gauging    and had an extremely high rate of breakage   i d say one of four either already had a broken elastic ear strap or it broke as soon as it was pulled   such poor quality and expense taints this company permanently      
13,2.0,                       while the product is inexpensive  the material is abrasive after     day wear  nor do i find it to be comfortable breathing in it after   hour of use      
14,4.0,                       paid a mint but what can you do in the middle of a pandemic overall decent quality and meet the basic requirements for public use  there is no sugar coating that these will not protect you from getting  covid    but meet the standards of the wearing minimizing the spread      
