,CommentsStars,CommentsContent
0,5.0,                       this mouse isn t flashy  minimal buttons  but you know  where others have fallen after the repeated misshandling of my mice   this one has survived many drops onto hard surfaces  moving  and just general bad handling that comes from   year olds  and still works like a charm on pretty much any surface i ve used it on to include shiny boxes as i needed to do homework while moving to a new house  so  yeah  i ll give this thing a   star rating      
1,5.0,                       great mouse  very basic  but well constructed  i ve been using it regularly  but it s had no issues despite frequent plugging and unplugging  constant transit  and frequent bending on the cord good sensor  works on basically all surfaces edit  so after a three months of frequent use  my mouse broke  this is the second time i have ordered this mouse  and both times it broke the same way  the base of the usb cord  where it connects to the computer  needs to be held at a very particular angle to work  the quality of the connection degrades until the mouse no longer works at all i don t regret purchasing this mouse  but going forward i think i ll buy wireless mouses  i d rather spend     on a wireless mouse which lasts me a couple years than spending    every three months because the connector cable keeps busting on my mouse      
2,3.0,                       this mouse is solid and gets the job done  but the scroll wheels of both of the ones we bought squeak   is annoying enough that we can t use them   maybe others wouldn t be bothered  but even my coworkers on calls can hear the squeaking and it s distracting   tried a drop of oil but that didn t help   so   stars for otherwise working  but just can t use this mouse otherwise      
3,3.0,                       sometimes the left button doesn t do anything  but  this might be my computer acting up  don t know  however  the wheel gets into a mood once in a while and makes a scraping noise as you use it  that goes and comes at will  not wheel   this is a tiny bit annoying   but for a bargain mouse  i ll work with it  i m slowly switching to a tablet anyway      
4,2.0,                       i was looking for a cheap mouse to use for a couple of months and was excited to find that amazonbasics had an option   unfortunately  this mouse is so small my  larger then average  hand tends to cramp up after a few minutes of trying to squeeze it sufficiently   there are plenty of other cheap options that feature a full size mouse   this is more like a travel mouse      
5,2.0,                       my first mouse to completely fail  the mouse was erratic shorting out and then failed completely   otherwise a regular no frills mouse  not what a serious gamer would select   not the mouse if you have neck  nerve or hand injuries      
6,4.0,                       i grew tired of the wireless mice not working after a few months  typically with those  the left side goes wonky  not to mention the batteries they go through  this plugs right in and hasn t had any issues thus far  seems to be built like anything else on the market  it has a great click and tracks well the only minor complaint is lack of additional buttons such as forward and back  which i was spoiled by  outside of this small personal thing  this works well      
7,3.0,                       bought in september  lasted until january when it started confusing right and left clicks  it s not a huge issue  but makes a lot of things way more difficult than they need to be i do a lot of gaming though  so it s likely it s just not built for that kind of wear and tear  perfect if you re just using it for work purposes though  not good for extensive gaming      
8,5.0,                       i bought a set of    of these mice  they held up well to middle school students ising them daily  they are small and lightweight but very sturdy  my middle schooler have given their stamp of approval      
9,5.0,                       you re probably thinking that the  amazon basics  mouse is poor quality   well  you d be wrong  this mouse surprised the heck out of me with its solid quality and durability  its perfect for every day computing  definitely for office computing  i marked   on gaming because no one  needs  a naga or gaming mouse for gaming  this works just fine for it      
