,CommentsStars,CommentsContent
0,5.0,                       oh my gosh my hair is so soft and silky i just love the way it feels   smells great too i stumbled across a youtube video review about the sleeve and conditioner and had to purchase one right away     buti forgot that i had brought it up until now and oh my gosh why did i wait so long to use this in my hair         
1,5.0,                       i use this about once a week if i remember  absolutely love this  my hair feels smooth and moisturized after using this product   you do not need to use a lot of the product and lasts for quite awhile  just know that it is a small bottle  you can make it last as long or as short as you want depending on the amount and how often you use it      
2,4.0,                       i know i shouldve expected it bc of sizing but idk why its just a really small quantity for a high price  it worked nice in the shower but i didnt really see much of a difference in my hair after religious use  maybe its just me but its not a bad product      
3,5.0,                       love using olaplex  it has really helped my damaged hair get back on track   i ve bought this product direct from olaplex and also from amazon   i notice that the amazon version is much thinner than the one purchase direct   they both seem to work but it makes me wonder if the formulation is different or diluted on amazon      
4,5.0,                       i have had dry  wild  frizzy  thick but fine  stranded hair my whole life  it breaks if you look at it very hard  i straighten it with a hair dryer and it becomes a broken straw broom  i have used  repair  products on my hair for decades with a  yeah whatever  attitude  so i bought this other  repair  product expecting more of the same  except maybe a bit softer  it works  it is literally the only thing i ve ever used that made a difference  i don t understand how and i don t know what kind of hair wizardry it uses  but it literally stops my hair from breaking  i even  gasp  bleached some of my hair and it is not damaged    where was this product when i was a dork  in middle school with hair so wild i couldn t fit through doors  thank you to whatever hair god figured this out      
5,5.0,                       fantastic for damaged hair  coat hair  wrap with plastic wrap and sit under heat for    min  or i sleep with it on  the cost is the only drawback  i have bleached hair on the top and it has really helped strengthen my otherwise breaking hair      
6,5.0,                       if your hair needs moisture you need this product  save money at the salon as this is very easy to do yourself at a fraction of the salon cost  great product  you will love the results and no strong scent      
7,5.0,                       this product is amazing  i purchased this for my daughter  and used along with no    shampoo and no    conditioner  who s hair was extremely damaged from a salon visit  she had her hair bleached   times in    hrs    differ hair appts  in order to lighten her medium brown hair to  almost  platinum blonde so that she could achieve pastel pink hair color  unfortunately  the hair dresser had no idea what she was doing  which resulted in straw like texture and uneven color   not extreme breakage yet  but wanted to prevent further damage    after   use of all these products  no          her hair was transformed    it was soft and was visibly healthy   we left no    treatment on for  hrs  and followed up with no      we did a  nd treatment with all three products a few days later  leaving no    treatment on for  hrs and followed up with no       again  so soft and healthy looking  we will continue treatment  x week to keep it strong and to prevent breakage  the smell is clean and light   for all   products      
8,1.0,                       this is literally worthless  iv used this multiple times in my hair  my sister s hair  and my cousin  my hairstylist even used this and same the same thing  those product is either a scam or a faulty bottle  because real olaplex has always worked  but yet this bottle didn t work on not only me  but   other individuals as well  super mad i wasted money on this  will tell everyone i know on the east coast to not use this product      
9,2.0,                       i ve bought this product from sephora  an authorized olaplex retailer and on amazon  the amazon product is hit or miss  i cut and color my hair a lot and my last purchase of the amazon olaplex didn t help or feel like other times i ve bought it  ultimately  if are buying this product to help heal your hair after damage buy the authentic thing      
