,CommentsStars,CommentsContent
0,5.0,                       this is a great pan   love it   cooks great and real easy clean up     
1,1.0,                       very disappointing  not non stick  i fried an egg and on purpose did not use any butter or non sick spray  the egg stuck and left a mark  i would not recommend this pan  it s pretty  but the maker has lied about the non stick      
2,4.0,                       love it except for the fact that the bottom is convex so juice and or oil flows to the outside and the middle has no liquid      
3,5.0,                       i use this pan to prepare food for my baby  it s a great size  complete non stick and easy to clean  it heats up quickly  the handle looks like wood  but actually it s plastic or rubber  so it s more durable than i expected      
4,1.0,                       after using this product for basically    days we had to throw it awayi would definitely look for something else it should last longer and basically burned the coding     
5,5.0,                       i really like this pan  the first time i cooked with it i cooked on too hot of heat  be careful you don t need as much heat as you would think  as i need other pots or pans i will buy more of this product  only problem i cannot find a top to fit it  maybe i should ve given it a three instead of a four clean up easy     
6,3.0,                       first of all  misleading ad  this is made in china  not switzerland   i wish i had researched it a bit more carefully before purchasing   as for the pan itself  it s a nice size   the handle has a really weird feel   it looks like fake wood and has an oddly soft yet firm texture   i m not sure how the handle will hold up over time        
7,5.0,                       bought as a gift for my mother  these are great pans for the price  my mother loves them  super easy to clean and very non stick      
8,1.0,                       would put zero star if i could  this is definitely not a non stick pan  sprayed oil to pan to cook fried eggs a couple of times  fried eggs stuck to pan both times and pan left two long scratch marks on my glasstop stove  pan is not what it advertises  completely regretting purchase and will never buy from this brand again      
9,5.0,                       not expensive but worth every penny   works as advertised  in a world where companies tell you what ever you want to hear to take your money   this company delivers on its promises   i am very happy      
10,5.0,                       this is my  st pan of this kind  i m very pleased  i m not sure i would go with light colored wood  because any grease splatter will seep into the wood handle  but whatever as far as a nonstick  it definitely is  and the heat distribution is great  everything cooks super evenly  seems durable  not much to say  when my other large nonstick dies i m gonna get a large one of these      
11,5.0,                       definitely a none stick pan which is great many say none stick but after a few use everything sticks but not with this one  been using for some months and it s my go to when cooking   so easy to clean a little water and a few rubs and its good to go      
12,3.0,                       this is a great pan for use on other than an induction cook top   whether the plate on the bottom  or the material used to make the pan  it does not work well on induction   it cooks very slowly   had to turn the burner up to medium   medium high to cook an egg   if the pan gets moved at all  the burner turns itself off  leaving the food cooking to stop   i returned this one and a larger version that i purchased to amazon   that said  the non stick coating works perfectly and i absolutely loved the the handle   if you cook on anything but induction  this is a great pan   just not good for induction      
13,1.0,                       used it a few times now its warped     
14,5.0,                       this pan is exactly what we were looking for  well made  perfect size  high sides  non stick  and easy to clean   what more could you ask for      
15,5.0,                       after a poor experience with an expensive  kitchen specialty mall store omelet pan  i tried this one   surely such an inexpensive pan couldn t do the job boy  was i surprised  pleasantly   this pan is solid  thick  and smooth   much more value than many higher priced utensils   seriously  i cleaned the pan the first three times with a paper towel   period   it s amazing i m not kidding about the brick like texture   i closed my eyes and ran my fingers over the inner surface   brick   how it manages to be so fabulously non stick i simply cannot explain   i just love it only one small complaint  the care advisory is printed on the backside label in white type on orange background   the paragraphs almost disappear   and it s about   point  small print   magnifying glass type   so to the packaging designers  a big fail buy the frying pan anyway      
