,CommentsStars,CommentsContent
0,5.0,                       a lot of people use copier paper in their ink jet printer and then wonder why their printer jams and breaks down early  i have learned the hard way that to get grief free  long life from my ink jet printers  it is best to use ink jet paper  the higher quality results are noticable  there is less dust given off that collects in the mechanism of the printer  and the printer lasts longer but more importantly  when i hand someone a document that i printed on this paper  it is not unusual to hear  oh  you use good paper   that makes me feel good      
1,5.0,                       this is a very reasonably priced general purpose white printer paper   it is  ultra white   and the paper works extremely well with especially hp printers  but probably any printers in terms of clean and accurate feeds and precision results   print quality is very crisp and clean  even photographs reproduce well on this paper   the price is excellent for this level of quality  and a paper of this type should always be used with better inkjet or laser printers made by hp and other manufacturers      
2,5.0,                       this is a great product  bright white  nice weight   my suggestion   do not order it with other items   when i did do so  twice   the shipping box was not sufficiently packaged to prevent damage from the heavy ream of paper to other items in the box  nor to itself  as it apparently flew around the inside of the shipping box during the shipping process   if you want the product  and hope for a positive outcome  my suggestion  order it solo   i won t order it from amazon with other items again   as an aside  amazon was great with providing me a refund      
3,2.0,                       caution   i received two broken   open on two paper package sides     one package had slight bent corners when i today just opened for use and one paper package was sealed in a re wrapped plastic bag thus knowing shipping broken loose package   this is the one with     bent folds in one corner at least     sheets  my issue is that i need it today and now     so i will keep   see pictures of what was in sealed box just opened today      hp paper  office ultra white    lb     x     ledger     bright      sheets     ream           made in the usa
4,2.0,                       i thought this paper would be at least servicable judged on reviews  however it is very thin and lackluster   i am a real estate broker and need to print reports for my customers and this paper produces reports that are poor quality  with ink bleeding through to the back and edges that curl up   it s just plain flimsy   it s actually the worst paper i have ever worked with  and i certainly expected better from the hp brand   i m assuming this paper was made decently in the past  however what they are now delivering must have suffered a severe drop in quality      
5,3.0,                       the product came messed up  the box used for shipping was way to big  not enough packing to hold it in place and got shaken  as it was for a specific project with a timeline  i used what i could  the rest got trashed  not usable   the product was as expected  that of it that survived  it works and the print is good  the paper is fine  but i will buy locally next time      
6,1.0,                       this is by far the worst printer paper i ve ever used  it absolutely will not print in my epson nx    without jamming  i m throwing away the ream of paper rather than risk breaking my printer with paper jam after paper jam  when i try printing with a sheet from another brand  i have no problem at all  as soon as i try using this again  i m back to constant jamming  this was a lesson learned the hard way      
7,5.0,                       the price of buying computer paper bulk on amazon really cannot be beat  as a teacher i use a lot of paper for printing  so i appreciate fair prices and good quality printing paper  hp has always been a brand i have gone to for computer accessories   because i know that i m going to get a quality item  i was excited when i saw that there was a coupon along with the product   and that definitely helped make up my mind to purchase this product      
8,3.0,                       could have been   stars   i would have given this purchase   stars  but one of the three reams had significant damage    a little over a third of the paper in that ream was unusable    had deep dents running the full length of the paper    so much so that you could feel it through the wrapper  the box it came in had a tear in it but did not go all the way through        
9,5.0,                       it came in a box and was protected well throughout the transition  it arrived before  pm  i am happy i have paper now loaded into my printer  now i don t have to worry  the paper quality is good and i can definitely tell it is really white  when it prints the ink doesn t bleed onto the back of the printing paper  i think this paper handles it well      
10,5.0,                       i have found that this paper is the most consistent for every day inkjet printer usage on the two hp envy photo units in the household   it is used mostly for black and white and pages such as emails and with highlight colors like the grocery shopping list from the grocery web site   it works well with images from screen captures and on line sites  even white on saturated black backgrounds when i can t avoid them   i rarely need to switch to photo quality paper and high quality print settings although hp provides on line ordering  i have found order management and fulfillment by amazon prime to be easier and also a cost benefit  along with elimination of inessential travel   this july          order was a re order of a            order of the same product   there is no problem keeping a supply for such an extended time  consuming on ream at a time      
