,CommentsStars,CommentsContent
0,5.0 ,                       good stuff     
1,5.0 ,                       used for a while to see if i d like   and stick with  piano  it worked  love it and have since upgraded to the real deal  but this sounds great  has everything you need to learn  and is priced right for trying out a new hobby  highly recommend      
2,5.0 ,                       teen daughter loves it  i love that it has a headphone jack      
3,5.0 ,                       it has a seat and stand and a pedal just like a very nice product to learn to play the piano      
4,5.0 ,                       very good quality      
5,5.0 ,                       easy to put together loads of features  sounds great a real value i love online shopping amazon is a great site     
6,5.0 ,                       great keyboard      
7,1.0 ,                       cheaply made and overpriced  you get what you  pay for  spend    more dollars get quality      
8,3.0 ,                       we really did like this keyboard for beginning piano and bought it december      for christmas  today it started smoking and now has no sound  we think the speaker blew but it was really scary and now smells like fire      
9,1.0 ,                       i am very upset with amazon     the item   rock jam    keyboard  came incomplete i e  without the set screws needed to put it all together and any set up manuals  etc   after several tries i was able to reach your rep  alex  who told me in so many words he could not complete my order     i would need to contact the manufacture      i bought this from amazon    you need to see that my purchase is complete     not throw it back in my lap  i make a lot of purchases through amazon     this is unacceptable    thus the low rating      
10,1.0 ,                       i would give more stars but we didn t receive everything in the kit  we just got the keyboard  no stand  headphones  seat  chords  nothing  it wasn t even packaged well  we can t plug it in or anything      
11,5.0 ,                       i am  an    yr  old who was trying to find something to pass y time these days   i played piano a long time ago and also clarinet   this unit is perfect for my needs   sound isn t too bad and so far so good   i enjoy getting back to practice and passing time in a somewhat constructive way   well worth the money   very reasonable priced      
12,4.0 ,                       disclaimer  i do not play piano  to me the keys feel like real piano keys  headphone jack is great  stickers for beginners to place on keys seems to help      
13,2.0 ,                       very good value     a christmas gift for my daughter  but the stand  legs  were not in the package     kind of tacky when a christmas gift is not complete     a bit difficult to pack up and return  especially when i am      miles away overseas         
14,3.0 ,                       very cheap  sound quailty is horrible  i had one key broken when arrived   didn t return as i didn t want to mess with it   my son still uses it  kinda     
15,5.0 ,                       the keyboard arrived exactly when it was supposed to and ws very easy to assemble on the stand   my grandson loves to play on it and i have been able to practice my choir music      
16,5.0 ,                       i got this for an   year old last christmas and she loved it  we use an app that teaches you how to play the keyboard and also can tell you when you ve made a mistake  it s great  i like that it has optional headphones so she can either play it for others to hear or practice on her own where only she can hear      
17,5.0 ,                       lovely       
18,4.0 ,                       we are almost a month in an this far i m impressed  unlike some other reviews i find the sound to be spot on  my son is   and taking piano lessons  he loves this new piano  the application that offers free lessons quickly converts to a        monthly charge  with that said he loves it and has progressed much faster using it  the piano incorporates his phone  i think this addition makes it more interesting to children versus the traditional books and lessons      
19,5.0 ,                       bought as a bday gift for my    year old   she loves it and is teaching g herself to play  assembly wasn t difficult      
20,5.0 ,                       my daughter loves this      
21,5.0 ,                       gave to both my grandchildren and they enjoy very much   recommend      
22,1.0 ,                       you get what you pay for     this thing is cheap  flimsy stand  worked for about   minutes  then something burnt out and no keys nor buttons work even after unplugging to try to reset  kid is crying  ruined xmas  now i m mad  returning item for full refund and spending more money to get a better brand and quality  that ll teach me not to be a cheapo for xmas  ugh      
23,4.0 ,                       it s an ok it s a little too clumsy  and it s some kind of difficult to learn for beginners  all the buttons and options it gives you  it s just confuses you my kids love to play and press different buttons      
24,5.0 ,                       i bought this for my grandson for a gift  he loves it      
25,5.0 ,                       great product for beginners and fantastic gift idea  highly recommended      
26,5.0 ,                       this has been a great buy  my daughter has been wanting to learn to play the piano and this is a great substitute  you get free app access with lessons and it s just been great fun for the family  the bench and stand are both very sturdy  no complaints thus far      
27,5.0 ,                       great product    easy to follow with music sheets     
28,5.0 ,                       this is the perfect fit for my daughter   she is beginning piano lessons and this keyboard is the perfect size   it s even good for adults also      
29,5.0 ,                       bought this for my granddaughter and she absolutely loved it  great quality  great sound  easy to use and loads of extras  was pleasantly surprised for the price this was such a quality item      
30,5.0 ,                       my daughter is just learning and it it small and convenient  the best part are the headphones so only she hears what she is playing  very happy with the size and sound      
31,5.0 ,                       works great      
