,CommentsStars,CommentsContent
0,5.0,              your browser does not support html  video                          mine came in perfect condition  some reviews list some  common  problems but mine is just fine and i couldn t be happier  comes with two needles  i m including a    second video  listen to that audio quality      
1,1.0,                       our son used his two times  and on the third time  it smoked  smelling of electrical burning  and stopped working  luckily  he had not fallen asleep and turned the power off immediately  after contacting the seller to request a refund return exchange  the seller closed the request with a pat message about  the purchase being in the final stages so they re unable to process a cancellation    they did not address the issues presented  nor the refund request  leading one to believe that they knew they had a defective product  but could still keep the money  sadly  they weren t wrong  another reviewer stated that neither the first nor the second player she received some time ago worked   amazon cannot support a refund through their claim process as the item arrived  intact    we now have no turntable   no money  but do feel blessed to still have our family and home safe  interestingly  i was required to choose a star in order to provide a review   i would give zero stars to this product and to the seller  as they must know by now that this product is defective and catches on fire      
2,1.0,              your browser does not support html  video                          after about    hours of use  it started squeaking like crazy  loud comical squeaks    like i have all sorts of things in my home that turn  rotate  and have electric motors  none of them squeak  but this sounds like a fart every rotation update  i took it apart and discovered a small piece of plastic that had wedged itself into the turning mechanism  i was able to put it back together  but i had to look up tutorials on how to get the belt back on  a slightly complicated repair for something the size of a fingernail  it works fine now  but still keeping the   star review because of the hassle of having to fix a practically new record player      
3,5.0,              your browser does not support html  video                          i love it the sound quality is pretty good to my standards  ships fast  volume is great  to future buyers be careful with the tonearm on any turntable  always use the life and lower feature as well as the arm lock  and there is no slip mat so make sure you have one before playing records  there is also a replacement needle  and don t touch the groves of the records so they ll stay clean     
4,1.0,                       as is usual with most items on amazon  as soon as negative reviews creep up  the item is reposted and the score is somewhat  reset    wish amazon would fix this  but hey  they re making money so they obviously don t care record players are not usually made for travel use  or cheap for this case  because of the heft the arm a record player requires in order to have sufficient and tune able weight on a record   this is important because if enough weight is not placed on the arm  then you get skipping   what can you do   you can ghetto rig it by taping a penny or quarter at the top of the tip and see if this rectifies it   if it fixes it  then it means you have a cheap record player   aka a victrola record player   don t get this   just get a real one   this might be worth it when it drops to      but not any more than that      
5,5.0,              your browser does not support html  video                          i absolutely love it   been trying to get a record player for a while now  i can finally play my records i got from my grandmother      
6,1.0,                       i was hoping to love this turntable  but  i should have remembered that with electronics  we get what we pay for  it arrived in very flimsy box  no outer box for protection  the inside of the turntable had cardboard shavings of some sort throughout  it looked like it had been in a wood shop i packaged it back up and returned it  i have purchased another brand  audio technica  that doesn t have the retro look i was hoping for  but the quality is what i was looking for i would not recommend this unit to anyone      
7,1.0,                       my return window closed   weeks ago and the power quit working today  the speakers were the first to go and now the power won t come on at all  the charger is fine for other appliances  the turn table itself is very cheap plastic  it was cute and fun for the month that it lasted  but i would absolutely not purchase again      
8,5.0,                       i d like to start this off by saying i am not very educated on records or bluetooth  i purchased this because i love all things vintage and i ve been dying to play my mary poppins and sound of music records  i was a bit hesitant to purchase this record player because so many reviews mentioned the speakers being weak and needing to purchase a seperate bluetooth speaker  so i decided to purchase it from a store in case i was disappointed with the speakers and wanted to return it  i bought this record player   days ago and have played    different records on it so far  i am completely satisfied with my purchase  i have a   bedroom ranch and with the volume all the way up i can hear music in every room  i m sure if i had my loud family over for the holidays we would be able to hear the music no problem  also  even being    i m terrible when it comes to technology so i was nervous first setting up this player  it was so easy to do and i was able to listen to music in   minutes of opening the box  this record player completely filled my needs and exceeded my expectations    stars        
9,5.0,                       played it  all night impressive gizmo for under       even the price is historic has almost every bell and whistle   even  line out   rca  red and white  jacks in the back note  you know that popping sound people call scratches   they aren t from sratches at all dust got into the tiny miccrogroves  you can see the little dust bunnies under a microscope you could wash your record  just be careful not to get the label wet   i just used armor all original and then wiped it good with a dry tissue  sounds like new now      
10,1.0,                       absolutely disgusted  and disappointed   i have purchased other  modern  record players  and found there to be poor quality sound  and even worse components   yet i had hoped that a record player with the name of  victrola  behind it   an absolutely  legendary name   in the phonograph industry   would be the exception      my hopes are for naught   the speakers are horrific  and the    speed is too fast  and something that is all too common in electronic devices   the headphone jack does not work properly   if i had a dollar for every time this had happened when i have purchased electronics with headphone jacks  i could put myself through school and learn in depth electronics  and create my own jacks  that actually work   do not purchase this record player  or any other modern  lower price  record player  especially the  retro  looking nostalgia types   they are junk   i want my money back  victrola       
11,5.0,                       this is not the highest quality record player you can buy  but it s still real good  this is a nice  inexpensive little turntable that is more than enough for those of us with small home collection of vinyl albums  i chose pink because it was the cheapest color at the time of purchase  it has built in speakers  which was a requirement for me  but it also has an output so that you can play it through external speakers  this can t be connected to computer like some record players  but it is portable and very nice looking  it has three speeds and it will automatically stop playing once it reaches the end of a record  which is really  really nice  the built in speakers aren t the greatest quality  and they don t get as loud as i d like  but they re still good and more than acceptable  it comes with a back up replacement needle  which is really cool  the biggest complaint is that the record hangs off the side  and it s designed in a way that you can t directly place the record onto the player  if you tried to place it directly down  it would bump into the needle arm  so when you place records on the player  you have to kind of angle it to go underneath the needle arm  but this is just a minor inconvenience at most  i would still recommend this player as it is great quality and relatively inexpensive      
12,5.0,              your browser does not support html  video                          love it   can t stop playing records   everything was packaged well  easy instructions   great product      
13,5.0,              your browser does not support html  video                          it s much lighter than i expected  but it was packed in plastic bags and styrofoam so it was well protected in the box  everything has a nice feel to it meaning it doesn t feel cheap and the lid is lined with  velvet  and the  victrola  is raised   nice little touch  i was a little surprised it wasn t in a cardboard shipping box as it was just the regular manufacturer s box like you d buy it in at a store  however  it was in perfect condition  it set up and ran very easy  the only thing i d change is better speakers  but they re as good as i expect for this price and i planned on using bluetooth speakers anyway  i d also change the auto stop function so that the arm returns to the stand  but at least it has auto stop so you can be doing other things while listening to your music and not worry about the needle bumping the label repeatedly until you can get to it  i love the look and it works great  i think it s a great deal for less than          
14,1.0,                       i already had the victrola vintage looking radio with a cd player  radio  vinyl record player  etc  which had a bad needle that would skip relentlessly  so i bought this in hopes that it d be different it sure was different  it was worse the needle skips all the time on all of my records  new and old  it s seriously annoying  also  the speakers have horrible quality and defeat the purpose of buying a record player in the first place      
15,1.0,                       wish i had read the reviews for this product  jeezzz      read reviews later after this happened   plugged it in  red power light did not come on  went to read the instructions in the living room and came back    minutes later to the record player on fire  my classic beatles  st edition sgt  peppers album melting and smoke everywhere and curtain by the window just beginning to smolder  glad i did not leave the house with this  frankenstein  of a product still plugged in it s impossible to make an electronic product this bad with the technology today   what just happened i don t know victrola company  look into this now      
16,5.0,                       this record player is amazing  i was hesitant to buy because some of the reviews were saying it was broken or the speakers sucked but i got this for my boyfriend who is a musician and he is in love with it  it sounds great and plays the records great  so happy with this purchase  i      recommend it      
