,CommentsStars,CommentsContent
0,5.0,                       i love this little breakfast sandwich maker  i wish i had gotten the double maker  fast easy breakfast      
1,5.0,                       this item is awesome  if you re looking to making quick breakfast sandwiches  look no further  the only downside is that i haven t quite gotten it to mcdonald s level  they have some secret that i m unaware of this device is small  lightweight  and very easy to clean      
2,5.0,                       i was skeptical that the breakfast sandwich maker could replicate a sandwich that i would purchase   actually  these taste better and it is so easy to use   i can t believe how perfectly the sandwiches cook   i used english muffins  canadian bacon  egg and cheese for our first ones   next  i plan to try frozen pancakes  egg  and bacon or canadian bacon from a recipe that came with the sandwich maker very impressed      
3,4.0,                       this is a great little item  i never give   stars  so that is why    but  this is very good  i just received product  opens it up  and made a sandwich  that simple  no assembly   easy instructions  so simple  just plug it in  let it heat up  put half a muffin in bottom tray  layet what you want on top  meat cheese  veg etc  lower middle tray  crackers egg in it  set top muffin half on it and close top  wait about   to   minutes  time depend on what you have  i can open it an check  then  when done open top  slide rotate the middle flat tray that egg is on rotate it out and it now is all together as sandwich  lift it up and out  done  the device is very small and compact which i love  not a big bulky thing  and it fits anywhere in kitchen  great item      
4,4.0,                       this thing is a neat little appliance   makes decent tasting sandwiches however my issue is with my cheese getting completely melted and making a horrible mess   the pictures show a perfectly melted cheese slice but in my experiences that s not that case   will have to try some different cheese and see if it will fix the problem edit  as stated in the comments fold the cheese from the corners to the middle and melting out problem fixed   neat little sandwich maker      
5,5.0,                       bought for a christmas present  therefore can t give star ratings  haven t  been let down by company before  if that helps your decision     
6,5.0,                       i have quite a drive to work in the morning  so usually i pull through a drive thru and get a breakfast sandwich to eat in the way   no more   i bought this sandwich maker during the holidays and it is wonderful   i put the bottom part of a muffin  then cracked an egg  then top part of the muffin   i didn t scramble the egg   closed it and   minutes later i had breakfast   i plan to try adding cooked sausage and bacon some days  but this plain sandwich was so fast   also appliance is easy to clean   very pleased      
7,2.0,                       not worth it  i was really surprised how much i don t like it given all of the glowing reviews  our hope was to kick out a hot sandwich in   minutes or so  not including preheat time   nope  takes a lot longer  so long that by the time we make   of them it becomes a real burden in the morning  will gift this to our kids or donate  not worth the cupboard space nor cost      
8,5.0,                       oh yummy this is a miniature marvel  so many customers have already submitted pics that i won t  but this little sandwich maker is a workhorse and worth every bit of      really you are limited only by your imagination as to what you can make with this  if you re even sitting on the fence re this purchase you should just buy it   love this      
9,5.0,                       this is well made and so convenient to use easy cleanup i bought two of these one for my college bound grandson and one for my husband      
10,5.0,                       wow  my hubby says this is the best fathers day present he s ever gotten  it s easy to assemble  folks fast  the sandwich is duo crispy  steamy  and savory after less than   min  and clean up it s easy too  it s really small so it easily stashes away in a drawer  it s very simple which makes it great and worthwhile purchase that you will use  i hate clutter so i tend to stay away from kitchen gadgets  but i really like this thing  it s fun to make breakfast sandwiches  the recipe book is pretty scarce  though  but you can easily make up recipes  yesterday i made mini bagel  egg  mild green chilis  pepper jack cheese and sirloin steak sandwiches      
11,4.0,                       i bought this as a christmas present for my husband  it arrived on schedule  and on christmas we opened it up  the sandwich maker was initially smaller than i expected but that was no big deal  we followed the directions  letting it heat up until the light turns green  we used non stick cooking spray and for the sandwich we had bought english muffins and precooked sausage patties  the maker is really easy to use  we put the bottom piece of the muffin in the bottom section along with a sausage patty  then in the top sections we cracked open an egg and broke the yolk as directed and put the top part of the muffin on last  i closed the lid and the directions said to let it cook for about   minutes  after the timer was up we moved the plate that separates the top and bottom aside and then opened the maker up to reveal a nicely cooked sandwich  the muffin was not burnt it was perfectly toasted  the egg had been cooked nicely and was shaped the same size as the muffin and the sausage had been heated thoroughly  when we were done and it was cool it s as easy as just lifting the pieces out of the maker to be cleaned  overall  i really like this sandwich maker  i only give it   stars because i had bought bagels to use as well  but they were too big for the maker  also  if using frozen patties i would suggest warming them up a little first because they were heated in the maker  but could have been heated a little more      
12,3.0,                       i would have given it   stars except all of the little screws in the removable  dishwasher safe  part rusted almost immediately  they should have been made with stainless steel   otherwise  nice little machine  also  if you have more than a   person household i would recommend you consider the dual sandwich maker so you can make   in one go      
13,5.0,                       bought this as a christmas gift  this is a must have for everyone and anyone i m telling you  makes things so much easier      
14,1.0,                       big fan of this item and have had one for many years  in silver  and decided to buy another   this one in red for some reason was extremely loose in the connection for the sandwich maker and the egg continually leaked out   i tried it several times and to no avail   can t believe it is because of the color of the unit but bought another somewhere else in silver again and it is fine   maybe a bad lot  but we do love the item      
15,5.0,                       these are a great for making breakfast sandwiches   we bought the first one on amazon based on the recommendation of a friend   it didn t take long for this to become one of our favorite appliances   it cooks an egg sandwich in   minutes  cleans easily and the insert is dishwasher safe   because it uses very little electricity we bought one for our rv and we love it for camping trips   i guess you could say we went a little crazy over this little device because we have purchased them as gifts for family members also   i can t say enough good things about this product and it is very inexpensive for what you get and what it does      
16,5.0,                       works great  i would recommend that you make sure if you place ham or something in between the plates to make sure it is tucked in there and that it is not sticking out  we had the ham sticking out the first go around and the egg spilled out a little  next time fixed the ham and pushed it into the bottom and it worked great  if you use cheese too it helps mold everything together  i also used scrambled eggs and worked great too      
17,5.0,                       this is handy for my kids to cook with in the morning   online school is making work and home life hard  something should be easy      
18,4.0,                       this is a fun little gadget   it s kind of amazing how it works   plug it in  and by the time you get the english muffins and the eggs out of the fridge  it s ready to go   i tried it with regular bacon and canadian bacon  and the sandwiches are delicious   i wrapped my sandwich up in aluminum foil at home to stay warm and ate it for breakfast at work      
19,4.0,                       this product is easy to use as instructed  however  when making eggs that are scrambled they do not cook very well  it s really meant more for a sunny side egg  i find if you are doing a scrambled egg the egg gets soaked up into the bread  you have to pre cook the egg a little first and cheese gets pretty messy melting  in the future i would not add cheese to these sandwiches      
20,5.0,                       i have seen videos about this online  and decided to get one for myself   since i enjoy the egg mcmuffin  i normally use this little gem to make my own version   a little bit of experimentation with the cooking times and ingredients make sandwiches consistently and easily      
21,3.0,                       great idea in theory   it works okay but not as slick as it is made out to be      
22,1.0,                       this is absolutely the worst  it s a great idea  but the design needs some tweaking   i followed the instructions carefully  the top portion would not stay level and the entire raw egg slid out making a ridiculous mess      
23,4.0,                       this is a great little machine for making breakfast items  the only problem i have is the cheese seems to melt all over the place  it could be i m using the incorrect type of cheese  i love the taste of my johnny breakfast sandwiches     
24,5.0,                       got this gadget   days ago and already have used it several times for breakfast and lunch   having   kids and working myself  we are so rushed in the mornings  and cold cereal gets old   bought this and the kids love it  my    year old uses it herself  we bought english muffins  ham  cheddar slices  sausage patties  etc   the ingredients are endless  i can t wait to try other variations  after a few tries  you will perfect how to use it without egg spilling  cheese slipping off  etc   i ve been making breakfast sandwiches in the frying pan for years  this little machine is a super time saver  so glad i bought it and my kids can have a nutritious hot breakfast now before school   next time i need to buy someone a gift  they are getting this      
25,5.0,                       i bought this as a gift for my dad  who has eaten a chain restaurant mc jack bk breakfast sammie at least once a week for the last     years or so   as a recipient by proxy  my mom was pumped at the prospect of being able to combine faux eggs with a boatload of veggies and it s not even really  cheese  to make a  healthier  version   after its first use  the parents reported success via text message photos of their sammie creations   they also reported that it was easy to use and clean up after use   my dad delighted in the instruction book  which reminds you to pre cook the meats and not use it near water  like he was going to make breakfast in the shower  kramer style  and declared this  the best gift i have ever received      stars  highly recommend      
26,5.0,                       we love this  product  i bought it for my husband for christmas  it was one of those desperations gifts  he is very hard to buy for  i wasn t sure if he would use it  but it was worth a try for those mornings when he doesn t have a lot of time and won t be able to  eat for a good while if he doesn t eat before he leaves home  we ve used it far more than i would have predicted  we demonstrated it to two of our sons and they both bought on also  one even before he left for home   we buy pre cooked sausage patties  thaw them in the micro for    sec   scramble the egg and put it all together  in   minutes we have a good hot  filling breakfast sandwich  i don t care much for one use appliances  but this one is worth it and it takes up very little in the way of counter space      
27,4.0,                       really had fun making my own egg mac you know   only reason i didn t give it   stars  is because at    cents a crack  you could buy a lot of them  before you got your money back   although  i will say  the grand kids sure enjoyed this  a lot better than loading up the car and driving to that place with arches   by letting them participate  they got a huge kick out of the experience   what i especially liked about the sandwich maker  was the ability to experiment with all kinds of fillings   one word to the wise  don t try anything like peanut butter and jelly  man  that took awhile to clean up        
28,5.0,                       i ve always put off buying this for some reason and what a horrible mistake that was  this thing is pretty cool  i mean i d rather make it on the stove because i like bigger sandwich s  but if i m in a rush  this is my go to  quick easy and you re out with minimal clean up  recommend this highly      
29,5.0,                       i love this little gadget  now i can make breakfast sandwiches at home that are just as good as mcdonalds  just wished i purchased the double which i will be buying soon      
30,5.0,                       i bought this for a gift for my husband  he literally loves this thing  he uses it every single morning for breakfast sandwiches  if he was writing the review he would say it s the best invention ever made      
31,5.0,                       we are loving this  have only used it   times so far  it is not a big counter hog  really easy to use  beware of using too much cheese as it will ooz out the sides  the egg whites are cooked   not runny at all  same for the egg yolk   i wish it came with a little more recipes  i went out   bought a seperate cookbook for it  kind of a pia that it is round however  it makes a perfect egg mcmuffin in only a few minutes so you can make one   run out the door      
32,5.0,                       i love this product  it is as easy as it looks and all the great reviews are mirrored here without me having to repeat it  this product perfectly fits an english muffin    egg  a few slices of pre cooked bacon ham etc  you can add in some spinach  onion  tomato or a small amount of other veggies  the product takes about   minutes to preheat and     minutes to cook  breakfast sandwich comes out piping hot and ready to eat in just a few minutes  great for adults and kids and anyone on the go  the sandwich seems to all melt together and can be eaten while you walk or drive simple and very easy to clean  true nonstick  i just simply wipe it down with paper towel after each use my only negative about this product is that it recommends you put the cheese in as you assemble and cook the cheese with everything else  i found     minutes seemed to melt the cheese completely out of the sandwich and all the cheese burned onto the sides of the english muffin  i ve since added the cheese when the sandwich is done and it melts in perfectly  nothing major i would recommend this product to others and will add this to christmas gifts this year      
33,1.0,                       do not buy this if you want to make breakfast in a hurry   it leaked egg all over my counter  it burnt the bagel top  when it was done the egg was not cooked but the bagel was burnt   difficult to clean up   much easier to use a skillet and do it that way      
34,5.0,                       i ve had this in my wishlist for a few months so when there were some reward points in my account i ordered one for our office  we ve had it for about a week now and i have to say that everyone is loving it  it gets turned on around     am and we cook up our own breakfast sandwiches until  am  each one taking about   minutes to prepare  some bring ham  others are using precooked sausage patties or canadian bacon  we ve also used diced ham which seems to be the favorite choice as far as the machine goes  i m impressed  it preheats quickly  the egg section does not leak or stick if you give it a quick spray of cooking oil  the egg cooks well and the cheese is always melted well   the instructions say that   minutes per sandwich is needed for cooking time  that s way too much in my opinion  we ve cut back to   minutes  the eggs are always fully cooked and the sandwich is way too hot too handle   a small wood or plastic spatula is a must  could the unit be improved  if the egg section was slightly smaller in diameter the egg probably wouldn t fold over the edges of the muffin top and that would make sandwich handling a little better in my opinion  if i could find a larger muffin that wouldn t be an issue  that s just me  i can t take points away for that would i buy another  hell yes  this thing is great  everyone starts out the day happy and contented with a little breakfast at the office  everyone just picks up the ingredients they like and our cost per sandwich is less than    per  i was stopping at the c store each morning and spending       for a crappy sausage biscuit every morning  this is more satisfying  healthy and convenient in my opinion      
35,5.0,                       when i first saw this i read the reviews and was impressed   but when i first used it i loved it   i followed the advise from some of the reviews and enjoyed a wonderful breakfast sandwich   the cleanup is quick and easy and i keep it on the counter because i use it frequently   the recipes which come with the instructions also show that this can be used for more than just breakfast sandwiches   in addition i liked it so much that i ordered another to give as a christmas gift   they love theirs too   highly recommended      
36,5.0,                       we received this item last week and already love it  my husband makes a breakfast sandwich almost every morning and i will have one multiple times a week  this has streamlined the process and minimized the mess  we love it  it takes only a minute or so to heat up and     minutes to make the perfect breakfast sandwich an added plus it s compact size makes it easy to store or to leave out on the counter a few notes this works best with english muffins it will work with smaller bagels  like the regular sized lenders  but the lid does not close all the way with the thicker bread other bread items such as pancakes  crumpets etc  will have to be trimmed to fit into the       internal measurement  circular rings of the cooker  or made to fit  this device gets really hot would recommend using mitts when using this machine  just like the instructions say to do  if you like breakfast sandwiches  i would not hesitate to purchase this product      
37,5.0,                       took this to my kids house and this really was a big hit for breakfast  we used it with ham and bacon  we used regular eggs  eggs in a carton and duck eggs  i have two recommendations    use smaller eggs  don t use large or jumbo eggs  they will spill out  and once you remove your sandwich if using english muffins cover them in a bowl and let them rest for a bit before eating  the bread is crunchy when first removed from machine  covering them and letting them sit softens the bread back up  it is easy to use  easy to clean and the sandwiches we made each morning were very good      
38,2.0,                       two stars instead of one only because it technically does what it says which is make an egg sandwich  it s small so the only bread i ve found that fits is english muffins  not sure how you would find croissants or bagels that would fit in it  and not regular sandwich bread either  the top bread that goes over the egg sinks into the egg so it s just one fused blob  adding cheese makes a mess  only egg  meat  and muffin works   still takes a while between preheating and cooking  including cooling off enough to eat count on upwards of    minutes from plugging in until you have a sandwich you can eat  used it a few times  probably won t ever use it again  disappointing      
39,5.0,                       yes i ma guy and no i didn t read directions until  yup you know it  i used pancake dough that slide out plate  use it  ts there to make it all work right dough in the bottom  then the egg   now here is where it takes pratice  heat it then slide plate out  then back then dough not you put in meat and dough and wait a bit the slide back out that lets the meat and partly cooked down fall down and then cook ittime  don t know  i guess it s just practisewhen done lift both plates and plastic spatchula onto plateabout   and i m all done     
40,5.0,                       best gift for myself        i cannot stress enough how amazing this is   on weekends i make a complete sandwich in the machine  and on weekdays i just use the bottom half and make a perfect egg sunny side up  put it in a tupperware and throw an  english muffin or bagel with a slice of cheese in a ziploc and toast the bread at work  reheat the egg in the microwave and put it all together   i had a healthy  deeeelicious breakfast at work and save so much money on a daily basis  as my breakfast would average      every morning and a dozen eggs costs like           
41,5.0,                       i like this  it is so easy to use  the only thing is that the inner rings fall out when i am taking out the sandwich    it s hot  otherwise i like this and have used it several times in the last days     
42,5.0,                       this is amazing     literally makes such good breakfast sandwiches in under    min from start to finish  i wish i got the double to make   at the same time      
43,5.0,                       omg i really love this thing  i got this for my husband for fathers day but i m the one using it every day lol  it s super easy and makes perfect breakfast sandwiches  you d think there would be a big mess with cheese and egg but the non stick surface works great and i ve had to do nothing more than give it a quick wipe with a dish rag  its super small which is a plus as my kitchen is crowded with gadgets  it s also quick to heat up and very simple to use  i really can t find anything to complain about      
44,5.0,                       this looks like a ridiculous sold on tv infomercial gadget  but it s not at all   my son uses it at college and loves it   we all used it while he was home for christmas   we put the muffin in while it is warming up and this helps the muffin be a little more toasted  otherwise we follow the directions  very easy to clean  this is a ridiculously fun kitchen gadget that you won t regret buying      
45,5.0,                       i love this  i thought it was going to be complicated and since i m a senior i m used to writing easy notes for myself  but this is so easy to use i tossed my notes after the first time  it s fast   easy to put a sandwich together and that makes things great for arthritic hands  the cooking parts are all one jointed piece  so that makes cleaning easier too   i m really happy with this      
46,1.0,                       waste of money   either the egg is over cooked or under cooked  english muffins don t toast  and cooked sausage didn t even get warmed      
47,4.0,                       bought this as a white elephant gift and very disappointed that it came in just a brown box with sandwich toaster written on the side  will have to explain what it is and not be able to see their reaction after unwrapping it  i think i am going to print pictures of it and tape them to the side      
48,5.0,                       i stumbled upon this sandwich maker looking for a gift idea for my other half who is forever toasting some toast   scrambling some eggs and pan frying some sausage or bacon    just to slap it all together into a sandwich with multiple dirty dishes left to cleanup   have only tried english muffins   eggs and canadian bacon so far but the possibilities are endless   excited to try some new things   this little reasonably price sandwich maker is something i don t know if i can live without ever again and wish i had known about it earlier it is very easy to use   pre heat the unit until the green light turns on       mins    load up the bottom part of your sandwich with your bread  biscuit   english muffin or mini bagel    cheese and pre cooked meat   close first lid then drop your egg in  large eggs seem like they might be about the max    season   drop the top of your bread on top and close the lid   wait   minutes   flip the egg door open to combine the sandwich   lift the entire lid and you have a piping hot breakfast sandwich ready to go one bad is this has made it far to easy to throw together a delicious breakfast sandwich at any hour       pm and i don t feel like heating up leftovers   rev up the breakfast sandwich maker   don t feel like cooking dinner   rev up the breakfast sandwich maker     hours until brunch but   hours after breakfast and feeling a bit peckish   rev up the breakfast sandwich maker      
49,5.0,                       one of my favorite buys on amazon to date  i absolutely love this product and it still continues to amaze me every time i use it  it has helped with my morning routine and also with my diet  it makes it easier to have a healthy breakfast every morning and stick to a healthy diet  i have recommended this to many of my family members and friends      
50,5.0,                       this thing rock  so easy and it actually works my boys get there breakfast ready as they are getting ready for school    mins and done  clean up with a paper towel      
51,5.0,                       this sturdy little gadget packs tons of value into a low price tag  works very well and is easy to clean up   easy to use instructions and recipes included  compact size provides for easy storage  i like that you can make a sandwich without adding extra oils or butter   would buy it again and highly recommend it      
