,CommentsStars,CommentsContent
0,5.0,                       i cannot tell you how much i have enjoyed having a cast iron skillet in my life  i am not sure what took me so long  this is such a great and affordable way to get yourself a skillet that could out live you  if properly cared for  i used primal gourmets method of initial seasoning and it has served me quite well  i have made several dishes in this new skillet and i am quite pleased with the new addition to my kitchen      
1,5.0,                       i like buying usa products  you do need to season and it does have odor at first so i just ran the fan while heating it up the first time  i have switched to using cast iron whenever possible with my glass top stove and induction burner  love it  i am replacing my pans one at a time and will be buying more from lodge  i only have one problem and it is with amazon  i buy everything from amazon and they always use ups  i get deliveries after   pmrude drivers no saturday delivery and i don t have a choice on shipping  why does amazon not support the usp  i love using the post office and never have had any delivery problems ever  no i don t work for them  i ask one ups driver why they deliver so late and no saturday delivery like the post office and he smirked and said that s why their broke      
2,5.0,                       i bought this on a whim because of its small size   after i got it i was a bit shock at just how small it was   however   i pushed on   i went ahead and  seasoned it  a couple of times  pre seasoning is just the start of the process   not the end point  then again there is no real end point in seasoning  and decided to fry an egg   the little pan worked great   i don t believe there is any spatula that would work with this but if you like your fried egg sunny side up you are golden   however  i like mine  over easy    that required a flip onto a plate and a slide back into the skillet   this worked great because the seasoning process had made it very non stick  it was a pretty good fried egg   perfect size for an egg mcmuffin   i find that each time i see this lilliputian skillet on my stove  i giggle at how cute it is   i could be used as a spoon rest as well      
3,1.0,                       i followed the directions for washing and oiling this pan  however  it is a mess after just   uses   it looks rusty already despite my oiling it as directed   maybe it is because i put it directly in the oven but i thought you could do that   not happy with this product      
4,1.0,                       purchased from amazon in aug         didn t notice the crack until i added oil to fry some chops in december        skillet had oil on the bottom and on the electric stove   it was smoking and i wound up microwaving the chops   after inspecting the skillet  i found the hair line crack   i have purchased lodge cast iron in the past and they have always been a quality product   this skillet is an obvious exception   would like to resolve issue if possible      
5,5.0,                       it took some time to get it completely seaoned  it says it is but it has to be reseasoned after every use for awhile  i learned not to leave it wet too  it will rust but that can be scoured out  after     months of use  food pretty much doesn t stick  on the other hand  it does not function like a nonstick pan does  you still have to do a little scouring after frying meat in it but it s not hard to clean it does seem to cook food faster and more evenly  i m glad that i bought it because i know that in   months to a year of use  the coating won t be flaking off  i won t have to throw it away and buy a new pan      
6,4.0,                       lodge is amazing  i m starting a collection of cast iron to cook with and the quality blows most other companies away this skillet is big  if you live in an apartment with and older stove chances are this will hang over your large burners by a lot  i find i have to heat this baby slow and low to get it up to a good temp  lots of room and is amazing for one pan dishes  large steaks etc the holder it comes with is not nearly as impressive as the skillet though  the plastic just isn t thick enough to protect your hand from the heat of the handle for more than a moment or two unless you are cooking on low heat  just grab a couple good ol cloth pot holders or you might get burned      
7,1.0,                       i followed the website s instructions and even watched supplementary videos on how to clean this cast iron skillet and how to season it   never once did i use anything to scour or scrub it in order to keep it in great condition     months after the initial use i started to see pieces of the pan in my food  ruining my dinner   i have thrown this pan away  good luck to you all      
8,5.0,                       excellent alternative to all these non stick cook wares   back to the basic like your grandma cooked it   it works   it s healthy   it last and won t get burnt easily like those non stick coating   way to go if you have to fry foods that otherwise could stick to the frying pan and you do not want to use cookwares with non stick coating   we still use stainless steel cookwares for other cooking that does not have the potential of sticking      
9,5.0,                       always wanted to try cast iron skillets so i got the   inch  you can pretty much do everything with it and it will last a lifetime as long as you treat it right  the first couple uses are better if you cook food with higher fat content like meats and such  after a couple uses i started doing eggs and pancakes in it flawlessly  to clean mine  i do the following while the pan is still hot  combine kosher salt with a little oil and scrub hard with a sponge or rag  rinse and dry it  then put a little oil to spread all over  place it over the stove until you see smoking  then remove it  cool down  and you re ready to go for next time  the quality of this pan is amazing and usa made  can t ask for more than that  the flavors of foods really come alive cooking with this and distributes heat evenly      
