,CommentsStars,CommentsContent
0,5.0,                       such a great buy  with   kids i lose spoons all the time  not sure how but these are great replacements      
1,5.0,                       great quality ad size  highly recommended     
2,5.0,                       great addition to my set of stainless  some how we manage to lose spoons and these spoons are very sturdy and go well with my set      
3,5.0,                       nice spoons       
4,5.0,                       i will never agree on reviews  now that i bought this spoons and found that the reviews were just to jeopardize them   they are just but a perfect fit for eating using them   they are not big or small as indicated in some reviews  they are just a perfect fit  they are very sturdy  durable and pocket friendly   am super happy with my purchase   thank you hiware for putting a smile on my face   will be buying more and more from you      
5,5.0,                       very nice spoons  this is a repeat purchase  looks great  and has a nice weight to them   i would recommend them      
6,5.0,                       i like the solid fell of the spoons and forks     
7,5.0,                       really good deal  quality silver ware  exactly what i expected based off the other reviews  i prefer  my girls and spoons to be a little stouter and wider so i can shovel more grub down my gullet  but these work just fine      
8,5.0,                       i ordered   sets     spoons   it is perfect for my housemates to use it without ran out the spoons  also good for airbnb or roommates or large family for your affordable as well      
9,4.0,                       i like the quality and grip of these spoons but they are bigger than a teaspoon  i was a little disappointed in the size      
10,5.0,                       very nice and sturdy  clean up well in the dishwasher  i will order more  since we always seem to lose spoons     
11,5.0,                       great value  extremely sturdy   yet classy      
12,5.0,                       heavy spoons  good for the price  a little larger than i anticipated  somewhat in between a dinner and soup spoon in my opinion      
13,4.0,                       sturdy and easy to clean     
14,5.0,                       great quality     
15,5.0,                       i m critical about my silverware  i bought these a few weeks ago because i needed a new set of spoons  when they arrived  i realized they were so much better than my old set   the long handle can be helpful in most cases  i later went back and brought another pair  overall  my family and i were delighted      
16,4.0,                       pleased with my silverware  so far they re great  haven t trusted  so definitely good sign      
17,5.0,                       spoons are of the right weight and length      
18,5.0,                       great value for a premium looking set of spoons      
19,5.0,                       as advertised     
20,5.0,                       very good     
21,5.0,                       great spoons for the money  they hold up well and do not bend when being used      
22,5.0,                       the is a nice set and seems durable but have not had them that long   good value for the cost      
23,5.0,                       spoons are spoons  but i really do like these   wash well in the dishwasher  and look good on the table      
24,5.0,                       very pleased with hiware spoons set of     very durable not cheaply made  beautiful shine  arrived on time      
25,5.0,                       i love my new dinner spoons   they are beautiful and the quality appears first class   i m happy with hiware and will be searching to see what other products they make      
26,4.0,                       as advertised  but not as heavy as what we have   but for extra teaspoons they will do the trick  i was hoping the weight would match what we have   these are not poor quality  i m not saying that  and i would buy them again  but they are not as heavy as our every day set   i just needed more teaspoons and the prime day price was fantastic      
27,5.0,                       dinner and tea spoon same size just longer handles     
28,5.0,                       well  how much can you say about a spoon  they are good  sturdy and worth the price      
29,3.0,                       very thin  but overall a decent buy  they seem to be holding up after a few runs through the dishwasher      
30,5.0,                       great product and great price      
31,5.0,                       great set of spoons   they re very sturdy      
32,5.0,                       i am very pleased with the quality  service and speedy delivery of my spoons  they are longer and wider than the spoons we already have  but we didn t notice when using them  they work great to scoop out ice cream when you don t want to get out the ice cream scoop  our other spoons would just bend these are nice and firm      
33,5.0,                       i like the size  they are sturdy and well made  nice     
34,5.0,                       thank you  they are beautiful and what a great value         
35,5.0,                       they re spoons  what can i say      
36,5.0,                       heavy duty spoons  happy with my purchase      
37,5.0,                       i liked this product because they spoons were big and they were hard      
38,5.0,                       very beautiful silverware  stronger than expected  could bend     
