,CommentsStars,CommentsContent
0,5.0,                       the container arrived nicely and secure  it arrived in perfect condition with all    small containers perfect  in addition  i also received    small labels so i can easily identify what is in the container  the outside container closes with a snap  i d highly recommend this product to anyone who needs to store small items  which in my case are diamond drills for my diamond paintings      
1,5.0,                       this item came very well packaged and nothing was damaged  i love how the little containers are in a cute carrying case with a handle and locking tabs   will make it very easy for me when i wanna take a diamond painting with me somewhere  the lids on each container close very snugly so i dont have to worry about them popping open and my drills spilling out  i m very satisfied with this product     also came with a large sheet of label s     
2,5.0,              your browser does not support html  video                          i love product because it has sticker and ever thing was there  i can t wait use it   i      
3,5.0,                       i did one diamond painting without using little containers to keep track of the drills  ugh  the tiny plastic zip lock bags often didn t close completely  resulting in drills all over the floor  since i plan on doing more  ahem  probably many more  diamond paintings  i decided to invest in proper storage  i ordered this    grid bead drill storage container  and i had so much fun putting my drills inside  labeling them with the provided labels  the individual containers hold a good amount of drills  and close with a very satisfying  click   leaving me confident that i won t be tracking loose drills all over the house i m very pleased with my purchase      
4,5.0,                       i use this product for holding diamond painting drills  it is a great storage system  the containers are a good size and overall it is a great storage system for using at home or traveling with  i also love that it came with labels  the lids of the containers snap shut and hold closed well  overall i love it  i would definitely recommend this to someone needing a storage system for diamond painting drills      
5,5.0,                       in my hand  joann s box on the left and this product on the right  you can see it s much more clear everything about this product is amazing  i needed something to replace my cheap joanns tic tac bead boxes for my ever growing mill hill collection  the darice organizer seems to be the go to  but kind of pricey  this was a bargain but so worth the price  the containers are way sturdier and more well built than the joann s brand  none of them are cracked or broken or cloudy  and the lids all actually fit  i m not worried about any accidental spills  i was also worried about the labels after having my dmc bobbin label stickers fall off constantly  but they hold on so well  they re not going anywhere         i almost fit my   joann s boxes into one  but i m going to need a second  i just didn t want to commit until i knew it was a good item  i would recommend this over anything at joann s for beading  if you re using it for mill hills  it fits   or maybe   packs of petites in one container      
6,4.0,                       it s the best thing i have found so far for dp drills  on average  the kits i have gotten use       colors  and most colors will fit into one of the little individual containers   background colors may require   or more if you want to open all your packets while kitting up  also they come with an abundance of self adhesive little labels for marking the color codes from your canvas my only complaint is that the little containers do not fit perfectly together  being slightly bigger at the top than the bottom  so they have a tendency to disorganize themselves and fall over in the case if you remove one or two from the grid other than that  they do the job they are intended for      
7,5.0,                       love love love    i had s o o many of the    break away cases  i found out that the covers of some did notclose well  while i was pouring one color into a tray  i d be pouring a different color  on the flour    this is soeasy and you don t have   other covers to  watch  at the same time   i purchased       storage containers  at thesame time  i do both round and square drill paintings  just easier than having both drills in the same container i give this a  huge thumbs up       i would recommend this system to everyone    god bless you all        
8,1.0,                       this box was a limited time only deal  so i bought it and frankly  it s cheaper and less secure than what i ve been using  the dill containers are really small  see pictures   i kept thinking they were like the size of a tic tac container   i feel like they will stay shut  but the larger box is doomed to not last long   i would certainly not trust this to carry drills anywhere  and the handle is worthless i purchased this to find a better way to store my drills while doing my diamond painting  i was using a plastic set that is like a weekly pill container   boxes with   rows kept inside a larger plastic box to keep them together   while i like that product and found them to  almost  meet my needs  the more i used them the more the plastic closing elements both on the small internal containers and the larger  external box is starting to fail staying shut   since i don t store back up drills  i can t afford to spill any in a kit  i felt like i was flirting with disaster and have resorted to a rubber band to at least keep spilled ones in the larger box   this turned out to be worse in my opinion      
9,3.0,                       after completely filling every little tic tac dispenser from just a single diamond painting kit  minus   bag as there wasn t enough  i don t see the tops lasting too long since to get the tops off you need to pull on the tabs  also    full bag fills     little dispensers  these things are tiny  i also had three containers with large cracks in the side although the crack doesn t go all the way through  i also received several that had smaller but very noticeable scratches  in just one afternoon session i was able to empty   full containers  the only real plus to these is the larger box to store everything in and the labeling stickers work very well   if you do diamond paintings often i would say either buy multiple sets or just save up your tic tac dispensers as they would hold much more  if i liked tic tacs that would have seriously been the better option and the most cost efficient but i don t like them and i can t see me just tossing them either  so overall     ehhh         
10,4.0,                       this is exactly what i was looking for for my excess diamonds   the little tic tac like containers hold a decent amount   it s easy to pour them in  it s easy to pour them out   it comes with little label stickers that give you enough room to write a dmc number and shape on them  you can order them as you get new dmc numbers to add my only issue is that the larger container seems to have been chosen because you can technically get all the mini containers in it   but not always easily  so getting all the mini containers in the larger container can be mildly annoying      
11,5.0,                       since the covid    shutdowns and restrictions  i have completed fifteen   d diamond projects  all of these were done prior to purchasing this portable bead storage container  i don t know why it took so long for it to dawn on me that opening little plastic bags and resealing was a real pain  besides  i couldn t see all the symbols at once when i had the vinyl bags lined up back to back  with this storage container i can see all the symbols at once  and there is no trouble getting the containers open  it comes with an initial set of labels easily removed so i can reuse the containers for the next project  this container has saved me frustration and time  i already had a small funnel for transferring the beads back into the container  definitely recommend      
12,4.0,                       i m happy with this case to store my diamond dots  the small containers inside work great for my purpose  i can take the top completely off to fill or i can flip the small top open to pour out a small amount of dots to use  they are basically small tic tac containers  it s nice to have an organized way to store my supplies  the larger case that holds everything does the job  the closure snaps seem a little flimsy and i have a feeling they will break off over time  that will cause me to not be able to carry the case around  like a mini suitcase  without all the little inside containers falling out  it s working fine for now though      
13,2.0,                       i thought this would be good for the  diamond  paintings to hold the plastic beads it came from china  shipped in a light weight bag  and the latches were broken  the handle is almost stationary the little containers were solid enough but i could see the lids breaking very soon after repeated use it didn t pay to send back  i gave the containers to someone else and tossed the tub      
14,4.0,                       this little sucker is a life saver  before this i was constantly picking up little diamond painting beads all over the house  the only thing i would improve is to make the caps fit a tiny bit tighter  on the one hand  they come out easy enough to easily pour in the leftover beads when you re done with them  on the other hand  i ve had a cap or two come out when i wasn t trying  no bueno  they are cute though  they look like little tic tac containers      
15,3.0,                       first time doing diamond painting  i wanted to organize stones   little containers are ok but case they are in i was not impressed with  there is nothing keeping them in a row  not sure which way they are supposed to be facing they don t fit in there very organized  take one out and they all move  the labels don t stick      
16,3.0,                       likes     these are flip top lid containers     they come in a case to hold them all     the    count is better than the    count  because when you do several different diamond art paintings you wind up with extra gems      carrying case is pretty sturdy  dislikes  the lid flaps are flimsy and break off  i just opened this package yesterday for the first time and two of the flap lids broke off     the sturdy carrying case one side of the close lock is not manufactured correctly and the lid does not stay on the latch  i have ordered this very container before but this one seems to have issues      
17,5.0,                       by far the best box for diamond art  i have previously purchased a box that had only    bottles that screwed on  this box has    snap on lids  can be opened and closed with one hand and since all of the kids are attached  they can t be misplaced  boxes open close very easily and far superior to those little little jars that can be over tightened and get stuck  comes with small white stickers so that each box can be marked with the corresponding symbols  the worst thing that i can say is that sometimes you have to hold it by the handle in order to get both sides to snap shut      
18,5.0,                       wish i had ordered a couple more  not very diamond painting company uses the same color labeling system so it makes sense to have other storage kits to accommodate those as well  also  i think i will have to look into log books for the same reason   i just received this box and have not used it but my only concern would be for sturdiness of the hinges on the individual boxes  with constant use they may become infirm and break off  however i think they will still snap on  just easier to lose track of them if they are no longer attached   contrary to the appearances of my apartment i am ocd about matching storage and storage anything  this fills that compulsion  i would recommend  ocd or not      
19,2.0,                       this item came cracked in   places   one crack on the front of the box top which doesn t affect the function of the product  and the other crack on the back of the top near one of the hinges  this crack makes the top of the box hang funny when open  and since the weight of the top of the box pulls at the crack  it keeps getting bigger  the plastic is not very sturdy  i have duct taped it to hold it together the small containers for the drills are mostly fine   a few have flaps on top that almost snapped off when i flipped them open for the first time  and they will probably break off eventually  i m using those for lesser used colors had i not been in the middle of a project that i really wanted to use this for  i d have returned the item for the poor quality that said  having your drills sorted in containers like these makes doing a diamond painting flow nicely  you can easily pour out just the amount you need for the area you re working on  just wish the case itself was sturdier      
20,5.0,                       i wish i d had the good experience other did  the outer box arrived shattered on one end  with a long crack that went all the way to the bottom of the container  several of the closure tabs on the small containers are completely snapped off and loose in the box i am processing a return and hopefully the replacement arrives with no issues like this  how disappointing    edit  two days later  my replacement arrived and it is exactly how i hoped it would be  updating to    since this seems to be a shipping issue  not a product issue  at least now i know what ll happen to my case if i drop it        
21,2.0,              your browser does not support html  video                          the concept of this case is great but it s made very cheaply  most organizer cases have actual hinges and hooks made from other parts  this is basically  d printed from one single sheet of plastic    the hooks on the front do not stay closed and its very hard to get them to snap like they should  the little inside tic tac like containers are made better than the actual case  such a shame because i like the design of this case a lot more than some of the others i ve seen       
22,2.0,                       i received the product and one of the clasps to keep it closed was already broken off  the containers to hold the little diamonds are similar to tic tac containers  they are easy to use  i was very displeased with the case itself  it is very thin and easily breakable  the handle to be used to carry it is flimsy  and seems like it will snap of you try to carry the case      
23,4.0,                       first of all  i used this product for a little over a month  and it certainly serves its purpose  especially for the low cost and number of individual containers  however  i decided to upgrade to a more expensive set of containers  used for diamond painting drills  because these containers are flimsy and the thin plastic cracks  if you never remove the lid  maybe they ll resist cracking  but that tiny lid makes it harder to put drills into the container vs removing the lid  almost all mine have splits in them now  and while the containers are still usable in this condition  i wanted something better with a larger opening for putting in new packs of drills      
24,5.0,                       i love it    i have started a great new hobby  it s called diamond art  and i ve become obsessed with it  and all the accessories that go along w it lol  this container and the little bottles that comes with it are perfect size  and exactly what you need to hold all the colored diamonds  drills  that you need for every new wip  the containers are very sturdy  and the box as well  i will definitely be ordering more like this for every new d a project  it came as specified and pictured  and with enough labels for every container ty very much      
25,3.0,                       i wanted to be able to put my diamond painting beads in the containers while i m working on a project  but three colors did not fit in these tiny little boxes  they are only good for storing leftovers  if you haven t got too many of them per color  would ve preferred that they were tictac size boxes for the price  which is what they look like visually  perhaps an image showing one in a persons hand would help people know what size these really are  don t pay more than    for this box  keep an eye out for a sale     
26,4.0,                       first  what i liked was the snap container    the container and box was sturdy and i liked the adhesive labels for color identification what i was disappointed in was the flimsy handle and the small containers fell down when   or   containers were removed and i found the containers annoying to pick up to put in place  i am also missing one container   that was not in the box   so  i always have fallen lids that need to be uprighted to give me a tight fit   it s a good idea  maybe this is as good as it gets for the small pixels   i use this item for diamond painting      
27,5.0,                       i used this to organize my seeds and used the label that came with it to indicate planting season  then i just used a label maker to put across the front what each seed was  it s more compact than some of the other seed storage i was looking at which is also nice  would be great for beads too      
28,1.0,                       the first thing i noticed about these incredibly small cases is that most of them arrived scratched  they look as if they have already been used  if a product were to be on the shelf in this condition  i would never purchase it  like other reviews mention  the plastic is so thin it feels as if it is going to break just by opening it  i m incredibly disappointed with how cheaply made this item is  definitely returning it      
29,5.0,                       i m really pleased with the container   everything is easily identified by labeling each individual container   a small funnel helps to fill the container with diamonds  it is a tad smaller than tic tac containers   you can easily take the number letter you need and dispense the diamonds you want to work on without having them all over your working area   as i get a new kit i put the diamonds in the containers before starting on the canvas   i complete one kit before starting a new one   i love painting with diamonds      
30,2.0,                       bird songs  liked it originally  but does not stand up or flops over when filling  and i bought    the little tic tac containers are cheaply made and the lids do not fit tightly  beads came tumbling out more then once  i got so aggravated i finally tried taping them closed  but that is inconvenient cause i have to reseal each time i use      
31,5.0,                       i was pleasantly surprised on this when i purchased for my diamond art beads  they are easy to fill  easy to get a few or many beads out of and fit nicely in the box with just enough room to be able to get just one container out at a time  i will say the locking hinges are a bit flimsy but do the job   how long they will last we will see  i purchased another like it and the boxes fit so tight you have to take out multiple just to get to the one you need  buy this one instead      
32,5.0,                       my case came quickly  using it to hold herbs for a travel altar  will work great  the lids are snug while not being difficult to remove if you want to  comes with little stickers to label them  the containers are very small though  smaller than a tick tack case by probably half  ordered another one because apparently i have more supplies than i realized  will probably order a third one in the future for my diamonds for my painting with diamonds kits too  i think this will be a lot more space sensitive than the system i am currently using      
33,5.0,                       i wasn t sure about getting the diamonds into the cases but the white tray that comes with each picture has the pour tip that fits right in the top of the  boxes    the top removes completely but that isn t necessary to fill  depending on the volume of each packet the individual box will hold at least   packets  it makes the work area much cleaner neater  they also send a sheet of mini stickers to mark the  boxes with the correct id number      
34,5.0,                       this is perfect for those who bead or make jewelry to store and organize small pieces and bead colors  the box is a good size  easy to store and also easy to take along with you on the go  and the clasps hold and snap together tightly  and i feel confident it will stay closed  i got all my seed needs sorted and in the little containers  and then realized the corner of the top of the box was cracked   after all that work  i ll have to undo it so that i can return it for an undamaged one  it came to me in a sealed plastic mailing  envelope that didn t have any padding  i m bummed i have to wait again for it as i was hoping to get all organized for winter  otherwise this is a great buy and a good price      
35,4.0,                       i used this product to store   d drills   they weren t as large as somebody described almost   inches  only   inches x   inch  actually  found a few with bad  cracks and several with stressed and scratched corners but overall worked well for organizing and consolidating drills into a compact and easily carried unit shipped very timely and wrapped well      
36,4.0,                       this little organizer was a game changer for the diamond art game  i did my first diamond painting without any kind of organizer aside from little ziplock bags  and that was a little bit of a nightmare  so i upgraded when i bought my next project  it s great for not only keeping me organized while i work  but keeping my mischievous kitten out of trouble  i just have one complaint  while one of the boxes works perfectly  i have issues with the little inserts in the second one  a couple of the containers have lids that are too flimsy to stay closed  so i leave them empty  not surprised considering this organizer is on the cheaper side  otherwise  i love how contained and organized everything is      
37,3.0,                       i love the little containers they are perfect for my drill storage  they snap well and are sturdy however i have a problem that the large plastic storage case came broken  very disappointed  could you send me a replacement outer box   i d spend more on fooling around with packing and returning it then it s worth   if the company makes this right i ll up it to five stars and write here that they  made it right      
38,3.0,                       opened the mailing envelope and the contents box was cracked  the tic tac box openings and container are very small  much smaller than an actual tic tac container  do have to say the lids on the tic tac box seems sturdy  however  overtime i feel they wouldn t last to long  i m going to keep the product but i am going to invest a bit more   into another product      
39,1.0,                       this box broke the moment i opened the lid  the plastic is really flimsy  i had to duct tap the lid where it cracked because i desperately needed a container for my beads the good thing is that its a small case and the containers are ok  they are just like tictoc conatiners easy to open  but hard to pour and fill      
40,5.0,                       i never should have waited this long to buy this item  i enjoy diamond art kits and have completed nine  seven without my bead box  that was dumb on my part  these small containers are well made  even my husband complimented on its structure and he is hard to please  it helps keep my beads and me organized so i can relax while making art  it came on time and neatly packaged  thank you      
41,1.0,                       i m disappointed in the quality of these   i ordered them and they seemed fine but after doing   diamond paintings one of the lids no longer stays on and   of them cracked   i can tell they aren t going to hold up for the longterm now i m looking at something else to get instead   very disappointed as i ve only had them for   months and it said they are for diamond painting      
42,5.0,                       this diamond painting holder is great   it has many containers to hold beads in   it is easy to use and definitely helps you by giving small labels that  you can place on top to identify each color coordinate   i  in fact plan to order another   the carry case is great as well since it closes snuggly on all inside   so there is no possibility of any beads escaping      
43,5.0,                       these are the perfect containers for my acrylic  diamonds  for crafting  easy to fill  hold     grams  and so far have not popped open if i drop one  very sturdy  by far the best little containers for this purpose  comes with plenty of label stickers  the cases keep everything sorted and safe  i will definitely buy again if i need more      
44,5.0,                       i like creating things with lego but i don t like searching for some of the tiny pieces and trying to figure out what is where  this little box is perfect for sorting and holding the smaller pieces i love how sturdy it feels and how easy it is to take the tops off the individual containers  while staying securely on when i want them to  great value  very pleased      
45,4.0,                       easy to use and store my diamonds for diamond painting in  but  i have already cracked   container trying to get the little tab in the lid open  it stuck down and when i pulled the container cracked  not enough to render it unusable  but it s a pretty good sized crack    stars  because the plastic seems easy to break      
46,4.0,                       it is perfect for diamond painting and keeping things organized  i did take a star off however because my lid came cracked in   different places  not making it unusable  just hard to close at times   i decided not to return as it was more of a hassle  however the product is good  just the container is not as sturdy     
47,5.0,                       i love that it has so many more containers than the other storage container i had  they are easy to fill and easy to dispense just the number of drills you need  sturdy box and tight closure as well  it makes diamond painting so much easier  i would recommend it and or buy it again  if you do   d diamond paintings  you need this      
48,3.0,                       love the ease of switching out colors  saves a lot of time  not having to hunt for the right bag for a color you need   labeling is nice  easy to grab  etc   only problem is that the right latch on the box is broken  and actually missing a chunk  so it doesn t close on that side   otherwise  it s a great item to have for diamond painting fans      
49,4.0,                       i have done over a dozen painting and these little containers are a nice addition to my projects   i like having a large number   i deducted one star because several containers were broken but there were still enough left   the containers i ve been using are connected so having these being individual is a handy change      
50,1.0,                       i know accidents happen  but the hinges being such a thin plastic made this item very fragile  i just took it out of the package and inspected it cos the lid refused to close and found that the right hinge had been torn broken  not sure if it was the retailers fault or the way it was delivered but now i can t give this as a gift for my mom for christmas  i was hoping to not have to deal with the stress of a return refund but this isn t usable at all like this         
51,4.0,                       i guess i was thinking that the little flip top containers inside the box were more like tic tac size  but they re smaller than that  i could still fit most of the colors in one container per color  however  and there are a lot of containers  so i could make more than one color if i wanted to  i put my extras in baggies and worked them onto my diamond painting canvas first so i could keep it to one container per color   the included sticky tabs for the numbers is great  i bought a second box so i could have my round gems in one and my squares in another  but because of the size  i ll likely end up buying more  still  i like this better than others i ve seen around the web  i m not sorry i bought them         
52,4.0,                       it is as advertised  i think the box and the container are made a little flimsy for hands that don t have good grip  good product just not to my liking      
