,CommentsStars,CommentsContent
0,5.0,                       great sunglasses for the price  i ve paid more for ones that broke the next day  these are great and vision during the day is great  i don t wear my sunglasses at night like a creeper or a tool so i can t comment on the visibility during those times  great buy and quality product      
1,5.0,                       these are very good for the money  polarized and look good     
2,5.0,                       great sunglasses and they are polarized which help with driving  lightweight and comfortable      
3,4.0,                       ordered   sets one set had a broken bow not bad      were fine  i guess   out   is not bad      
4,5.0,                       i like is pretty comfortable     
5,5.0,                       excellent     
6,1.0,                       brought the three pack  never again they are really small and flimsy  dollar store glasses are better than theses   would maybe buy for a child that s it     
7,5.0,                       for the price  i can t complain thank you      
8,5.0,                       high quality for great price  my new favorite pair      
9,5.0,                       these are great glasses  the shipping time was horrible over a month but i m not sure if it s amazon or something else at fault  all of the shipping was supposed to be handled by amazon  the glasses are great though      
10,4.0,                       so there are many possible combinations here   i bought the     pack  matte black frame black lens   matte black frame black lens    one pair is a wayfarer clone  the other is a clubmaster clone but the lenses are not black  thankfully   because if they were black they wouldn t transmit any light   indeed  the description shows six possible colors   grey  g    blue  green  red and silver   no black   and no brown either  although some of the combinations say that the lenses are brown   contradictory and very confusing the lenses i got were more like bluish grey   very nice visibility   they are plastic  just like the frames   despite the high ratings here  don t confuse these glasses for maui jim s   the high ratings for these glasses can only be driven by the low prices   and it is for that reason i gave them   stars   they are a step up from the glasses you find in any tourist shop in a beach town  and actually for a lower price   so that s nice i tested out these two pair of kaliyadis glasses  and a pair of the polarspex wayfarer clones i also bought here  on a drive cross country and back of the two pair of kaliyadis that i got  i m not a fan of the look or feel of the wayfarer clone   i like the look and feel of the polarspex wayfarer clones  although i like the visibility of these kaliyadis better however  i like the kaliyadis clubmaster clone a lot   very light and comfortable  and they look good   an excellent value overall  between these kaliyadis and the polarspex  which are both highly rated at amazon  i liked the kaliyadis better   for     for two pair  it s hard to go wrong      
11,5.0,                       everything is as described  they are very comfortable and do a good job of protecting one s eyes from excess uv rays      
12,5.0,                       ordered these glasses twice  lost the first pair but i love them  great quality for the price  would      recommend     
13,5.0,                       just got these today  but they are very lightweight and seem like good quality  they come with cloth baggies and a microfiber wipe the sunglasses also come with a little card that proves to you that they are actually polarized  i could see dolphins when i was wearing the sunglasses  but when i took them off  the dolphins disappeared       
14,5.0,                       literally one of the nicest pairs of sunglasses i ve owned  very similar in quality compared to top shelf brands  love the style and quality     
15,5.0,                       great product   sturdy and lightweight      
16,5.0,                       great value and great product     
17,5.0,                       love these sunglasses  so comfortable  sturdy  and excellent quality polarized lens  we ve already bought two different sets and love them both  highly recommend just as the other reviews say      
18,5.0,                       great for vacation so you don t have to worry about losing more expensive ones in the water no i didn t learn from experience   not sure how long they will hold up but it s   for     so i would be good with a few days      
19,1.0,                       they come in nice packaging but they feel super cheap and the leg broke after one week of use     
20,2.0,                       i know i cannot expect much when purchasing sunglasses for such a low price  but i do expect    at the very least   for them to last more than a few uses  unfortunately  all three broke within a month or so of use  this would be understandable if i was rough with them or careless  but i literally kept them in my ray ban s case for safekeeping  so  if you want some low cost throwaway sunglasses that will not last  these may work well  otherwise  avoid this buy      
21,5.0,                       wonderful sun protection from coastal sunshine  great price and wonderful quality  can t beat this price    will buy again if need be      
22,5.0,                       bought for myself and my girlfriends  both pairs look awesome and are polarized so you can actually see  it also comes with a case and microfiber cloth for both      
23,5.0,                       bought these for my girlfriend who like the black colored ones i got  she absolutely loves them and wears them constantly here in sunny oklahoma     
24,3.0,                    se pelan muy r pido y son muy sencillos        
25,1.0,                       the left lens is darker  wearing it makes me feel nausea     
26,5.0,                       great looking and great eye protection   getting some complements      
27,5.0,                       love these  they are unisex and work with every outfit     
28,1.0,                       i put these on and immediately knew i d be retiring them  i turned around in direct sunlight around an hour or   after sunrise and could hardly see anything  it hurt my eyes to wear these because they reflected sun from behind me at an angle into my eyes      
29,5.0,                       they re not too dark  but really diminish glare from sunlight upon the snow  they re also useful on overcast cloudy days      
30,5.0,                       love these sunglasses  i was skeptical of the lens quality for affordable sunglasses  but these are clear and without any haze or distortion  good fit  comfortable and i will definitely order again when i need to replace these      
31,5.0,                       i chose this set with the blue lenses and turtle frames and they exceeded my expectations  for only being    bucks  you get   quality sunglasses and they did the job on my first cruise  i did lose a rubber nose piece  but that s no fault of the glasses  i ll add a picture to show how they looked in real life      
32,5.0,                       great deal    the sunglasses are nowhere near as cheap as i thought they would be      
33,4.0,                       after wearing these almost everyday since ordering  i love everything about them  the only con is they are a little  tight on my temples  recently my wife s         raybans broke  she couldn t  find any thing she liked at the hut so they gave us     off on another pair  they really suck you in  sooooo  i ended up walking out with a brand new pair of rayban justins   i ve been looking at getting a pair for a while but didn t need or want to spend rb     the difference between the rb and these on amazon as far as comfort is night and day  the rb justin is much comfier for me    the finished product over all tho the differences are marginal at best   i asked myself are these rb really worth         vs        for two pair on amazon  absolutely not    the rb are better don t get me wrong  but not         dollars better  i also paid         for a pair of ditas tho so take my advice with a grain of salt lol      
34,5.0,                       they are fantastic        
35,5.0,                    buena calidad        
36,5.0,                       stylish sunglasses and provide super blocking of the sun rays     
37,5.0,                       best pair of sunglasses i have owned  i bought these because i am irresponsible with sunglasses always breaking and loosing them  these are high quality for a low price      
38,4.0,                    est n muy bien solo que uno sali  un poco chueco pero la calidad es buena        
39,5.0,                       i will def buy again  this is my second purchase because people keep wanting them and i give them to them  lol     
40,5.0,                       very good quality     
41,5.0,                       awesome style  blocks the sun  and for a great price  if they ever broke or got lost i would definitely buy again      
42,5.0,                       comfortable to wear and easy to fit into a small purse  good sun protection too     
43,5.0,                       love these glasses  and the shape and size ended up being great  also a   pack was perfect so i could keep a pair in my car  a pair on me  and a backup pair in my backpack      
44,5.0,                       amazing for the bright sun     
45,5.0,                       very good quality and style     
46,5.0,                       once you ve worn a polarized sunglass its tough to not have them  i wanted a pair to keep in our  nd vehicle  these two pairs cost less than the last pair i bought at a bargain chain  i m happy with the fit  the clarity of the lens and the style  i highly recommend      
47,5.0,                       these sunglasses were just what i was looking for  they work great for blocking the sunlight when i am driving or just out in the yard   lightweight and comfortable      
48,4.0,                       very comfortable  stylish and light weight     
49,3.0,                       cute  but the upper plastic part of the frame on the wire pair broke in short order  even with very gentle use   the plastic pair is  so  polarized that they give me a headache in the car  the windshield must be polarized as well   and you cannot look at a newer phone screen with them on  lools like an oil slick      
50,2.0,                       the side corners of the sunglasses constantly reflect what s behind you  so wearing these shades would tire you out after a while  a bit distracting  to say the least  the nose pads are also a bit too noticeable to the wearer  feels like the nose is being pinched by a baby plastic lobster  if that makes any sense       
51,5.0,                       i bought this for my nephew for our christmas gift exchange   they looked great on him   nice looking shades at an affordable price     
52,5.0,                       guilt free glasses for the pool or river  for how cheap and awesome these are you can t go wrong scooping up a pair or two can t tell you how many ray bands i ve lost doing hood rat stuff at the local watering hole no longer an issue now      
53,5.0,                       haven t even used the blue one but the black one looks awesome and does it s job what else could i ask for for this price too      
54,5.0,                       granted  these are not super duper fancy sunners   but when i buy those  they still break get run over sat on lost   for this price  these are surprisingly good sunglasses  i picked the two pairs of all black  one blues brothery and the other that s a throwback to     s glasses  and i like and will wear  em both  in fact i m back buying an extra set for when these eventually break get run over sat on lost  lol  if nothing else  these polarized babies make an excellent spare set to leave in the car  received quickly and needed no adjusting  recommended      
55,5.0,                       nice set of glasses  polarized  and each came with a sleek black carrying bag and cleaning clothe      
56,5.0,                       i ve bought these twice because i lose my glasses  i love the polarize part and they look cute  comfortable too      
57,5.0,                       i have had these glasses for about two weeks  the wayfarer pair is a little bigger on my face than i hoped  but the clubmasters fit amazingly  the material is a matte black rubber that feels high quality  and the hinges do not feel weak      
58,4.0,                       pretty good quality for the price they don t feel as cheap as a pair of gas station sunglasses  the tint is just dark enough where it doesn t bother me to drive in them  the rimless do seem a bit small but i have a big head but the retro rayban clones fit just fine      
