,CommentsStars,CommentsContent
0,5.0,                       absolutely love     
1,5.0,                       the amazon ordering was flawless  as always  the surface pro   is an upgrade from a surface   i purchased four years ago  this is used daily by a school teacher for virtual learning and handles all tasks well  the surface   was getting a little slow with the number of resource intensive applications used and it was time for newer hardware  another fine product from microsoft      
2,5.0,                       this is the first time i bought microsoft a kind of a small tablet but this is really good i was a hp  customer but now i like this it s because it s easy to handle and it worth for money very handy stylish and very fast i do not have any hesitation to recommend this to anyone     
3,5.0,                       this is my wife s second surface pro  her workplace issues them to teachers and she liked it from the start  her personal surface pro is definitely her favorite computer   she is also an extensive use of iphones and ipads      
4,5.0,                       great machine        
5,1.0,                       fresh out of the box this surface pro   crashes frequently enough to consider it too unreliable to be my sole computer   i wanted to love this  but now regret buying it        
6,5.0,                       not as light as i expected    even contacted microsoft to be sure  they were not accurate     but in general is the best option for a small light touchpad laptop computer something everyone wants to know         kg   grs       lb with original keyboard     
7,5.0,                       great product   much better than ipad        
8,5.0,                       i use the surface pro mor my more mobile users  powerful and portable these things rock  my only complaint is that they have   usb port  other than that  love them      
9,4.0,                       while battery life is a little short  it s still an above average notebook      
10,5.0,                       the surface pro   has made taking notes easier and has generally improved learning during the pandemic for me  it can handle gaming although use of an external fan is a must for modern titles excellent choice for students       would recommend      
11,4.0,                       always liked microsoft products  surface pro   is awesome to use and comes with great features  bought it for my   years old kid and he is enjoying using it  he is pro using mac book and other windows laptop  and without any issue he started using surface pro  great product  the packaging was great    my son enjoyed unboxing this new surface pro  happy using ao far     
12,3.0,                       good computer  but realize that if you have problems with it your local computer shop won t be able to help   the only option is to send it back to microsoft and that option starts at       they couldn t tell me why the extra          
13,4.0,                       first a big thumbs up to proprime and fedex who shipped my surface pro   to the other side of the globe within   days of ordering   very impressed as for the pro    so far very happy  build quality is good and i havee been able to use my hp pen on it without issue  negating the need to spend more money on something i already have the onscreen keyboard is not great though   during the setup there were a couple of times where i could not type in details and had to push all around the screen to try and get the keyboard to appear  even after updating to the latest version of windows  this did not improve talking of setup  this was very easy and after logging in with my microsoft details  i was up and running within an hour very handy tool when meeting with clients      
14,5.0,                       bought this for my daughter in october  who is a senior in high school  she loves it and no problems with it so far      
15,5.0,                       very versatile  light weight      
16,5.0,                       even our it director was impressed with this product when he added my internet access  we liked it so much that we ordered a second one within a week      
17,5.0,                    muy buena opci n        
18,1.0,                       bought bundled but keyboard connection was inconsistent   sp   had to be restarted all the time to use the keyboard and disconnects after a a few minutes  sp  was later determined defective not the keyboard   additionally  matte black finish was easily scratched on the edges especially in the bottom of the folding stand   also noticed imperfection in the paint job with a small clump of paint near the logo   terrible quality control   returned to a microsoft store during my travel in california and replaced with a new sp  but i had to purchase extended warranty for the store to replace with a new unit   the new replacement sp  paint job is noticeably better coating since it s holding well after a week use     star for microsoft poor production quality control but   stars for the customer service provided by microsoft westfield topanga canyon store for offering the replacement      
19,3.0,                       this is really a nice product  i love the ease of use  the design  the speed  seriously  i can t say enough good or anything bad except for the price  when all was said and done for the surface pro and keyboard with sales tax   total was just over        i honestly think that it seems well overpriced based on all the shopping i did when i needed to replace my computer  i reluctantly returned this   buyers remorse   and purchased an open boxed  excellent condition surface go with mouse  keyboard and pen for a little over half the price of pro   which i am finding is a suitable alternative  i wish i could have justified the cost because i like a bigger screen normally the go is only     compared to the pro which is          
20,5.0,                       i had the surface pro   for years prior to this  i decided to upgrade and i m glad i did  some of the improvements i like are    writing is so much smoother plus in one note it is very sensitive to how much pressure i put down with pen and the angle when using pencils   faster for sure and it runs many things at once with no issues  i also installed a lot and got it all done within a hour   the hello face recognition is easy to set up and makes signing in a breeze   battery life at least for now is great  this is biggest reason i updated  i used for   hours yesterday and still had       picture is a lot more crisp with better colors and sound had definetly improvedoverall  i highly recommend  the fact you can change from a solid laptop to a solid tablet within seconds is incredible  i have had good luck with microsoft products and so far this is the same      
21,4.0,                       very happy with device  although first device was programmed for hebrew punctuation and could not be resolved  had to resort to a second device which so far has been a pleasure      
22,5.0,                       replacing my laptopgreat size   can use as a tablet too        
23,1.0,                       the memory ram didn t work as it had to do work  therefore  i was in struggle      
24,4.0,                    el equipo incluye teclado  sin embargo  el que recib  presenta un peque o inconveniente con el cargador ya que el mismo no se sostiene en su lugar y hay que estar vigilando que no se desconecte para que alcance las carga necesaria  por lo dem s no tengo ninguna queja hasta el momento         
25,5.0,                       a few months ago  i had contractors working in my home and during the process someone stole my lenovo yoga laptop   an iphone   after going through the   stages of grief i did my research and settled on an hp laptop   i was happy with it for the    days i had it until the cooling fan failed and the device started producing errors and shutting down   hp support assured me they would take care of it but during that period i ended up buying a surface go which was too slow for my preferences and then ultimately settled on this   this tablet is awesome     i love it s portability  performance    price   it really is a great value at this price point and even if i sit it on a blanket all day it will not overheat like my other laptops do under heavy load since there are no vents to block on the surface   don t hesitate  buy it   hp returned my laptop after   business days  go hp     but i still prefer and use this     of the time and it s the only computer i travel with now because of it s portability      
26,5.0,                       given as a birthday present  the surface pro was in use immediately after opening and has been in use every day since      
27,1.0,                       i purchased two of these at the same time at christmas for my sons   the first one would boot loop  meaning it would never boot up  right out of the box  so we returned it   now four months later  the second one is doing the exact same thing out of the blue   these things are trash  and now we re stuck with an almost      piece of unreliable junk   avoid and do not buy      
28,5.0,                       very good product  amazing pc      
29,1.0,                       i purchased this computer and was very excited to use it  i m a student and don t use it for anything special  just simple basic use now listen  after just four months the computer started to get stuck every few hours  sometimes it just doesn t move and should really be turned off by long pressing the shutdown button and sometimes it wakes up after a few seconds of being stuck  this is an unbearable situation  i do not recommend this surface pro   at all  by the way  i realized that it happened to many more people who bought this computer in addition  microsoft s service is inaccessible and i was unable to contact them to fulfill the warranty      
30,1.0,                    dentro de la p gina descriptiva del equipo se indica que el equipo viene con teclado  no obstante en mi equipo cuando lo compr  no vino con teclado        
31,5.0,                       this is a great buy         
32,5.0,                       this surface pro is awesome      
33,5.0,                       using business and for personal use  music and photos  traveling information     
34,1.0,                       this is a horrible product i purchased this computer and i was so excited to use it  however it kept restarting out o the blue  i gave it a couple of days because i thought that it was doing it since it was a new computer but no       it just kept  restarting and restarting  eventually i got fed up and returned it  then the company had the audacity to not give me full refund for a defective computer       i will never purchase from this company because they ll give you a horrible product and not give you a full refund      
35,5.0,                       i love that the product is light  the sharpness of the graphics and the quality of the touch screen      
36,5.0,                       no     
37,5.0,                       awesome     
38,2.0,                       total buyer remorse  i ve only had it   months  of course my return window closed on july   th  so i m stuck with it      
39,1.0,                       our first surface pro stopped functioning   we had asurion  which was great   we replaced the machine assuming the one we had gotten was a lemon  and less than a year later i am on the phone trying to talking to microsoft to get the second one fixed   do not buy one of these unless you like spending time with tech support      
40,1.0,                       this brand new surface pro  is it  it acts like it was someone s problem that i inherited      
41,3.0,                       had to get   surface pro to get one that worked  seams good  can t get my office     transfered to this device  microsoft refuses to help  they sure are quick to take my money  disappointing      
42,4.0,              your browser does not support html  video                          great      
43,1.0,                       worst computer i have ever owned  i would suggest to avoid buying this   months after standard warranty expired and it doesnt allow me to access windows anymore technical support is awful  no way to contact them  only option is to send for service and get a replacement which cost    usd      
44,1.0,                       don t ever get this computer    i would say to find a better one   used it for less than one semester and something with the hardware got fried   garbage        
