,CommentsStars,CommentsContent
0,1.0,                       we revived an empty box  so disappointing         
1,1.0,                       enough said     
2,1.0,                       don t buy it i was mistaken  the promised model was the new nintendo switch with the code  hac           but the model that was delivered was the old nintendo switch with the code  hac    liars and thieves and that s what you are  shame     
3,3.0,                       when i first received the switch i was so excited  everything was in the box and it looked brand new   at first i didn t have enough to buy any physical games so i bought some games for sale on the e shop  and it worked great  but only till after the return date passed did i realize  the game card reader was broken  when i first played one of the games it seemed to work fine  but later when i removed the game and i inserted it again  it told me it couldn t read the game card  easy enough  just restarting the switch made it read  but now months have past and the only game card it seems to read is animal crossing  all my other games just wont read  even a brand new copy of minecraft  since i believe i still have warranty  i wanted to contact nintendo for repairs but it s been shut down due to covid  i hope i can get this fix  i m very disappointed      
4,1.0,                       trying to profit from covid        
5,5.0,                       playing switch games is great  i bought   games with my system for variety  turns out the most amazing feature i was not aware of before i started playing  the online subscription they offer for a measly    bucks a year offers a library of nes and snes games you can play at will  you can save state in them as well up to   save files for each game  you can also reverse time when playing  it is a cheap feature but very cool still  died in mario  just hold in two buttons  reverse the game like a dvr on tv show and bam  try that part again right where you just were   i do not know if it is true but i read they have two more slots for future classic systems in their coding in the system  we have nintendo  bit  super nintendo but we could see nintendo    or game cube in the future as well all   games i picked up for it run great as well  no complaints except it was     dollars more than list price  alas these are the times we live in      
6,5.0,                       i was suppose to receive my package october   th  i didn t receive my package until the   th  it wasn t amazon fought at all  i blame usps for screwing up  they sent my package to the wrong address  so i had to go online and have them redeliver my package when i finally receive my package i notice it wasn t damaged or tampered with  the switch box was still intact thank god  one thing i notice is the switch itself looks more premium if that makes any type of sense  lol you can tell they fixed a lot issues with the joycons and other things  my og switch had so many flaws  my tv screen would go black then turn back on for some reason while playing  the vents on my switch ended up melting off  the back had so many scratches from the dock anywho  the battery life is amazing   if you re like me and you play your switch an hour a day  it will last for a couple days  if you re the type that play your switch for hrs  you can get up to  hrs of play depending on the game you re playing im glad i got the upgraded version          
7,5.0,                       we gifted this for christmas to  family of five   what a surprise to them  and all were very happy   i like that it is portable and not take up  lots of space and also can play on the tv monitor  it seems well thought out to be versatile      
8,1.0,                       please dont buy product as its over priced dont waste your money nintendo still has the switch at        just check their website not worth the price your better off making your own switch from scratch     
9,1.0,                       the price was already heavily inflated  i was more than willing to pay  but how are you going to make me pay      and not include everything  i was excited only to see the straps were missing  if i paid      i would want everything included      
10,5.0,                       love the switch  ultimate for the gaming dad  game anywhere anytime      
11,1.0,                       way overpriced  joycons are flimsy  standard switch is      and yet it can only be bought for       nintendo get your act together      
12,1.0,                       i ordered using a black friday promo code to receive an amazon gift card with unit  the unit came as advertised in two days but there is not trace of a gift card anywhere  nintendo s costumer service chat is useless  there is a robot who is supposed to direct your concern to the appropriate department but no one answers      
13,1.0,                       nintendo left consumers out of luck on this one  no new stocking dates  leaving price gougers to upcharge  the nintendo switch is not a terrible console but the specs are not worth anywhere close to       it comes with a    p screen  almost everything has a better screen than this by now  don t pay the same price of ps  or xbox one for something that s made from       probably even cheaper  worth of parts      
14,1.0,                       you re pathetic trying to sell this for this insane amount  they were going for        and all of a sudden they are       pathetic       
15,2.0,                       i m suppose to love the switch  but i don t   i think it s a bad deal overall    nintendo online doesn t offer much compared to the wii virtual console days   there s no metroid games from the gc wii advance era   nearly all the games for the switch look like something from the    s when flash games were popular  but the games are priced as if they re made out of gold    the frame rate on this console is poor  yeah  some games reach a respectable   fps  but i d say most games fall below that    the dock is very woobly  it doesn t lock in  and it s very easy to scratch up the screen    there is no wired connection out of the box   why should i have to buy an adapter for that   if you play online seriously  you use a wired connection    here s what really bugs me   there s no web browser on this thing   no web browser for a mobile device  are you kidding me   this also leads to bizarre consequences   since there s no reviews on the nintendo store  you re forced to go to third party sites for reviews    but you can t  because there s no web browser   lmao  and i had to create my nintendo account on a pc   rofl conclusion i ll stick with the pc  xbox and playstation   if these issues ever get resolved  i ll reconsider   it s an interesting design  but it s all hype   little value        is way overboard for this gimmicky soy toy      
16,5.0,                       my daughter ask if she could have the nintendo switch  so i log on to amazon to look for one and when my daughtersaw that they were selling the animal crossing edition she asked me if she could please have that one  i was more than please to buy the animal crossing  edition because it was only at           
17,4.0,                       i bought this system for myself as a birthday present  and i have enjoyed using it   the controllers took a bit getting used to detaching on and off properly   i think the main thing is to be careful about what games you buy if the device will be worth it to you in the end  or if you are excited about upcoming games   i waited to purchase the switch until i knew there were about ten games i wanted to play and added about three of them into the in initial cost as well   i m pretty picky about my games because i am a casual gamer  zelda breath of the wild which i borrowed from my brother later  is more intensive than anything i have played in years games are expensive in physical format  although that is my preference   there are some cheaper games on the online store   so far my favorite local game shop does not have any used copies of switch games although they have everything else   maybe some day i might buy a screen protector for it in the future but have not as of yet   if your switch is to see heavy use by an entire family or if as an owner you plan to travel with it i d recommend one but that is not the case for me  i did have a problem within a month of ordering the machine where the fan started whirring loudly   at first only when it was plugged in to charge then all the time when it was at rest  then at last even while playing a game   i called nintendo customer service and had it repaired  although i had to send it back three times with the same issue to a radioshack in syracuse ny   last time i sent it in they just replaced the system  if i have a problem in the future i will request replacement rather than repair  especially if it s going back to new york   just not happening   at least customer service was good  but i was becoming a bit disgruntled toward the end there with their techs   for my troubles customer service gave me a new set of controllers automatically and then later  three months free on the eshop   oh  and the second and third shipments were two day free      
