,CommentsStars,CommentsContent
0,5.0 ,                       i replaced one of the earliest samsung lcd screens which cost       years back  first i must say that i live in a rural area and have antenna television  this tv exceeded the air channels i previously could get  then came the surprise  when i connected it to wifi  here comes  samsung tv plus   i now have hundreds of channels free  next  the apps are much faster than my blue ray player  you can switch from tv to amazon to netflix in seconds  the picture quality is unreal  i watch alot of old tv shows from the   s and   s  i never thought id be right on the set of gunsmoke lol  the one and only downfall is the speakers  volume ranges from the show to the commericals greatly  i highly recommend a soundbar  all in all a great tv      
1,5.0 ,                       i saw this on one of the amazon prime truck deals   i was going to pass but the price was right   it arrived within   days and the delivery was exceptional  even by amazon standards  it s a large tv  but the physical set up was simple even for one person   i don t have cable so i connected my antenna and set up my smart functions   most of the apps i use were already loaded so all i had to do was log in   it even updated my xbox   the universal remote works on everything connected  one remote to control them all  the picture and sound quality is great   it gives the space a true home theater feel  which is what i was after    i watched a john wick marathon and haven t left the sofa all day   i m beyond happy with this purchase      
2,1.0 ,                       worst tv i ve ever bought  do yourself a favor  buy a sony instead  had this tv repaired and it s still giving me problems  and i ve only had it for   months      
3,5.0 ,                       i already had two high end samsung tvs on upper floors   i bought this smaller  lower end tv for the basement in my home gym   lower end in that all the specs are higher on my other tvs  size  motion rate  etc    but it looks perfectly fine   had no trouble with setting it up   i  like having all my tvs by the same brand   they all have the same remotes  finally got rid of the old projection tv that was down there   so happy all my tvs are now smart   samsung seems to the top of line in tvs now      
4,5.0 ,                       alright  first off i never write reviews ever this tv is amazing especially for the price  i buy multiple tvs every year for my business  hi end   k      p  roku  amazon  all of it this far and above the best bang for buck  k tv i have ever seen it rivals so many higher models from other manufacturers my first arrival was a cracked screen  however amazon replaced it for me in less than a week  the second one came with zero issues  so many things being shipped these days its always a dice roll moving tvs all that said  if your on the fence  and spending hours looking at other tvs within    to     dollars  stop searching and buy this one      
5,3.0 ,                       tv is fine  especially for the price   but samsung s os is absolutely terrible   it is super slow and glitchy   they don t let you download certain apps   it barely ever works with screen share from an android   and its loaded with a bunch of  channels  that you will never use  which further gums up the os   just overall poor performance   just buy a chromecast and forget about it      
6,1.0 ,                       tv has an unwatchable dark picture when using built in apps  hdmi input displays fine   samsung support setup a repair ticket and cancelled it after a week without telling me why  the second support ticket was cancelled too  finally  they informed me that no repair techs were in my area and they would have to replace it  after another week  they informed me that they can t replace it because there are none in stock so they would have to issue me a refund and pick up the tv  then they told me they can t pick up the tv because of my location but would still issue me a refund  i m still waiting on the refund  i live in northern colorado and not in a rural location by any means and yet samsung is unable to service my area apparently  the entire support experience has been ongoing for nearly a month to try to get this resolved      
7,1.0 ,                       i have never experienced anything like this before  when i turned on the television  the picture showed that the screen was clearly damaged   completely unacceptable   never again      
8,1.0 ,                       smart tv  i thought i could down load all the normal apps that i use on my ipad   no  it only has very few apps you can down load   no cnn  no nhk world  etc   i thought something wrong with the tv  i called the samsung  the person was very good with explanations  samsung doesn t support those apps   so you can t get them   it has all the junk tv apps already built in   you end up subscribing cable service to get channels you want to get   also  sound system is not very good   being      i expect better sound system   if i knew  i could have kept my old samsung tv with cable service   check your favorite apps first before purchase it   it would be expensive waste if you don t get what you need or want      
9,1.0 ,                       product arrived with what seems to be a crack within the tv screen  it does not turn on  very disappointing      
10,4.0 ,                       happy with my purchase the picture and features are good enough for me   i did a lot of research online before this purchase and quickly became overwhelmed with the over analysis of picture quality  refresh rate   dark contrast   screen reflection   screen brightness for your room   bottom line is the picture looked good to me and all the other stuff i am sure for professionals is important but i couldn t  tell   i purchased the     viewing from    feet away and am happy with it   the apple air play works great to connect with iphone or mac book  for screen mirroring      
11,4.0 ,                       so i give this tv four stars  haven t bought one in   years so forgive me if the stuff i talk about is the new status quo  for starters love how the tv automatically finds my local channels and auto controls fire stick  yes i have to use fire stick only because samsung still has not talked twitch into making an app for their products  but having the fire stick part of your hub menu saves a point from being deducted since it s the same effort  meaning i don t have to switch sources  it acts as if hdmi is its own app  plus i don t have to switch remotes so again a huge plus  tv is not out of the box ready  super hard to watch movie show that is dark  but changing to dynamic mode then expert settings and turning shadow detail to   really helped  a good balance unless you wanna switch back and forth because dynamic mode without tinkering is too bright on its own if not watching night scenes  the recommendations on the hub is super annoying and if i was in bad mood would give tv   stars because of it  aside from that  first week tv kept freezing stalling but heck it was sitting in warehouse for months so i let that slide  works perfectly now  all in all good buy  ps samsung add the darn twitch app please      
12,1.0 ,                       we tried everything to adjust the picture   we read multiple articles online etc   simply put  the picture on this tv is substandard   we are sending it back and sticking with a       the quality isn t even close      
13,1.0 ,                       unfortunately this samsung  tv is not compatible with the most common cable box in america  cisco       many other companies market this box under different names  samsung customer support waa unable to provide and cable boxes that would be compatible  simply said  we don t have that information  we have half a dozen samsung panels in our home but will not purchase any more if this is the lazy support      
