,CommentsStars,CommentsContent
0,2.0,                       while the tent is well made and easy to assemble  it more realistically holds about   people at max  the most disappointing thing was that it clearly says this comes with   horses  see the attached picture   i only received the tent  no ponies      
1,5.0,                       my girlfriend and i just got back from electric forest  it was my first time using this tent  it was super windy and was raining buckets to the point where there were inches of standing water outside the tent  see photo   without even treating it with campdry or any sealant  we were bone dry and cozy in this tent for five days  and we only had the rain fly on and a tarp that covered about half the tent  it is a freaking tank  been camping my whole life and never had a tent this waterproof  it s also super breathable even with the rain fly and a tarp  the little vent near the bottom is a great feature  do yourself a favor and get this tent and a big tarp to go over it  and maybe a drop cloth to protect the bottom  and i promise you ll be dry in any storm  plus  bonus points for being super easy to set up  and tall enough to stand in  can t wait to use this tent again  it s better than any of the more expensive tents i ve ever used tip for getting it back in the bag fold in half longways  then fold in thirds longways  then roll    rain fly just folded a few times and rolled and had no problems getting it all back in the bag      
2,5.0,                       my tent just arrived yesterday  i struggled on what to give this tent for a rating because i just got it   i was thinking about giving it a   for average which seemed fair to start with   but after seeing how it handled the wind without breaking or tearing  i decided to give it a   because it surpassed my expectations   i plan on using this tent quite a bit this summer so i will update my rating and review as i go   i found the assembly instructions to be very basic but adequate   anyone who has put up a tent like this before will have no problem   it took me about    minutes   anyway  i set my tent up in my back yard yesterday to see how it looked and how it took on the elements   my first test was wind   i have a weather station and the average wind speed was   to   mph with gusts up to    mph   the back of the tent was torward the wind and when the gusts would come  the back of the tent would bow it quite a bit   i have read the reviews some people have written and see some have had problems with the poles breaking   this is what i was afraid of as i watched the back of the tent bow in   i wish i had taken a picture because it was substantial   anyway  the poles did not break and the tent returned to it s original form when the gust passed every time   i have seen the video on amazon of the testing process coleman puts their tents through   not sure how much wind this tent is rated for but i m pretty sure    mph is close to it s max   the tent looks to be made very well for the price i paid for it   there are only two guidelines that come off the rain fly on the sides of the tent   the tent is staked down on all four corners of the floor plus a floor vent in the back of the tent   in all  there are only   stake down points that i could see  i feel if the tent had some guidelines higher up on each of the four corners of the main body of the tent it could withstand more wind   the stakes are ok but bend fairly easily if the ground is too hard or you hit a rock when pounding them in   i will be buying some better ones before i go camping   i left the tent up over night and checked on it this morning   it held up very well and only one of the stakes for the rain fly guidelines had twisted in the ground causing the guideline to come loose   i left the tent up because it was going to rain today   i need to know if i have any leaks before i take it out camping   it has been raining lightly for two hours now and my weather station says i m getting     inches of rain an hour with a light steady wind of   to   mph   far from what i would consider a hard rain but it s still rain   i went out and looked at just the outside and the water seems to be beading up and running off the rain fly and tent very well   it is supposed to rain until   or    o clock tonight so i will check for water on the inside in the morning   i m hoping not to see any with such a light rain   if there is  i will definitely be spraying the tent down with a waterproofing spray before i take it out camping   now for the pro s and con s pro s     great tent for the price   if your on a fixed budget or are looking for a good starter tent you will not beat this one     very roomy inside   i plan on using this for two people  a shepherd and  all our gear     there is an eyelet at the top of the tent so you can attach a lantern and two side pockets for stowing smaller needed items like a headlamp  cell phone  keys and  so on     there is a small zipper in the bottom front left side of the tent for running wires   see my picture   it is covered by a little yellow strip of material to protect the zipper from the rain   you do not see this feature on most tents   i plan on using it with my solar panel so i can charge my power core  headlamp  cell phone and  other gear from inside the tent out of direct sunlight     i was surprised at how much give the tent had at    mph gusts and did not break any poles or tear  it bounced right back to it s original form con s     you may want to consider buying stronger tent stakes     i wish there was a high point on each of the four corners for attaching extra guidelines   although it handled    mph gusts very well the tent did bow in quite a bit   if i had to guess  the tent was reduce by almost half it s size  if i was inside the tent i know i would have been annoyed being hit by it every time a gust came  i really don t feel the tent as is  could handle much more then that   i m thinking about how to attach extra guidelines in the corners without effecting the structural stability and elasticity of the tent   make sure you pitch this tent in a sheltered area out of the wind if your expecting bad weather update         i went out the next morning after the light rain and the inside was dry   the following day saw more rain showers with substantially more rain   checked the tent again today and it is still dry   after reading some of the reviews i really thought this tent would leak  because this tent has preformed better then expected i have changed my rating to a five   i am going to seal the seams and spray waterproofing on the tent anyway because i would rather be safe then sorry   for the size and price of this tent you will not find a better deal   just remember to pitch your tent in a sheltered area in you are expecting winds and you will not be disappointed   i think i have figured out a way to put up extra guidelines on each of the four corners so the tent will preform better with heavy gusts of wind   i will test it out and take pictures  more to come that is all for now and there will be more updates coming      
3,5.0,                       great tent  i set it up in my backyard  to give it a trial run  and seam seal  before taking it out camping  there are pros and cons   pros carry bag   the tent comes neatly packed in a carry bag  with tent  poles  rain fly  ground stakes  door mat  and instructions setup   easy  set up by myself  with rain fly  in under    minutes  didn t have to look at the directions  only suggestion would be to put the word  front  somewhere on the rain fly to indicate which way it goes  however  a quick glance at the packaging will tell you materials   the tent material seems to be of good quality  and should hold up well when taken care of  the zippers are not heavy duty  but i see no issues with them  the floor is heavy duty tarp material screens   the tent has large screen panels on the  ceiling   which makes for a great view when the rain fly is not on  there is an additional window  and screen on the door for extra viewing and airflow floor vent   there is a vent near the rear of the tent  which allows for additional airflow cord access   there is a small zippered panel in the front corner  that let s you run an extension cord into the tent other  pros  i got the navy grey tent  and the colors are cool  got some compliments from the neighbors on it  i like that the rain fly comes with the guy lines already attached  the interior gear pockets are fine  good for holding your phone  wouldn t stuff them with anything heavy  there is a little  ring  at the center of the ceiling  to hang a small light  while you could technically fit   queen air mattresses  i would not  it leaves no floor space for gear  i will put in one mattress  and leave the other half of the tent for my kids pack n  play  and gear  it will fit the   of us comfortably  however  unless you intend to get cozy  i wouldn t advise this for   adults  but it could be done  cons stakes   the stakes are just ok   they are the generic skinny steel ones  i would recommend spending an extra     bucks and buy some good ones footprint   the tent doesn t come with a footprint  though i imagine this helps keep the cost so low  not a big deal  i use a tarp anyways door screen   the upper half of the door can be unzipped to reveal the screen window  i really would have liked if the entire door could be screen  not just the top half i also purchased some coleman seam sealer  and sealed all the seams inside the tent  and the rain fly  some of the seams are taped  but it s just good practice to spend the time to do this  no matter what brand cost etc tent you have  it saves headache down the road overall  i m very pleased with the tent  and the cost  it will work well for short camping trips with a small family  couple  or individual      
4,4.0,                       to start  this is a fantastic tent to take the family out for the weekend during warm weather  it is spacious  has plenty of headroom  has an awesome full tarp liner for the bottom  i still recommend placing another ground tarp down before setting up the tent to avoid any rips or tears in the tents bottom  let the cheaper replaceable ground tarp take that beating  if you are going for a multi day float trip this tent couldn t be better  or if you are camping where your car is accessible and weight is not so much of an issue this tent is awesome  and as far as my comment about the weight  its a   person tent  so i cant really complain that much  i acknowledge my bias  i prefer  lb  man tents  thought not nearly as spacious or user friendly  i got this tent because i knew i wanted more room for the dog and to get my girlfriend to actually enjoy camping  but i didn t expect this tent to be this huge  we had more than enough room for the two of us and my dog  lab pointer mix  with plenty of room for our packs this tent will keep you dry  i took this tent on a multi day float trip from missouri down into arkansas  during which time i got rained on and the river even came up to one corner of the tent bottom and not a drop came into the tent if you are an average camper who isn t so much into the long distance backpacking this tent is awesome  seriously  you should just buy it now if you fit in that category now here are my critiques  and my comments for those more adventurous people looking for a tent this is not a cold weather tent  this is also the reason i didn t give it the full   stars  i took this tent out for a trip to the spanish peaks in colorado and camped out multiple nights  it was mid may and we camped at   k ft  the night dropped down to the low    s f and we were freezing  the gusts of wind would run right through this tent  this tent has a big mesh ceiling  a tall ceiling  and a large breathable mesh hole on the back wall  all of this is great for warm environments  however  it does not hold in heat  it expels it  it is too breathable for cold or windy environments for those looking for a winter tent  i am not saying that you want a tent that is totally sealed up  tents that are totally sealed up cause you to sweat and holds in the moisture  moisture is your enemy in below freezing condition  you want something breathable  but you also want to keep in the heat  look for something with a lower ceiling and a rain fly that runs all the way to the ground  including covering up the doors  people use that area for their boots usually   tents that have those types of rain fly s will have slots cut out that you can open to get a small amount of breathability out of the rain fly  with the addition of a rain fly like that i would say that this tent would fully fall into that  rd season they advertise  but without a beefed up rain fly i would argue that this tent is more compatible for summer camping only  this rain fly keeps out the rain exceptionally well  but not so much the wind   i would also advise any backpackers  to take a wool blanket to set as a floor mat  then lay your sleeping pads on that  you will be much warmer and happier      
5,5.0,                       our first tent was an enormous montana   person tent that used   poles and took    minutes to set up properly   our second tent was an instant double hub dome tent that had permanent poles that kept flipping upside down making it impossible to set up    we returned that one    this tent  however  is no nonsense   two poles to put the tent up   one extra pole to hold the rainfly up   we put the tent up in a florida thunderstorm in less than   minutes  we took another   minutes to set the   guy lines   i didn t get the opportunity to spray and seam seal the tent since it was raining  but it did not leak through some very powerful florida rainstorms  except for a few drops around the electrical port zipper   seal that part especially   the tent moved around and shook through some rough ocean wind  but remained intact   the tent is tall enough to stand up in   ft tall  with room for a queen sized air mattress and tons of space for your stuff   we had a cooler  a big box fan  and two pieces of luggage in there with room to spare   i would say it s perfect for   people  comfortable with    claustrophobic with    and you d have to be desperate to fit   or     there is a port for your electrical cord   two pockets are attached inside  and a welcome mat was included taking the tent down was just as simple   just fold in half twice  then fold into thirds and roll up   it fit right into the bag with no problems   easiest tent i ve ever dealt with i d recommend a   x   tarp to go under the tent and a   x   tarp to go over it   there are two huge mesh panels on the top of the tent  which is great for ventilation  but bad for sideways rain that can sneak under the rainfly   i put the tarp longways over these vents and it kept out the sideways rain but there was still plenty of ventilation there is a hook at the top to attach an led light fan it was fantastic for warm hot weather camping   might be too much ventilation for late fall camping  though  unless i can figure out a way of blocking those mesh panels best tent i ve ever owned      
6,5.0,                       i purchased this tent as a last minute replacement when i discovered all our previous tents had problems that were not things i could immediate fix  so since i ve only used this for a weekend camping trip so far  and in ideal weather  i can t answer a lot but here are my opinions on it   how many can fit   kids could probably fit  if you re an experienced camper then you obviously already knew this wouldn t fit   adults  or even teens  but i just feel the need to specify this  realistically though if you re using camping mats that aren t larger than a sleeping and are adults you could squeeze   with room for bags at your feet  cot wise i was using a tenton sports adventurer so with using that as a reference i would say you could squeeze a maximum of   in there with no real aisle space on either side  maybe a leg width    this is assuming you use the end point to enter and leave as well as storing underneath the cots  if you want more elbow room then i wouldn t put more than   in of that size  you could definitely put   of the xxl version of tenton s cot as well and have space for an aisle between in which case with larger cots you could probably fit   couples comfortably if there aren t a million bags to deal with   is set up easy as someone who has grown up camping this is pretty much your standard tent design in terms of set up  i ended up at the campsite well after dark and had a veteran camper along with a friend who doesn t tent camp often for helping me set it up to which it took us less than   minutes to put up  super easy and does not require instructions if you ve ever put up a tent like it before   how is break down last day of the camp out i ended up having to break down the tent alone so it took me maybe more like    minutes but with help it shouldn t take that long at all  i even managed to get it into the bag with space to spare     i folded in half then into  rds and it fit without any struggle with everything rolled up in the tent  still shocked it fit that easily after years of struggling with other tents to fit back into their bags   is there headroom to stand yes  plenty of head room and probably the roomiest tent i have owned to date  i m      and even with a small hanging light i got for the top of the tent i still had an arms reach above worth of room  closer to the walls obviously it s a bit shorter but i did not feel the slightest bit restricted like a normal small tent has   is it warm on a sunny day with it entirely closed it got a tad warm when i checked in on it but with all the ventilation it has built in already it really doesn t get scorching like some tents do if you don t have any windows open  the first night with this tent it actually got pretty chilly and the tent was assuredly not meant for colder nights  with a better sleeping bag rated for colder weather you should be fine though    mine just was very old and not great against the cold anymore   does it hold up to rain i camped in sunny weather  so i cannot personally review it from experience  but i would say this is not a tent that i would knowingly take on a camping trip that will have rain  the only real reason i say this is because the back has this little vent to let air in around head level if you re sleeping on the ground which is great for summer warm weather but as someone that has been in a flooded tent before it just seems like a horrible feature if you re going up against a storm  some reviews claimed this wasn t a problem though so perhaps it isn t as big of an issue as it just appears to be from my perspective at least overall i love this tent  wish it retained heat a bit more  but definitely look forward to using it again on the next camping trip  feel free to ask any further questions i ll try my best to keep on top of replies      
7,5.0,                       good gosh folks   i bought this   man tent due to the low price and the high scoring reviews here at amazon and the reviews are spot on   i had my eye on quite a few other tents at      to      but i have to say this one caught my eye early on because of the reviews   i said   wtf  order it and see how it performs and if it was all a big lie then i m out a measly      note  on the advice of lots of folks here i purchased a small   oz bottle of  coleman seam sealer   available here or at wal mart    the day the tent arrived i set it up outside on my back deck and sealed all the seams and let it dry for about   hours before folding it back up and putting it away pros  this tent is inexpensive  light weight  easy to erect  and does it s job quite well  it assembles in about   to   minutes  if you ve done it once or twice   the instructions are a perfect guide if you cannot remember the   easy steps camping in the rain   so i went on my first camping trip with it this past weekend and i was caught in an off and on torrential downpour from    pm at night through   am the next morning and guess what   i stayed completely dry and slept very well  i did forget to zip the small electrical cord opening shut for the first few hours and the sideways rain got a few drops in there until i realized it and zipped it tight  i left the vent windows open during the entire storm and had zero issues with water tip  be sure to bring a couple of large black trash bags to put the tent into if you have to break camp while it is still raining  that prevented a huge wet mess inside the car when i departed the camp site time will tell if this is a durable product     but so far so good   like      
8,1.0,                       i am vowing to never buy another coleman product  i purchased the   person sun dome tent in       the tent has been used   times  stored in the house so extreme heat has not compromised the integrity  while taking down the tent the shock cord from one support pole broke  leaving the tent useless  i contacted coleman requesting a replacement pole  they refused to replace pole or even offer for me to buy one replacement pole  they recommend i find help at rei     i did so  they also were unable to repair  the tent now is useless as well as coleman customer service  rei commented they have had many complaints of coleman products and customer service  i have spent thousands of dollars throughout my family s camping years  never again  i will search other brands and suggest others do the same  one tent pole would have made one happy camper      
9,1.0,                       i have used this tent twice in the last   months  pros  set up is super fast and easy  and it has a good amount of space  i fit a queen mattress in there with plenty of room for bags  it also has a lot of little features that are useful  doormat  phone holders  zipper in corner to run cables through if you happen to have electric at your site  cons  the first time i used it was for a   night trip where there was light rain once     min  sprinkle  and i didn t notice any leaking  however  this last weekend  the second time i ve used it and it was for   nights  we were hit with heavier rain  no thunder or lightening but on and off heavy rain for about       min intervals  and this tent could not withstand them  water was leaking through the seams and coming through the tent causing it to pool in the corners and got my bed and some of my stuff all wet  my friends and i were also sitting in the tent when it was raining and were getting sprinkled on  i have attached pictures to show how much water was coming through  zoom in to see how much water pooled in the corner   it was definitely coming from the seams which makes me think this might have been a defective tent since other reviews said there s withstood storms  but alas the one i received did not  super disappointed since i really liked the tent for the price  but i guess you get what you pay for and i will probably not use it again in fear of water leaking through      
