,CommentsStars,CommentsContent
0,5.0,                       so the    click  button finally bit me  this came to my doorstep and i had no idea where it came from  my roommate had been asking about a super basic tool kit to be had cheaply  i guess i ordered it while scrolling  i have   full size tool chests  yes  standing ones  full and literally top of the top of the line tools  yet i didn t send this one back  here s why  i use a lot of tools  more even than most professionals  i m a general contractor at work  and a woodworker and gunsmith and all around tinkerer at home why do i recommend this set to anyone who won t desperately miss      because these tools are just under the par of the basic ok big box store regular tools  i ve probably received       tool kits with cheap from china true junk  like the kind that a lot of times won t even get you by in a pinch  this is not that  i would describe these as a perfect homeowners kit  the steel in these tools is impressively hard  particularly in the bit set  i broke  damaged  or generally rendered unusable   screwdrivers in the month of april  the bit set included with this is higher quality and harder than any no name brand you ll find  the allen wrenches are slightly less hard than most of my others  but by design  allen keys aren t going to take on too much damage for a homeowner that sticks to putting together furniture  hanging things  maybe a little appliance work  etc  you can t go wrong here  if you know what you re doing you could even do a bit of light duty mechanic work  add a drill and a saw and you ve got some incredible versatility here this kit is set up to cover as many bases as possible in as little pieces as possible  for instance  instead of including a metric and sae set of sockets  they include the odd sae size that would be the metric  i wish a lot of my more expensive tools would do this  in some cases   same with the allen keys  they don t include a  mm allen key  a common size       is typically too big  but they do include a  mm hex bit which would take its place if you can only have one tool or tool set for twenty bucks  make this one it   you won t be sorry      
1,5.0,                       not high end but why would you expect it for the price  i ve spent years around high end tools and when i moved  i couldn t bring my stocked tool chest with me  i needed something to have handy for when small projects popped up and this set does the job  yeah  eventually i ll upgrade or send my tools across the country but for now  this set suffices  perfect for the weekend warrior  i ve used it to hang my flat screen and to tear apart my ps  to clean it out  a set that doesn t advertise for more than it really is and for that i can respect it      
2,5.0,                       i was looking for a mini tool set to use around the house for a few renovation projects  i looked in the store and online  i came across cartman      piece tool set  i usually use craftsman and i didn t want to waste any money  after researching this  i decided to purchase this tool set  i am glad i bought it  the case is small and can be stored anywhere securely  no worries about anything falling out  it has a basic tool just for about anything you need depending on the work that you are completing  i have used it to tighten up screws  hang boards on the wall  and take apart assemble a faucet  so far so good  i like it  i did not have to spend much on this  it was at a great price  i would recommend this if you are looking for tool kit to get you started or just to have around      
3,1.0,                       my friend picked this out for me bc i m a real girly girly and i have no idea how to build anything  recently single i needed a toolbox but had no idea which one would be good  there are literally so many options  it just made me more confused lol i just needed something simple to build some things around my apt  i was content with my friends choice   this one  even tho i m not a fan of orange i felt like it was a good price for things i would def use  unfortunately when i received my package i opened it to discover a lot of tools were missing   i even had to come back on here to double check it wasn t an error on my part and those items weren t included  but no they shipped me a tool box with missing tools lol i couldn t believe it my first tool box was a fool box lol long story short i sent it back im still waiting for my refund   i still have no tools  disappointed is a understatement      
4,5.0,                       gave this to my daughter and her boyfriend as a house closing gift  it s their first place and  as i told them  it s handy to have a good set of tools for all those little things that come up as a homeowner  it would take time and money to piecemeal together the tools in this set  i know how many times i had to run out to buy a tool to fix a single problem this is a nice sturdy set in a great compact storage case  they should be able to grab the case and find the tool they need to fix most any minor household problem  having so many tools in one case will reduce the number of times you grab a single tool out of box thinking it s what you need to fix something only to find out you need another tool or an additional tool   can you tell that i ve suffered my frustrations doing this more than a few times    the tools seems durable and comfortable to use  we just pulled things out and played around with a bit   over time  they may need to supplement this with heavier duty tools for a project but this should serve them well for years to come i looked at a few sets online and in local stores but for the sheer number and variety of tools in this set  and the price  this was by far  the best value highly recommend this set for your basic household needs  the kids were really pleased to get this  it seems silly but most people get new first time homeowners pretty things  and i will when they finish renovations and move in  but this is a great gift that anyone would be grateful to have when some random thing needs fixing      
5,4.0,                       the choice of tools in this set is really helpful and it is made with good quality material      
6,4.0,                       this  kitchen  tool box works for me  however  i wish it included a small level  i was comparing tools with a level and this cartman with a box cutter  i went for the box cutter and hoped i could  eye ball  the picture hanging  the box the tools are in could use some upgrades and a little better design but it stands between my refrig and wall quite nicely  the tools themselves are quality as cartman always is      
7,4.0,                       i needed a set of tools for minor projects here and there in my college dorm   this toolset works perfectly for that   if you wanted a collection of tools for more serious projects  or for bigger handyman jobs  then you definitely will want something a little more expensive not that this is a big deal  but a little bit of the finish  and i think the metal too  has worn off from both the screwdrivers after using them several times   they still work fine  but i wonder if the ends will become stripped eventually anyway  fantastic value   highly recommended if you need some tools for some minor projects here and there      
8,3.0,                       so this is a mixed review  the set seems pretty well made for the price and is well stocked  i shipped it into my daughters new house in college  we were flying and i did not being tools  in two days i had to build a bed  a chair and a desk  my main tool was the screwdriver  it has a dimpled handle no doubt for grip  however the hard plastic of the dimples really ate up my hands   this is a great set for a quick job and to have laying around  i would look further for my next kid to make sure the handles were easier on the hands      
9,3.0,                       i recently lost my shop in an oregon wildfire   i had spent the last     years accumulating tools and finally got to a point in life where i had the right tool for the job at hand   not anymore because of all the clean up and repair i needed to do on my property i needed a complete set of tools quickly  i chose the cartman     piece toolset   for the money the quality is pretty decent and the selection of tools is exactly what i was looking for my only gripe at this point is the      socket driver doesn t have an adapter to use the smaller sockets  i had to run some      lag bolts and the larger handle on the       driver would have given me more leverage  also the bit drivers break pretty easy under a work load  i ve lost two philips bits already from driving screws      
