,CommentsStars,CommentsContent
0,1.0,                       buyer beware after setting up your treadmill and turning it on  the screen will say  go to ifit com and register to activate   it will appear that you need to sign up for ifit to turn on your treadmill  ifit will ask for your credit card and will start a free trial  after which you will be automatically charged        a month you can get around registering for ifit  but nordictrack does not state this anywhere in the manual and the packaging says you cannot start your treadmill before registering with ifit  this is predatory  and i actually think criminal behavior on the part of nordictrak to get around this scam  hold down the ifit logo on the treadmill for    seconds and your treadmill will work  i hope this helps people from being forced to give out their credit card and personal information      
1,1.0,                       i just got my nordictrack t     treadmill today  i had it professionally installed  the installer told me that it is impossible to activate the machine unless you go online to ifit to register the product  once there the wanted me to give all my personal info  give my credit card information  download their app  and signup for ifit that cost      per year  the installer convinced me to sign up and said i can cancel anytime during the first month for free  feeling like i didn t have a choice i went ahead and signed up  after the installer left i decided to go back in and cancel ifit  first i tried to go to their website to cancel and could not find a link anywhere to cancel  next i tried calling them and got put on hold for    minutes  i finally hung up and decide to try their chat  for the next     hour i kept getting messages saying  thank you for your patience while we connect you with the next available agent   after a half hour of waiting i decided to try the phone again  after being on hold for another half hour i finally got through they told me they prefer i go online to cancel  when i asked them where the link was to do that he said he wasn t sure  i finally got them to cancel over the phone  it only took about   hours all total  i am beginning to think this is a scam and am considering just sending the treadmill back to amazon      
2,4.0,                       i would of given it     if i could  let me start by saying that i am more than satisfied with this treadmill  some people were saying that this treadmill was only good for fast walking or light jogging  this is absolutely inaccurate  the speeds are      and most of the time i can t even go past   for my fast jogging  i also read people saying that you couldn t increase speeds in increments  another inaccuracy  you absolutely can  incline is very good  solid  and responsive  i feel as if people are trying to knock this perfectly solid treadmill to make way for newer models ok  so it doesn t have fans  or tv screen  or a doughnut maker  really people  are you here to get a good workout or watch tv  most of the time i use my phone for music anyway  that way i can have the music blasting in my ear  my basement is perfectly cool for my treadmill and if necessary i could always just put a standing fan in front of it  i agree that the panel speakers suck  use earphones or your stereo  problem solved the cup holders are nice and large to put your keys  watch  socks  if you like running barefooted like an animal  cellphone  or your big gulp drink that you got form   eleven the panel has plenty of options to keep track of all kinds of stuff  honestly i only use time  or distance  but i understand it s cool to have little preset workouts and other options  i might want to keep track of how much lard falls of my body one day with the calorie option i guess my light humor comes from the fact that i got such a great deal for such great quality and competent treadmill          
3,5.0,                       i had a tough time deciding on treadmill  i was looking into the     price range but every time i read a review they said things like  don t try to run on it  so i kept raising the price range until i found one that i was able to find the qualities i was looking for  i wanted something that you could run at least    mph on and had an incline but not a manual one  and also a fold up one because it would have to be placed in the living room  i read a review on this treadmill that convinced me this one was the one  i am     and     lbs  i used to be a runner but then i had kids  between work  kids and making dinner i found little time to exercise  now i am so happy i made the choice of buying this treadmill  this treadmill is well made and sturdy  it does not shake when i run and is easily portable  when it was delivered i had to schedule to be there because it needed to be signed off by the delivery company  they brought it into my house in a very large box  it does take   people to assemble because someone has to hold the console piece while you connect the one wire  it took about    minutes to assemble  my husband did most of it with no difficulties  after plugging into the wall there is a switch at the bottom in the front that turns on the treadmill  the first week i received it i ran    miles with a     mph  no problems so far  i am extremely happy with this purchase      
4,1.0,                       i bought this for my mother  it arrived on time  no issues  i paid for the expert installation  which we had no problems     minutes after the technician left  the thing stopped working  of course i was at work  so when this occurred my mom did not know what to do  she called the tech back and he confirmed he could not figure out why it stopped  later that evening i stopped by my moms house to see what the story was  everything seemed to work except the belt  now i have to call nordictrack and see when they can send someone out  amazon  is pretty good about offering solutions as far as returns i was given   options    call norditrack   have a local repair person fix it  and they would refund me           complete refund on both the unit and shipping  i would assume the   year maintenance plan  i am giving this   star because despite some of the good and bad stories  there should be no reason why this thing should have died i am hoping i get a quick response tomorrow and we can work from there i will update as we go along                updateso it was initially decided that the motor was broken on the machine by the technician who was dispatched about a week later  it took about   weeks to receive another motor  add a few days to dispatch another tech at this point we are talking almost a month since the machine has arrived   i was actually contemplating of just doing a return because it was nearing the time to pay the charge on my credit card   back to the story  so the tech shows up  we have the new motor  and an excited mom  i then find out that its not the motor  but the control panel  again back to square one  another   weeks for delivery  again a couple days to dispatch a technician once the part arrived  tech arrived installed the new control panel and the machine runs  and hasn t had a problem since  its been working with no issues for about   months now  mom is happy  but i m not really sure it was worth it  at this point i can t recommend purchasing this unit through this sales channel  amazon was perfect but i don t know if it is norditrack  the warehouse who holds this equipment  xpo who ships this equipment  the tech who installed this equipment    bottom line    a product was purchased for over      and it didn t work for almost two months from the day the transaction was completed  we weren t given anything for our troubles  yes we weren t told  oh well sorry no refunds  all sales are final   we were offered a refund of      if we decided to let norditrack off the hook and go with a local repair person  but there was nothing saying  we are sorry for what happened  the month and a half that was lost will be on us   the company that failed to delight you as a customer   the only power as a customer is a review  to forewarn others of such an awful experience i work in the customer service industry  so i know how hard it can be to please customers  in this case  the product offer and the services to support it were abysmal sincerely sam k      
5,3.0,              your browser does not support html  video                          great treadmill  gets the job done  i had it assembled via amazon because i didn t want to take any chances on messing it up i will say it super squeaky  i m not sure why  my previous  much cheaper  treadmill didn t squeak  not really sure what to do to remedy this      
6,3.0,                       the machine is great and delivery and set up went very smoothly  however  the claim of a free   year ifit membership is false  after getting the run around from nordictrack and ifit  i called amazon support  here s the deal  the customer pays upfront for the one year ifit membership and then supposedly can cancel a year later and get their money back  to me  that s a      gamble  no thanks       
7,1.0,                       i will start with the main reason why you should not buy this treadmill before going into details nordictrack deceptively makes you believe that the treadmill will not work unless you sign up for their ifit program requiring your credit card and other info  the info on how to bypass is not found anywhere in there manuals  their website  youtube or google  shameful strong arm tactic  after you give them your credit card number then they will tell you to hold down the ifit button for    seconds  i found this out after hours of trying to figure out of how to avoid giving them my credit card number after i signed up  i called the next day to cancel the subscription and was on hold for    minutes before the call was disconnected on their end  the second call   i held for about    minutes before i hung up  the  rd time i called when they first open and held for    minutes before someone picked up extremely disappointed that this is amazon s choice  purchased this treadmill based on the fact that is showed amazon s choice  assembly date had to be rescheduled a couple of times  finally came on a sunday about  pm  assembly guy was a good guy  not his fault  he let me know that the cover to the motor was broken  i am now on hold    minutes and    seconds trying to get a replacement      
8,1.0,                       if i could give it a zero i would  i received this machine defective  it will not work  my husband and i assembled the machine exactly how the instructions stated  its no damn cake walk either  a lot of the parts were built improperly so they did not fit together very well  it took a lot of pressure to get the parts to come together appropriate enough that we could insert the screws  one of the bolts i got was completely welded over the on the head and i could not use it at all  after we got the machine together and went thru the set up process  the machines belt was not moving at all  we called nordic track customer support he said the control board was bad  so we waited a week for parts  replaced the board and went thru the setup and calibration process  still did nothing    called customer service again  now they are saying its the wire leading from the board to the console     which means we have to take the entire machine apart and replace the wire and set it up all over again and to be honest they don t even know if that s it    if it isnt that part they send a different part in the mail  if i want a tech to come out i have to wait till he calls me to schedule a day  the whole process takes a week or two  do this three times and it s just not worth the time and energy  i just paid a lot of money for this machine and here i am rebuilding the whole thing  nordic tracks customer service and warranty is a joke      dont buy from nordik track  here we are with a broken machine due to no fault of our own and no one is willing to get their butts out here to fix it or replace it update  thanks to amazon im able to returm the machine for a full refund  they are sending out their delivery guys to come get the machine  i dont even have to box it back up  thank you amazon            
9,5.0,                       this was my first large treadmill purchase and i was a bit reluctant to purchase such a beast of equipment online without first trying it in a store  to add to the excitement  i decided to opt for basic front door delivery with prime and put this machine together without professional assistance  i ordered the treadmill on a friday afternoon and received the package the following tuesday  it was packaged extraordinarily well and arrived on a wood pallet  this thing is heavy   but my husband and i were able to move it with minimal issues  moving coasters helped    as for putting it together  my husband was able to accomplish this in about an hour and a half by himself  he was surprised at how straightforward the assembly was  although quickly admitted that it was definitely a two person job  once we remembered to put the red magnetic key in the front of the machine  we were in business  this is a very well made piece of equipment that operates beautifully at the highest of inclines and at all available speeds   and it is sturdy  we are very happy with this purchase  thank you amazon and nordictrack      
