,CommentsStars,CommentsContent
0,5.0 ,                       there s nothing less than a five star for this product   i bought it for my wife because of a cousin referral  and let me retell you there s nothing out there that has given me more husband points than this  a little behind the scene  my wife got an allergic reaction on her cheeks  and forehead which started to breakout in her face and no medicine  or antibiotics reduced it  calm it down or took it off   as a husband i can see her frustration everyday with going from a perfect smooth face to this breakout  she used a derma roller together with this product and i kid you not in three days i ve seen so much of it go down  and a big smile coming out   now we know that is a matter of time before it all goes away and her face goes back to baby bum smooth  hahaha    that you truskin  for the fast shipping  and great product     and of course the husband points           
1,5.0 ,                       i truly believe that it s a myth that you have to spend a fortune on skin care to see results   i have tried many different vitamin c serums at all different price points  and i really believe that truskin is the best on the market   my skin looks brighter  feels smoother and i get compliments all the time   although most people think i m much younger  at    i needed something that was really going to make a difference and truskin is just that   don t think twice about ordering a bottle  just do it   you re going to love it      
2,5.0 ,                       man oh  man where do i start  i have been struggling with blemishes and acne for years now and can say that i have tried possibly everything and nothing really gave me the results that i was looking for until i found this baby right here  this basically pure skin love in a bottle  i follow a routine every morning and night and this is apart of my routine of smoothing out my skin and even brightening up the blemmishes that are basically almost completely gone now  i am so happy that i choose this product and look forward to being a long time customer forever  definitely recommended     
3,1.0 ,                       i normally never really leave bad reviews but this serum really just didn t do it for me  i read all of the reviews and was hoping it would work as well for me as it did for everyone else  i m so sad i just finished up my bottle and towards the end i was really realizing it was not having any effect on my skin  but i had bought the serum as a gift before realizing it was no good  i also recommended it to my sister who bought it shortly after me and has also come to the same conclusion that it just doesn t work  i m on day two of the pacifica brand sea salt and vitamin c and i can immediately tell the difference between the two serums this one is working    times better i feel like my face is so soft and smooth and i can also see dark spots literally disappearing  so sorry to say this product does not work     
4,5.0 ,                       i have battled dyshidrotic eczema on my palms for over a year  i have been prescribed topical steroids and specialized lotions  i have tried all kinds of diet adjustments and supplements  most have had minimal effects  i read a review of this product about how the purchaser had smoother hands now after applying the product  i gave it a try and finally my hands have returned to normal  it s taken about a month for my hands to completely heal  if you are are almost out of remedies  give this product a try      
5,5.0 ,                       i m    years old  and i finally realized that taking care of your skin was very important  and meant applying cleanser  toner  a serum  and moisturizer every night  rather than just washing your face with soap in the shower  i never had acne prone skin  or cystic breakouts  but i would have the occasional hormonal flare up that would give me a couple whiteheads on my face  i am also very pale  and am prone to developing red patchiness as the days goes on  when i was browsing serums that could reduce dark spots from a some pimple scars  as well as reduce red patchiness  i came across this brand  and immediately bought it  from the various   star reviews  i knew i had to try it out on my skin  now  a month after i bought it  i am seeing amazing results  sure  it does not magically get rid of your hormonal flare ups  but it does reduce their intensity  and leaves my face bright  refreshed  and clean feeling every morning  i highly recommend this product because i am seeing results  and have been complimented on my great skin recently      
6,5.0 ,                       i wish i did a before and after photo  my skin wasn t terrible  but i had a few problem areas  hyperpigmentation and dark circles under my eyes   i have been using this product for about a week and i can already see a noticeable difference  it did exactly what i wanted it to do  and i can still use my favorite moisturizer on top of it  not from truskin  and not a dig at theirs  i just haven t tried theirs   this serum is definitely worth the     if you have any of the issues i mentioned  you don t need an expensive chemical peel  or whatever else you ve read about      
7,4.0 ,                       update  after being in contact with the seller  they refunded me for the product and sent me a different complimentary item for me to try since this one did not work for me  i will have to see how it feels on my face these next dew days  but the seller was very attentive and made sure i was a happy customer was very excited to try this even though i m skeptical about buying face products from amazon  this is not hydrating at all  i imagined it would be due to the hyaluronic acid  but it actually makes my face feel dry  definitely not buying again      
8,5.0 ,                       i ve been in the market for a good serum for awhile  after trying out a few  including some high end brands that cost me well over      and didn t quite deliver  this will be the serum i stick with  my skin absorbs it really quickly  and i somehow feel as if my moisturizer goes deeper into my skin when i apply it after the serum  i ve noticed a positive change in my skin tone  which used to be patchy and red  but is now much more smooth and clear after having used this serum for about   weeks  also have to make a note about the great customer service   i had a few questions about their product line  and questions were answered personally and directly to my specific questions  i m a very happy customer and am looking forward to trying out the other products in their line      
9,5.0 ,                       as soon as i got the product  i got detailed instructions on how to use it via email  it works perfectly and so far i can already see results with my face looking brighter and more awake  i will definitely be purchasing again since i ve been eyeing vitamin c serum for some time and did not know where to start and saw amazing reviews for this online and here and decided to go with it  i ve only had it for a day and so far my face feels smooth  also feels like it s tight in a good way and i noticed after i slept that my face didnt look tired  i will edit my review later to show other results but so far no issues with this vitamin c serum      
10,1.0 ,                       i have amazing skin  i was looking for something to brighten it  since using it  i have a black line appear on my cheek  i spoke to a dermatologist and they said what ever this serum contained  he reacted poorly with my skin and made it more sensitive to sun damage  not i have to use a skin whitener to correct the damage caused  it made my skin feel so tight and unmovable as if i had elmers clue on my face and it dried   and the packaging was crap      
11,3.0 ,                       i purchased for my daughter who s going through puberty  she has some face and back acne scarring  based on the reviews  i purchased with excitement for her she has been using this once a day everyday for over a month  no changes  so far  i feel this is a sham  it doesn t work at all starting today we are going to start doing it  x a day and i ll post an update at the end of this month  dec update     after posting my original review  customer service reached out and offered me a refund or their vitamin c cleanser to use in conjunction with this  after about two weeks of using the vitamin c cleanser  i noticed her face acne scars have lightened a bit  she said she doesn t see much of a difference  but i do  she continues to use both products every night before going to bed and it seems to be working  to me   i ll post before and current pics soon  no matter the outcome  i am very pleased with the customer care provided  they respond to all my emails and concerns  they do what they say they will do and never asked me to post a positive review  like many others have  if these products work for my daughter s back acne scars  omg  i will post another update and i will not be able to sing their praises enough  they are very nice  responsive and understanding  i pray  this work so i don t have to deal with anyone else        
