,CommentsStars,CommentsContent
0,1.0,                       not a real hanes shirt   i can t believe this  i wear a lot of t shirt as soon as i open it i knew right away it s fake  it also doesn t feel like hanes t shirt     
1,3.0,                       i ve brought many products by this manufacture before  and they tend to run large  for for some reason this product initially fit nicely  but once it was washed it size reduced to be uncomfortable      
2,5.0,                       i generally wouldn t bother writing a review for plain  white t shirts but i was pleasantly surprised that these were a bit thicker and nicer material than i was expecting   we have other versions of this t shirt bought at a box store and the material isn t the same   so here i am writing a review for plain  white t shirts   these are nice   not sure why they would be different  but they are      
3,5.0,                       the last few years  i ve been disappointed with the hanes t shirts i bought  apparently  due to increased price of cotton  so they thinned down the fabric  and also painted the label on  what the heck is wrong with a standard label   it shows me instantly which side of the t shirt i have    but these latest t shirts are great  thicker fabric  fits fine  regular old label again      
4,5.0,                       i purchased these t shirts with the hope of a comfortable fitting t  shirt  no advertising or messaging  these stylish t shirts are exactly what i was looking for at a very reasonable price  i will undoubtedly purchase more of these tees in the future      
5,1.0,                       super weird fit  i bought these for the gym and i got xl so i can reach above head without uncovering my out of shape belly  well if you re looking for a square fit with arms that are cut way too low and taper weird  then you might like these  the sleeves start so low on the side and taper in a way that makes all this extra material bunch up under my arm  right in the sweaty part  it s bizarre  also  they are square after they shrink  def not long enough for how wide they are  not to mention that as soon as i start to sweat  they get all saggy and look terrible  i don t write reviews that often  but these were so bad  i felt compelled to      
6,3.0,                       not the original comfortsoft line  but still good      cotton shirts  made in haiti  tear away tag is a non issue  despite former shirts being tagless  they do attract some lint  but nothing substantial  there is nothing wrong with them  especially considering the price  they appear to be genuine hanes   i found them here after seeing stores near me no longer carried them  perhaps this is why      
7,4.0,                       my husband needed black undershirts and they re cheaper online than in stores  my husband always wears hanes white undershirts the only problem with these shirts is they re really thick   i would want my undershirt to be thinner since it s an undershirt   i didn t want layers to keep my husband balmy at work   other than that  they re fine      
8,5.0,                       here in new england  wearing layers of clothing is essential  but white t shirts stand out and  in my opinion  look unsightly under an open necked shirt   these shirts by haynes are perfect  they fit good  give extra warmth  and look terrific   they are a deep  rich  stylish dark grey which go nicely with every color   they complement what you re wearing   there s a tag in the back which doesn t bother me in the least  but i hear some people don t like tags   i really don t see how you could go wrong with these t shirts  they re ideal      
9,5.0,                       i am currently in nursing school and needed shirts that matched my scrubs   these were perfect   my favorite part about these shirts is the fact that they breathe and don t overheat me   i tend to get hotter faster than others  but these kept me cool as a cucumber for my   hour clinical rotations      
10,5.0,                       shirt is the right size  i did go one size larger than normal  but i think all shirts are that way now   comfortable and look nice     
11,1.0,                       these t shirts arrived in a clear plastic bag  the tags were not hanes official logo  and hanes t shirts do not have a tag on the inside bottom of there t shirts  do not waste your time buying  don t why amazon doesn t believe there are a lot of cheater and scammers in this world      
12,5.0,                       the shirts are very durable and fit great  i am about        lbs and they fit perfect  not too tight or too loose  i wouldn t say they are  really soft  they have a more durable feel  most shirts that are really soft usually feel cheaply made  these do not  definitely recommend if you are just looking for a simple black shirt      
13,1.0,                       these shirts are either not comfort soft products or the comfort soft brand is now junk  these do not have the packaging or the tags that you receive in a store and are not the same quality  not even close  they are rough and not comfortable at all  only explanation is that they are knock off products and not actually being sold by hanes     
14,2.0,                       quality is sufficiently good  but they are way too small for  large  tee shirts  in other brands i always order large and the fit is perfect  but large with these hanes tee shirts is too small  like  muscle  shirts  also too tight under the arms      
15,1.0,                       purchased these for my fiance for work     they definitely were not hanes  were not cotton  shirt says made in the dominican republic and      cotton  have purchased the same type in store and the fabric is way different and softer  also  it stated  tagless  and came with tags  had to rip them off    so many red flags that these were not hanes brand shirts  will not be purchasing again     
16,5.0,                       everything is great at this price  sizing  color choices  quality of the stitching and guess what  they all fit the same  nuff said      
17,3.0,                       there was nothing really wrong but the medium was larger than expected while the large was smaller they are are course material  but i feel like that is the standard feel for new cotton it was also stranger how all the shirts were made in different countries and after seeing other reviews i decided to return them prior to washing      
18,1.0,                       very rough  not cotton  the details of the product on the website  doesn t match the real product  i ordered a pack of   black ones  they come with a plastic hanes tag  no any description about the fabric  doesn t feel like cotton  i  was planning to  return but the location to return the product is far so am i make a donation to a charity      
19,5.0,                       bought some t shirts  non name brand that were too short and too thin   i was happy to receive these which were just perfect   nice quality and excellent fit   laundered with no shrinkage  too      
20,2.0,                       i needed a bunch of new shirts for a new job and for the price  the quality of the shirts are sadly what you get  the quality is bad and just gets worse with each wear and wash  but given how price  i feel i can t really complain  just know what you are getting into with the price  something that will last for a short quick fix  but shouldn t be sought as a long time fix to a work shirt issue  honestly for the price though  i can see myself going back to get more once mine are done      
21,5.0,                       i get these to sleep in  so  i get the extra large shirts  i m      and the are about mid thigh   a little shrinkage when washed  would purchase more when needed  i m a   yo lady and comfort is everything      
