,CommentsStars,CommentsContent
0,5.0,                       this is exactly what i wanted for a long time  that would tell me to getup and walk when i have been sitting for too long  that would stop me from overdoing the exercises when my heart rate goes up too high  that can even monitor my sleep and breathing  has a fair battery life  for me one charge every other day  comfortable to wear  has some pre designed exercises that it walks you through and teaches you the proper form and duration sets  overall very well worth a buy      
1,1.0,                       i bought this watch in may  it worked for one month and wouldn t charge or turn on anymore  sent it back to samsung and they wanted to charge me      to fix it  they said the waterproof watch had water damage and not covered under warranty  i ll never buy a samsung product again  waste if           
2,5.0,                       this watch works well  i would like to see it have a second timer ability so i could use it when teaching my yoga classes and time each side to the same length of holds  but for my own personal fitness tracking it works really well  i notices when i am exercising if i forget to input or begin a workout  it reminds me to get up if i have been sitting too long  i can t seem to get used to wearing it while i sleep so i don t use it for sleep tracking      
3,5.0,                          december       review for the galaxy watch active  with a galaxy s  phonethis watch is holding up nicely   no issues  the battery life has not been an issue at all   i ve left the watch in my purse for up to two days and the watch s battery was still providing power   this is a lovely watch and a smart purchase    november       review for the galaxy watch active  utilized with a galaxy s  phonefirst  i want to mention  the aqua black color is exactly that   i was hoping for a black watch but this watch is a dark blue  had i realized that  i d have gotten a different color but i can t mark the watch down for my mistake   just know the aqua black is really a dark blue color   aside from this  the watch is beautiful  easy to set up  and works great   in   hours my watch has drained from      to     battery life   i don t feel that this is very good battery life   i have not been heavily utilizing the watch or using it to control anything   the watch is connect to my phone via bluetooth and receiving a few notifications but nothing over the top   the watch does have some nice watch faces that are classic and look great  the band was easy to take off to install a different band   there are some nice features this watch has   overall  i am happy with my purchase   i plan to review again in the future with battery life and how the watch holds up      
4,5.0,                    es un maravilloso accesorio para tu tel fono y un gran compa ero si te interesa hacer deporte y der mas productivo  mide con presici n gran variedad de actividades f sicas y llev  un seguimiento de tu ritmo card aco  su dise o es muy bonito con cuerpo en aluminio y una pantalla espectacular  te permite contestar llamadas por medio de los parlantes y microfono integrado del reloj los cuales para ser sincero me sorprendieron por su calidad  tambien te permite responder mensajes por medio de dictado por voz o una intuitiva y amigable interfaz selectora de letras  sus correas de serie son muy buenas a primera vista se ven y sienten de excelente calidad  tiene varios sensores y entre ellos estan sensor de frecuencia card aca  giroscopio y tiene capasidad para hacer un ecg en ciertas regiones del mundo  tiene varias caratulas y fondos de reloj que permiten ver diferentes cosas dependiendo de tus intereses  en caso de tener un samsung galaxy este es tu reloj ideal aunque tiene conectividad con practicamente todo android y iphone  aqunque tienes que descargar la app propia de samsung  el unico inconveniente es la bater a que aunque esta bastante bien  llegando hasta los   dias y medio de uso y es algo similar a lo que encontramos en su competencia el apple watch series    no es la mejor y aveces con ciertas aplicaciones no bien optimizadas la bateria se drena aun mas r pido  sientro que esto lo podrian mejorar en verciones de actualizaci n futura o en proximos modelos del reloj         
5,4.0,                       i work in a nursing home  so washing hands is a must  and having a watch that is water resistance is a must  the galaxy watch active   is great when it comes to water resistance features  a water lock for locking the screen to not worrying about wrist calling someone or sending some message to a random contact  the ability to control music while walking or jogging is a good feature  oh  getting notifications on the wrist makes it easier not to pull the phone out the watch has made it easier to maintain a productive and active work day  the watch also provides daily briefings to provide updates on your day i have not tried the sleep tracking feature much  however  i have given the heartbeat a try  and i have to say it seems to be decent with the tracking  i wouldn t go so far to say it is       but close to     i would recommend this watch to anyone who is active  productive  or both      
6,5.0,                       love this watch  i recently swapped over from iphone to android and was missing having a smart watch  overwhelmed by the large assortment of brands out there for androids i was hesitant on which ones were actually good quality  struck gold here  i love the watch  its comfortable to wear and i love the design of the straps  the tutorial makes learning how to use your new watch super easy  i ve only had it for a few weeks but i m in love  and the battery life is amazing       
7,3.0,                       fit  finish  form   fantastic software   not great if you have an android phone that isn t made by samsung  tizen works best with a samsung phone and some of the great apps aren t available to a non samsung user ecg   not without a samsung phonev   max   not without a samsung phonethreaded texting   not without a samsung phonei therefore returned it despite the great price i got on prime day and intend to try out wearos so if you have a samsung phone i highly recommend this or the galaxy watch        
8,5.0,                       i am really enjoying this  and it s my first smart watch  i got it for the sleep tracking as well as stress checker  reminders and calendar  it is so cool all this watch can do  syncs up with my phone  lets me read and send texts and show off pictures of my cats  easy to set reminders and calendar events i didn t think the alarm would wake me up since it s quiet and i usually set my alarms max loud and obnoxious  but it does  very useful when you and your partner keep different hours and you don t want to wake each other up the customizable faces are a lot of fun  can be as creative as i want      
9,3.0,                       i really wanted to love this watch    i put in a lot of thought into the watch i was going to purchase  one of the main things that i wanted was the sleep tracker  i have had nothing but trouble with the sleep tracker on this watch  i kept thinking that maybe it was me  i have to clean the back of the watch and shut the watch off and turn it back on every night in order for the sleep tracker to work and then it doesn t work every time  everything else seems to work fine on it  regretfully  i don t think i would purchase this again  just shy of      is a lot to pay for something that doesn t work the way it should      
