,CommentsStars,CommentsContent
0,1.0,                       i tested the ph of icelandic water  the result is same as my house tap water  around ph    but the advertisements tell us the ph is      at the same time  i also tested the ph of avian  the color is even darker than icelandic s and they only mark the ph         
1,5.0,                       initially i was hesitant about this product and actually did not initially rate it well but i gave it a second chance and the very next day i drank more of this water than i ever have any other  i have now drank this water for an entire week and just feel amazing   the taste is pure and neutral  you don t taste anything  it s water   i used to drink evian and fiji on the regular  but i have drank other high ph waters for many years but none of them were as easy to drink and tasted as neutral as this water  i ve now also subscribed to this deliver because when i worked out the current price  it came out to only       per bottle u s  dollars which is insane for water this good and high quality  normally i pay            for other brands in the   liter size category in this ph category of spring water as well  i gave it a chance and i drink way more water now than i have which was what i really needed to do for my health   oh and unlike some reviews you see on amazon now  this is not paid for sponsored  i never get paid or approached for any reviews  so this is just me loving this product       
2,5.0,                       this is quality water and very affordable  during my mothers chemo treatment i started buying the ph water in our local stores  then looked on amazon to see if i could get a better price  i read a lot of the reviews and looked at my cost per oz  and found icelandic glacial water  the water has a nice taste and smooth texture  very pleasant to drink cold or at room temp  as i stated above  i started having my    yr old mother drink ph water during her rounds of chemo  we can tell a tremendous difference in her stamina  little to no nausea and her hair has thinned but not falling out  she has chemo every   wks and comes home with the neulasta onpro  so she is having very strong treatments  i am amazed how much this water is making a difference in her skin color  stamina and over all well being  three variables that have made the difference  pray  chemo and the ph balance water      
3,5.0,                       as someone who has been to iceland and was given a tour of the icelandic glacial water facility where they bottle this water  and has seen the source of the water  i can assure you there is no false advertising with them  it is bottled at the source and they keep their facility so clean that we had to be covered from top to bottom before beginning the tour  they make their own bottles and it is directly from the source  so much so that their bottling process is designed so that the water is never exposed to the open air until someone buys a bottle and opens it for the first time  if you shake up a bottle of dasani and shake up a bottle of icelandic glacial water you ll see and taste the difference i ve been drinking this water for     years and won t have any other bottled water in my fridge  not many stores near us sell this water so it is nice to have the option to order it by the case here      
4,5.0,                       ok i know its a bit  exotic  and the marketing will be the first thing someone criticizes  i suffer from a life long gastrointestinal immune disorder  acidity is a byproduct problem and admittingly i m not as disciplined as i should be with my diet  i tried this    ph water as a recommendation and i have to say it helps me a lot  i was so skeptical  when i make coffee i use it  normally coffee for me is not a great idea  but to beat fatigue i have to go for it  when i do  i brew my own and use this water  again i m not one to be a nut about any food  especially since i ve been told by the best doctors there is no one diet that can  fix  me  but this water helps  i swear by it  i have made it a habit to use this water at least when i first wake up and go to bed  i have seen my usage of proton inhibitors drop from daily to     times a week and sometimes   for   or more weeks since i started using this  i believe it is assisting my gi tract with digestion  or at least reducing acidity without aggravating the already overactive nervous system  evidence for that for me would be simply drinking something more acidic  when i do  an increase in flair ups is guaranteed  i try to balance a slightly acidic meal or liquid with this and well   i feel better  in addition  this water tastes amazingly clean  anyone i ve given it to  without explanation they love it  so for me worth the cost      
5,5.0,                       this is my favorite water but unfortunately it is way over priced here on amazon  i was able to get a couple of the   liter cases of    for        each once but since then it never dips below     and is mostly     and up  these smaller     milliliter    count cases are outrageously priced      and change is just way too much  i finally settled on fiji water at sam s club that runs     a case for    of the      oz  bottles  you an occasionally catch them on sale cheaper than that at sam s too  amazon has the fiji     liter bottle case of    for     which is a good deal if you are ok with the large size  but back to icelandic  it is hands down the best tasting water and it tests out really good on tds and akalinity  only buy when you can find it reasonably priced and that just doesn t seem to be in amazon s plans  look elsewhere for icelandic unless you just have the     to afford it      
6,1.0,                       i ordered   cases of the plastic bottles from amazon  i have always purchased the glass bottles but thought i would try the less expensive plastic bottles  there should be a warning that this product can cause kidney damage if consumed in plastic bottles  this product gave my family the worse back pain ever  we found out that it was our kidney s and to stop drinking the water  after reading in several blogs that the plastic icelandic uses is one of the worse on the market for plastic microfiber contamination by the world health organization  who   i usually purchase   cases of    glass bottles       each and never had a problem  but this is unbelievable   these bottles are killing your customers and the environment amazon is only allowing one refund  and will not take the opened or unopened box back  i literally have to waste product and my money      
7,5.0,                       excellent  excellent water  i just wish it was more affordable  has a crisp clean taste and best of all it is a high ph and fluoride free      
8,1.0,                       i have an auto immune condition   higher ph is better for me than lower   was excited to receive this   tested it as soon as i got it   registered at         that isn t good for anybody   at the very least it should be    i have no idea what went wrong   plastic  heat   light  nevertheless  save your money and your back   ordering a case is not a good idea unless your a  weight lifter    very heavy  returned for a refund      
9,5.0,                       doesn t have a funky minerally water taste  taste very refreshing  enough minerals that you can tell it s not crappy re filtered tap water   the bottles are bpa free  so if they are shipped in a hot truck  you re not gonna end up tasting the plastic in your water either    just all over amazing water  i ve bought it twice already  my daughter and i can t get enough  and i usually can t get her to drink water at all       
