,CommentsStars,CommentsContent
0,1.0,                       i put this on the very smooth wall  it fell off the wall a few days later and stick on velcro was ruined so no way to rehang this  it s also slightly warped as i did add some strong magnets to back of it   the week in it won t let it lay flat enough to stick to the fridge  very disappointed in this product      
1,4.0,                       it s the perfect size for what i needed   just keeping some notes about some studio projects   the back is cardboard  so not the highest quality  but was appropriate for the price   the first board arrived damaged  dent from having something dropped on it  but amazon replaced it quickly and all is well      
2,5.0,                       i use this for doing math  chemistry  and biology problems without going through a bunch of paper  it is the perfect size for working out most problems without having to erase for space  i bought expo dry erase markers  cleaner  and an eraser to use with this pros   easy to clean  does not stain if you use better markers  i suggest not using the one it comes with   easy to hang  although i chose not to   does not show any signs of falling apart or breakingcons   if you use the attached marker and eraser  it does tend to get a bit cloudy looking and stained  so you would have to clean it with water more often      
3,2.0,                       overall it s a okay little marker board  when i got it  it was all dented up and there was two what looked to be like deep scratches to the point  you could see the sliver  this was definitely not for shipping  if i had time to wait around for another one i would have requested another one  but seeing how this one was late to beginning with  i would rather just not deal with the hassle  pictures are included of the damage      
4,4.0,                       the manufacturer claims that there is no ghosting  it may be the dry markers that i am using but  a stain remains when i erase what i had written      
5,3.0,                       for the price i can t gripe too much  but it does not have hanger options  only velcro  so you are limited as the where you can put it it is okay for sticking  via velcro on the refrigerator  but   it should have a loop at the top and side to hang it on a nail  and a fold out leg stand like some table top picture frames have   after all  what do they think we re going to do with it   fridge only      
6,3.0,                       i m really disappointed in the consistency with this white board  i bought   of these for our in home classroom  one is great  it comes clean nicely  no matter how long the marker writing stays on the board the other one  however  will not come clean no matter how much elbow grease i put into it  with soap and water  and lots of pressure  i can eventually get it somewhat clean  but you can still see the remains of the previous writing i m so frustrated with this      
7,3.0,                       i bought these to post information about our day for my    y o husban and my    y o dad  thee boards won t stay on the wall and are very flimsy  i am very disappointed  the boards are now just propped on their dressers  not what i wanted      
8,5.0,              your browser does not support html  video                          love the board  dislike the marker that comes with it  see my video review to see it in use      
9,5.0,                       i never mounted mine i used it for practice problems in my college classes  let me say for this use it was perfect just the right size and so sturdy  i used many different colors of dry erase markers on this board also and when erasing none of the color lingered behind like how it does sometimes  even with red  dark blue  and green   i was super sturdy and durable and i still love using it to use as a reminder board or practice problems in my other classes  would      recommend      
10,5.0,                       i didn t like the idea of sticking something on my cabinet  so i chose to use command picture hanging method  it worked well  i already had them so it wasn t an additional purchase  so far i haven t had a problem erasing  i got the  x    it fits inside the cabinet next to the calendar  not so many darn post it notes now john s wife     
11,2.0,                       title of the product misleading  i was looking for a dry erase board that could magnetically attach to my metal door and  magnetic dry erase board  i though would fit my needs  if you read the last paragraph in the description you see what it means is that it comes with just a small magnet for you to attach notes to the dry erase    it s a dry erase board  write the note on the board    the board itself actually uses small velcro patches to attach to whatever       
12,3.0,                       unfortunately competitor prefail under failure from all x  pens on both white boards  therefore  i llike the pen magnet and eraser which is useless without the pen writing capability itself  tks anyway     
13,5.0,                       i use this every single day when i teach esl classes online to chinese kids   i write on it with whiteboard markers and also stick magnetized  d props on it to help explain the meaning of a word or concept   works great for me  i plan on ordering a few more      
14,5.0,                       i bought this because my daughter kept having math equations that she needed to solve on video for online learning  this was perfect size for her to handle and worked great      
15,5.0,                       i love the u brands contempo magnetic dry erase board   it s adhesive properties appear to be just that  it sticks without help of external magnets   the mounting magnet strips were easy to apply and so far haven t come loose from the fridge   perfect price  perfect adhesion and perfect sturdiness   this one is a keeper if you know what i mean      
16,3.0,                       i originally got it for my dorm  and when it was time to take things down  the stickiness of the adhesive took part of the wall with it  bummed about that  thankfully didn t get fined  once i moved the whiteboard to my desk  the frame started falling off  i will say that this white board is good for the price and gets the job done  just be careful about the mounting process  a hairdryer to melt the glue i found works      
17,4.0,                       easy to write on and erase   we bought four   x   for our office for notes  collaboration and paper reduction  they were damaged free and work well   the plastic edges won t provide much protection if dropped  the only part i was disappointed with is they come with foam adhesives to hang but no bracket attached or holes on the back to hang      
18,5.0,                       there were no magnetic strips to mount it   had to use my own magnets   yet package said easy mounting  ugh      
19,5.0,                       daughter needed it for school  much sturdier than i expected   magnetic was a bonus  writes nicely and the perfect size   great value for the price  would buy again      
20,3.0,                       i grabbed   of these  cheaper than target so why not   seems pretty cut and dry   nope  these are very cheaply made  the pen clip pops off  the board doesn t erase as others do  it s very flimsy   not pleased with this purchase at all   even at the low price i got it   waste      
21,5.0,                       next to the freezer to organize what s usually a massive chaos of food in a chest freezer  it s always so hard to find things in those types of freezers so we just taking inventory and then mark it off as we use it      
22,5.0,                       we re using this as a visual behavior daily tasks board for our son with asd  with the schools shutting down and his routine completely messed up he needed a visual board to help him      
23,5.0,                       i got this to use while doing my computer science homework  it is great  because it fits in my backpack so i can take it to computer lab too  comes in very handy  i did get a bigger  regular sized eraser to use with it  because if you are constantly writing all over the board the pen eraser gets mucked up  overall  just what i needed      
24,1.0,                       not at all what was advertised  first off  mine didn t come with a marker  there is no way to hang this thing on a wall without a little diy  magnet is cheap as heck for something that looks like it came from a dollar stores discount aisle  don t buy this piece of junk if you need it for work asap like i did  also  i can t add pictures to this for some reason   i can t even get a refund or return this damn thing      
25,5.0,                       i wanted a dry erase board to keep by my computer and desk  this is the perfect size for me  i ve also been pleased because it erases quite well  the marker works nicely  its quite lightweight  easy to hold in your lap too while writing something      
26,1.0,                       had to return this item because the very first use show it to be defective and of very poor quality  i used expo dry erase markers on the board just after it arrived  when i went to erase the board with a dry paper towel  the marks would only erase     and the surface material began bubbling up even with a gentle wipe  i dampened the cloth lightly  i cared about this board lasting me quite awhile  and pressed a little harder  the surface covering bubble more and even tore and the marks did not go away  i appreciated the fast  sturdy shipping  but the product is of very poor quality and was unusable from the very first dry erase streak   disappointed      
27,3.0,                       while i haven t used it yet  i assume the whiteboard itself will work as expected  my problem is the board is warped so much that the adhesive strips barely make contact with the wall  and it kept falling down until i finally took it down  if you re looking for a small whiteboard to carry around in an office to make diagrams or lists  this will probably work  if you re planning to mount it like i was  it may not serve that purpose as well      
28,1.0,                       i bought this for my fridge door  it comes with velcro for hanging so if i want it on my fridge i need to buy adhesive magnets for the back  if     
29,3.0,                       quality doesn t seem to be the best  in the beginning it s perfect but after you erase a few times it becomes blurry and you need to keep cleaning it with a spray and a paper towel      
30,5.0,                       the teacher asks kids to write answers to math problems on a whiteboard to show to her in class  the school provided a coated cardboard surface that quickly collected old marks that could not be erased   in contrast  this board erases cleanly every time  and the included marker writes smoothly    it works as well as expo ones  perhaps even a bit better   the built in eraser on the marker is convenient      
31,5.0,                       i bought this for my home classroom during quarantine  it s a great board  i like the marker holder but it only works with their marker  not the standard dry erase marker  other than that it s perfect     
32,3.0,                       shipping fast  but it was dirty when i received it  but the package wasn t damaged     
33,5.0,                       so i brought the one with the   x    the actual white board size is   x    the frame of each side was   inch  but it was still bigger than expected  it s prolly because the price was cheap  everything was nice except i didn t like the color of the magnet  i was expecting it to be white or sum like shown in the picture  but i can deal with it i guess  it s nice for the price  and you can use it as a clipboard too by the help of the magnet  i didn t wanna hang it up because i want to hold it when i m doing those math problems  sigh     
34,4.0,                       i bought this white board to use for writing down garment measurements for my poshmark listings   i just dot down the measurements  snap a photo of them  and then upload that photo as part of my listing   saves me a lot of time  and this whiteboard is the perfect size for my needs   i had to take off one star because the board doesn t wipe completely clean without some real elbow grease   but other than that  it s great for my purpose   and the marker it came with has plenty of ink  so that was a bonus      
35,3.0,                       very cheap price and works great  except product description is intentionally misleading  maybe because shared between   different products    this has nothing magnetic  even though it says magnet like   x  it s worthless velcro  the smaller board has magnetic attachmentd  it s a great deal  but the pen thing was bent and doesn t stay on  i wanted a magnet  the velcro doesn t work  but the board and marker are great  total steal for the price      
36,2.0,                       i bought this for my son  because he needed a whiteboard for class to help with online learning  the white plastic border that holds the board and its backing immediately fell apart  and are a continuous hassle to put back together  it s a huge distraction for my son when he s trying to write down math problems and the dang thing keeps falling apart with the slightest nudge  i m usually pretty generous with my reviews  but this is unacceptable pros are that it comes with a marker  and that the board does what it s supposed to to with regards to erasing cleanly etc      
37,3.0,                       these are ok  my kids are rough on this but even so this should have lasted longer than   week before the end breaking off  they still function  but don t look great  the marker it comes with is junk  buy your own      
38,3.0,                       i didn t like it when i first bought it the marker wouldn t completely erase off the board so it made it look so ugly but i realized that when i used other markers they worked just fine so i think it s the marker that comes with it is no good so i just use other markers i didn t feel like returning it and my daughter uses it for her chore list     
39,5.0,                       bought this for taking the gre online  since they don t let you use scrap paper it s small enough that it s not unwieldy  but big enough that you don t have to erase for every question      
40,4.0,                       i purchased this white board to better track work projects    i needed something that was large enough to track multiple projects with numerous sub steps but still portable  this board was perfect   i would recommend a better marker    it is a little hard to write clearly and the eraser just doesn t cut it  the magnetic portion is simply some tape  i wish it was built into the white board itself  still for the price the white board perfectly fit the bill      
41,3.0,                       this dry erase board is  ok  and only because it was less than     if you erase fresh ink  then it s fine  but if you wrote on it an hour ago  it will not erase at all  i had to get a rag dipped in alcohol to remove all marks that we were written earlier in the day  which is not practical at all it s not the marker  because i tried that on a different board and it erased fine hours later  i ve also tried better quality markers on this board and even they wouldn t erase after an hour  since most people are not erasing as soon as they write something  i d say this is more like a  wet erase board  than anything  i would not recommend this board      
42,1.0,                       the whiteboard came completely warped and didn t hang flat  so the sticky parts wouldn t touch the surface on two corners  also  just  be aware that this does not have magnets on the back  my fault for not reading the description closer  i was looking for something to hang on my fridge      
43,3.0,                       the board is bent slightly making it impossible to go on a fridge straight and stay on    there are stickies on the back   not magnets  so that part is mis advertising  bought additional magnetic tape  even then the shape of the board is defected and the board would not stay  i threw away the packaging  otherwise would return  flimsy product  i guess  you get what you pay for      
44,5.0,                       needed a small ish white board for daily notes and such  works great for what i need it for      
45,1.0,                       it s definitely cheap  it s not even when laid on a flat surface and the marker doesn t just wipe away  it smudges and you have to use a wet cloth to actually get the marks off  even when you have just barely written something  it still doesn t come off very well      
46,5.0,                       cheap dry erase boards quickly become tracked with ink in the pores of the board   this dry erase board has remained in excellent condition and it is used daily   very smooth surface  reasonably sturdy  and a couple of extra double sided tape holds it to the mounting surface securely   price is more than some but it has been worth every penny because of the top quality   highly recommended      
47,3.0,                       it holds up alright  but the included marker and eraser will often not erase cleanly  and will leave streaks  so be sure to use a wet cloth to clean it every once in a while  to keep it clear  the marker is quite alright  and lasts a long time  i like that it clicks into the side of the whiteboard      
48,1.0,                       the term  magnetic  led me to believe this would stick to my fridge using magnets right  nope  this uses adhesive to stick to the fridge wall which  to be fair  adhesive is most likely more sturdy than magnets  however  i don t want to use adhesive on my fridge due to residue  i also like to be able to move my white board around  which i cannot easily do with adhesive           
49,1.0,                       these dry erase board are good for kids while doing virtual learning  they are sturdy  the only bad thing is that once the plastic cover that does around the board falls off you can t put it back on  then the corners of the board can hurt you  you would have to somehow bend the corners so they don t poke thru      
50,5.0,                       this has been great and really helpful during online schooling  it is small enough that my daughter can hold it during her online class and hold it up for people to see  it is lightweight  but large enough for her to have fun drawing      
51,5.0,                       this has really helped keep our food shopping streamlined  it is not cheap looking   we take a picture before we head out and voila  simplification  no more guessing what we may have and what we may need      
52,5.0,                       white board is a great size  i use this this to write my weekly schedule out for my family so they don t ask me    times a day about what i m doing the next day  and this is perfect for that  it s the perfect size for all the days of the week to fit on and give me enough space to add notes and such  the velcro strips that come with is aren t the best for adhering as they ve popped off my door a couple times but it s fine the next time it happens i ll probably just buy some command strips  the market that comes with is works great      
53,4.0,                       my son needed this for distance learning   thank gosh we found this just in time for school  the marker works great   my favorite part is the sturdy eraser nub  it s stiff and not flimsy like others we have had in the past  the only thing is that he did drop the board and it dented      
