,CommentsStars,CommentsContent
0,1.0 ,                       biggest pile of tech garbage in recent memory   this product is a total fail   i bought this to try and get slightly better signal to one of my ring floodlight cameras   placed approximately    feet away from the camera on the opposite side of the garage wall my ring gets no connectivity with this extender yet connects and works almost perfectly connected directly to my router which is   walls away inside the house and all the way through the garage   embarrassing to say the least   returning for a refund and will just continue to use the connection to my router      
1,2.0 ,                       not really sure how this device works  but it seemed to slow the other traffic that were using the wireless router  also  i bought    and the bandwidth and security wap version was different  using it  insecure network messages for the wifi were observed on one of the devices  i configured them the same as well  it must have been an older device   but they looked the same  both devices i updated the firmware  and made sure my configuration wasn t to blame  no matter what  one of the devices wouldn t work as secure   wpa     vs wpa      in the end  they didn t boost our network speeds  nor improved the communication with the router   family didn t want to use them  so bit of a waste        
2,5.0 ,                       provides great coverage in my apartment  my router is about    feet away from my back room  which is an absolute dead zone  this extender fixed that completely  i also like that the extender can use the same passwords as your router s   very handy if you can t be asked to create a whole new key the price is reasonable  and i was able to recieve it next day  i could not recommend this product enough      
3,2.0 ,                       do not buy this  initially this worked great  after a little trouble setting it up i had a solid month of great performance  i slowly began to realize the issues  however as soon after a month i had to restart the device around   times a week in order to get connected  and just recently i completely lost functionality with the    ghz band  i can not connect to it with my ps   laptop or cellphone  i researched the problem and found no solid solution  only outraged customers on their support page who have not received ample help  i have tried updating it as well  i am currently attempting to return this product and buying an asus product   netgear s competitors update  looked in to returning  and who knew it would stop working just days after the warranty period is up  anyone else have the same issue  please do not buy this      
4,4.0 ,                       installation with the included step by step instructions was very straightforward and easy to understand   ghz range is weak through walls but great for line of sight applications  can also be used as an access point which gives this device great flexibility  firmware settings allow you to choose which frequency to extend and which frequencies to use as backhaul to the router  my wifi connection was inconsistent before using this range extender  now it is very stable and maintains close to my previous max speeds of     mbps  i wish netgear explained how to orient the antennas because that could help optimize the signal strength  as well as if both antennas transmit     and   ghz or if each antenna is dedicated to a frequency band      
5,1.0 ,                       this has been completely awful for me as a working product  it was a hassle to set up and took three attempts  changing nothing in my method all three times  i followed the instructions perfectly and on my third attempt  it finally took i had it plugged in about     from my router after setting it all up and it was awful and it made my existing wifi network even slower  for those of you that don t know   this device creates another network to connect to  for us  connecting to it is pointless  it has helped with nothing and then  netflix and other streaming services struggled and constantly buffered  even when i used an ethernet cable directly from my router to my smart tv  as soon as i unplug the extender   everything works fine again and the speed is back to normal  this product has done completely opposite of what it is supposed to do  it made matters worse and it s been thrown in our junk drawer      
6,5.0 ,                       real simple to set up to my rotten router  it s the service avaible in my area  you see   after a prolonged battle with myprovider i shall not name  wish   their techs found yes indeed there was a repair  two sets of techs    days later   the final guy said  buy yourself an extender and don t bother paying more  than what i did  for it   so   simple set up online  there s a free app to monitor  check wifi performance  still do not get perfection  but it s the area  from experience i well know the other main provider is actually worse to deal with      
7,5.0 ,                       this device was just what i was looking for and i was happy that since i have a netgear wifi router  the device is also netgear   i had just built a new deck in the backyard and plugged in my google mini speaker and noticed it has some latency and short stops like buffering     this solved the issue   setup was done in same room as my router  then unplugged and plugged back in at rear bedroom and i did have a new wifi network name for the new device but same password as the main router      
8,5.0 ,                       i found it easy to set up  just follow the directions and be patient i m amazed that people couldn t figure out how to set it up  i m not gonna type out what i think of those folks  their intelligence  or lack of it s easy to set up  it might take two tried to connect to your router  make sure you wait until all lights are solid green  if it doesn t connect within a millisecond  relax and wait a full second  sheesh the thing works really well for me      
9,4.0 ,                       in general  this extender was not too difficult to setup   i tried using the wps setup several times at different ranges  mostly in the same room where the router is with no success   used the web browser setup  results were flaky  with the unit showing as having an unsecured    ghz line and a secured  ghz line   since setting up a wifi door bell  this wouldn t work out   so  reset the extender  placed within   foot of the router  and tried the wps setup again   this time worked perfectly  with both     and  ghz lines functioning  passwords correct for the ext connections   don t assume won t work  try different positions      
10,3.0 ,                       the instructions that come with the device have nothing to do with how one should set this device up  the standard way is to find the device your smart phone  the iphone will send you to the set the extender up but you must plug in the device and follow the start up directions  but going to mywifiext net won t get you there  netgear you need to revise you complicated and incorrect directions customer service was helpful  it just took too long to set something up that should have been much simpler      
11,2.0 ,                       i was excited to get an extender as my modem router wifi router combo unit could only be located in one room in our house  which was on one side of the house and not central to the rooms we would be needing wifi coverage we have several devices in our home to utilize wifi  including our phones  appletv  smart plug devices  cameras  and more  so needless to say  the bandwidth requirements may have decent demand during peak times of the day  but it s not above normal usage i m writing this review to update you all with my experience after   months of ownership  the first six months the product has worked as advertised  it was easy to install  and also easy to pair with my isp modem  the indicator lights on the extender work well and are clearly visible  i installed the device in the most central part of our home  and was still within    feet of our modem router wi fi router combo unit  installing the extender confirmed it had very good signal strength from the modem up until now the extender has served its purpose adequately  with the occasional hiccups that required a phone  laptop  or media device to reconnect to the extender  today  all of my devices are experiencing slower network speeds  and more frequent interruptions and disconnects  realizing netgear offered a    day warranty on their product  i should ve known prior to purchase that this would last that long  this was a regrettable purchase  and i encourage shoppers to look elsewhere for their wifi coverage solutions      
12,1.0 ,                       i bought this to extend my wifi range for my outdoor cameras   it worked ok i thought  but periodically my    gz network would stop working   i thought it was my router   i went through   routers until i found out what it was   my latest router is a medialink ac      they have great support and helped me figure out that this extender was using half the bandwidth of the    gz network  so instead of extending my range it was breaking it   i finally just unplugged this and magically my    gz network is working great   though my camera that is furthest away has small issues still   they suggested a power line extender   i will try that and see what happens   i guess this cheap extender is the old adage  you get what you pay for      
13,5.0 ,                       this has totally changed my wifi strength  i have my router on the lower level of the house  i have ps  and a computer on the lower level    computers on the upper level and   cell phones  the house is about      sq ft   before the extender the   computers internet was sooooooo sluggish  i just installed the wifi extender and now i have full bars on all devices  a must have        
14,5.0 ,                       omg this is great   we wanted to purchase one from verizon  but then we saw this device for a fraction of the price  we decided to give it a try  and i m happy we did       recommended by a very picky customer      
15,2.0 ,                       last week  i bought a new wifi range extender ac    because i almost used netgear for my home network such as wgr    and c       set up netgear router and modem were very easy  they have been works very smooth and very safe  now it s make me very sad when i waste   days tried to set up  wifi range extender ac      it s very very hard  to set up   at first   i added mac address of ac    in the access list of my cable modem router  after i  connected  ac     then i found   stranges mac addresses that automatic add in the access list of modem router  they have not show the name  it s only mac address    a little bit worry but i still be keep the strange mac addresses in my modem router  i  think  may be the ac    created the strange mac addresses     the ac    wifi connect to the router easy and fast but never  get the internet service   all wireless devices  such as kindle fire  hd  some roku  tv  iphone    and laptops   all them can not get the internet service by wifi range extender ac       i tried one by one    i am very tired then i tried the last chance that i called to the netgear tech support  two india technicians  lady and man  didn t  help me anything  it s very sad when the man technician blamed me that he can not help me because language communication  although i almost done exactly his requests  at the end  he gave me the support case number             i really want to use the full set of netgear device but it s very hard  belief  the most important thing that i lost after i called the netgear tech support  i should be return this product  i am very satisfy with netgear modem router so  i hope the other netgear products should be good and easy to use like that  thanks at first  i m appreciate amazon service to exchange the same product ac     then i tried to set up netgear extender ac     i am very surprise the second exchange product that took only ten hours to ship to my home  i am always satisfy with amazon service thanks i tried the second netgear range extender ac     everything happened same the first one  the most important i found  that this product do not open the router signal the light off  if the base  modem router turn on the access control  although i  added the mac of ac    into the access list  if the router signal of ac    works the internet speed  is very very slow   i m so very sad but i have to return all the netgear range extender ac    one more times  i m appreciated  to amazon service        
16,5.0 ,                       this was easy to setup and the connection was easier  i prefer this to the cheaper no name brand that i bought that always seems to be trying to connect to someplace even when i don t have any devices trying to connect     which always made me worried  unlike the cheaper extender  this one has a website that you can use which makes tech support better  i didn t review tech support because i did not need it      
17,5.0 ,                       i was expecting a powerful extender due to others reviews but i was impressed on how easy it was to configure  i have a att home base and wifi signal is weak  but with the ac    now signal reach the lower part of the house and all without lan cable  after initial power up  with a few steps it was transmitting a powerfull wifi signal  all buttons are designed for easy access  even without instructions manual you can understand what the button or light signal is for  i m very happy with the investment  i purchased a second and will install it with cat  cable to a home office  i will update how it goes  i recommend this unit      
18,1.0 ,                       i tried multiple times to connect via my wps   and it would not work   the extender was very close to the router   since that did not work  i attempted to link it via the web  and that also wouldn t work   the web address provided in the instructions did not work   then the link i was directed to wouldn t even open   could not find the site horrible instructions and bad experience   i won t be getting another netgear item      
19,3.0 ,                       netgear used to be solid  quality  consumer grade hardware but has been lackluster in recent experiences   one of my small business clients has gone through three routers in a year  not a power issue   no other devices have had issues  and i ve been experiencing substandard performance with this small range extender   the room in which the device is installed is approximately     from the router  netgear r      and signal doesn t get through reliably without an extender   i ve lately been noticing facetime call drops that appear to be on my end  and i have occasional video buffering  youtube  amazon instant video  netflix    there are iphones  ipads  and an xbox one that are on wifi  but only the xbox is streaming video   the other devices are simply surfing the web   victony seems to have good equipment   i probably should ve gone that route  but the netgear was a little cheaper      
20,5.0 ,                       our internet coverage is spotty at best within our home   thought i d give the netgear ac    a shot after reading the positive reviews   let me say    it works   followed the setup instructions and then placed it in the center point of our house on the first floor   wifi is not not an issue at all   my kids have great signal strength on the second floor and now we even have a strong signal on our porch   something we never had before   great product      
21,3.0 ,                       this is weird as i had to return the product   i had needed it only to extend the signal for some exterior wifi security cameras and it wasn t working with that   turns out not compatible with my security camera brand   i hadn t known that on the initial purchase  i contacted tech support on amazon and they verified this doesn t work with my brand and we arranged a return and identified the product i do need  which i hadn t found via my search  so tech support invaluable here    so can t verify anything except the wifi connection was done easily  as i have a wps button  but the device connection never worked for me      
22,5.0 ,                       i chose this unit over the amazon recommended ex     because of its dual band capability  i opened and plugged the adapter and it took me about   minutes flat to have it up and running  extremely easy to set up  and the wifi signal throughout my house has increased tremendously  the only thing to keep in mind is that this is an extender  not a repeater   so i went from having two signals on my network   g    g  to having four   g ext and  g ext   what this really means is that you have to set up every network separately in your devices  you can even have four different passwords      
23,4.0 ,                       i needed something to boost my signal and this fit the bill   it s easy to set up and connection is simple   i live in an old house and my cable modem router is set up at one end   the signal in my bedrooms upstairs was very limited   i installed this in a room in the front of the house on the first level and it helped   my smart tv upstairs wasn t getting a wifi signal before and this allowed me to use netflix without issues so far   i do notice from time to time that the lights on the device indicate it s lost connection to the router  but it doesn t seem to affect the signal for the tv   it definitely helps and is worth the money      
24,1.0 ,                       i bought this extender thinking it was a good company to deal with  i was very wrong  it is claimed to be plug and play  not for me  it wasn t  i called what i thought was tech support  what it boiled down to be was a scam  at first  it was going to be           for   years support   then the price was going to for three years of support  finally  i was told   for one year the charge to connect me was             is this how a business is to be run  i am not a vy happy with amazon or netgear      
25,2.0 ,                       worked well for first   months   then  x often it would perform poorly and required a reboot   after that  i got it on a daily reboot  wifi plug    that worked for   months  now it requires  x per day reboot   with mixed results   as you can tell i have been patient  buying a different one  interestingly  my wifi ap is a netgear     that works very reliably      
26,5.0 ,                       we changed cable providers and now all of are computers are wireless  my husband s had been hard wired in the past  so with the new provider he felt like the signal was slower as the wi fi box is now on the lower level instead of in his office i really did not want to change cable providers again  as we are satisfied  and paying much less  than we were with our previous service  i thought that a range extender may help out as alexa was also having difficulty getting a good signal it was easy to set up and now my hubby s computer is much quicker loading  also  alexa is not having difficulty  so we are all happy          
