,CommentsStars,CommentsContent
0,4.0,                       great brush for helping to style curls  i make sure to use a wet brush first to detangle  i would not recommend this brush for detangling  only for styling      
1,1.0,                       these are fakes  bristles broke within   months      
2,5.0,                       i first bought the small   row brush which is all black but it seemed to be for a child s hand so i had to return it   i recently bought this brush and it is perfect and perfect size for my hand     rows are all i need   great definition   get yours      
3,5.0,                       i wanted to love it but alas the brush made no difference for my  b c hair and that despite studying many youtube videos     
4,5.0,                       my biracial granddaughter requested it and after she used it she said it was amazing before it was hard to get a brush through her hair but this one glides so easily      
5,5.0,                       i ve had this brush for over   years and it has transformed my hair care process  i am african american with very thick and long natural hair  detangling my hair was a nightmare before this brush  this really gets the job done and it has held up beautifully over the years  i am purchasing another one after someone else used mine and caused one row of bristles to retract  i could probably fix it but i figure it s time for a new brush after   years  it still looks and works great after all that time  it fully set angles my hair with no pain or snags    i always use it on wet slippery hair and i don t recommend detangling dry hair      
6,5.0,                       great help defining my curls  i do not really detangle much with it  i do love this brush      is pricey but i love it and it s working for my curls      
7,5.0,                       great brush use bi weekly as a detangle brush and i have little to no hair loss     
8,5.0,                       love this brush for even distribution of styling products in my curly hair  i use a different brush to derange after showering and this one after applying my curly hair products into very small sections of hair at a time  this was a great purchase that i wish i had made years ago      
9,1.0,                       used for my hair after the shower  before blowdrying  untangled my hair pulling away from my scalp to create volume created too much frizz  even with anti frizz products  curls would lose their shape my hair has different sections of curls   a in the front   c on the sides near my ears  and  b everywhere else finger detangling works better for me because i know where my curl patterns are would not buy again      
10,5.0,                       ignore the other comments  this is the real deal   i just ordered this in        amazon must have updated their source of where they buy it from  this product was directly from denman and it is durable and perfect and exactly the product that is shown with excellent quality and packaging  manes by mell sent me here  love it      
11,4.0,                       this is a good brush for creating a nice curl pattern after strangling  this did not work well to detangle my hair  i had to use a wide tooth comb before using this  i heard others say they removed some rows of teeth for better detangling  i have not figured out how to do this      
12,5.0,                       i modified my brush and my hair loss is minimum   i have  c hair and until now had huge problems detangling   i tried with   rows which i loved for product spreading   with   rows it still spreads my products great  now i have perfect tension      
13,5.0,                       i use this to do the loc method leaving conditioner  oil and cream from my hair   i love the brush because it didn t fall apart in my hand like other demi  brushes      
14,5.0,                       brings curls to a great definition     
15,3.0,                       the brush does what is supposed to do but you should expect to buy another one in about     months  if you use it daily      
16,5.0,                       packaging was good  brush is great      
17,5.0,                       easy to modify bristles  i removed   and it was perfect for my fine curly hair     
