,CommentsStars,CommentsContent
0,1.0,                       i have been very dissatisfied with this watch  the first one i was sent didn t work straight out of the box  amazon sent me a replacement without any hassle  but i have worn it since november    months ago  and it is already losing battery power in one day  far cry from the     day battery life promised by the advertisement      
1,2.0,                       this is pretty disappointing  doesn t detect my heart beat  doesn t track my sleep  doesn t recognize when i m asleep  and i ve tried everything they suggest in their website  i ve placed it loosely  tight  above the wrist bone  below it  i ve even placed the sensor on the back of my wrist hoping it d detect my pulse but no  only here and there it catches it  on top of that  their app doesn t sync with apple health  and if you want it to  you have to buy third party apps that cost crazy amounts i will be returning unless they offer me a better solution      
2,5.0,                       just got my new fitbit charge   about a week ago   so far  so good   a little bit of a learning curve i had a charge   for the last   years   the charge   is a little different   one of the reasons i got this was because of the gps built into to the watch w o having to use your phone   i also love that it is water resistant so you can swim  shower etc w o having to remove it   so i am very happy with these updated features   everything else is pretty good too   but  i will update my review after i have had it a bit longer      
3,3.0,                       this device works well some days and then is highly inaccurate other days   today  says i did seven flights of stairs when i have actually done none   the reminder doesn t work consistently  especially when i m working on the computer   seems to think i m sleeping even though it s the middle of the day   steps seem to be quite accurate   heart rate is not very accurate  although  i m in atrial fibrillation a great deal of the time so it seems to have trouble counting my heart beat   i have a pulse oximeter  so i know it s recording my heart rate sometimes    beats per minute lower than it really is   good luck with daylight savings time changes   it s now telling me my heart rate and steps an hour in the future even though the time on the watch is correct   if you re looking to this device to monitor your health you might want to rethink getting this device      
4,1.0,                       don t buy the fitbit charge    the gps accuracy is terrible  the attached screenshots show my tracks in strava based on the fitbit charge   and the google pixel   phone  as you can see  when i used the pixel   phone the gps accuracy is much higher resulting in a more consistent and more true track  the fitbit charge   produces incorrect results  just spend another couple hundred and get a garmin instead  the gps will actually be accurate      
5,2.0,                       worked pretty good  every now and then it would stop sending me my notifications from my phone  i d have to unpair it and add it again  then last week it just fell off my wrist  one side of the band disconnected from the screen part  now today it has done the same thing  but a piece of it broke off with it and cant be fixed  i m out      now  thanks fitbit      
6,2.0,                       wildly inaccurate   i bought the charge   because it made it in a lot of the  best of  lists  on sites that   surprise   get paid if you click the links  but was immediately disappointed   if you just want something cheap to wear on your wrist to possibly motivate you to exercise  it s fine   if you want something to give you an accurate picture of the things you re tracking  go with a polar or garmin or apple watch i compared the charge   against a good chest strap hrm and caught the charge off by as much as    bpm   often times i would check it and it wouldn t even be reading my heart rate   and yes  i tried adjusting position and tightness the touchscreen and the  back  button on the charge   are both clumsy and unresponsive  especially if your fingers are wet from  you know  sweat   the interface is  imo  ugly and not intuitive the app is polished and shiny  which is why people like it  but there s not a whole lot of substance to it   data sync to apps like myfitnesspal is dismal the one thing the charge   has going for it is that it s relatively cheap  but for another       bucks you can get a tracker from better brands that is way more accurate and packed with way more useful features      
7,3.0,                       i formerly had a charge   which was simple to use  after it wore out  my decision to replace it with a charge   was motivated by the  activity minutes  feature  i do not use the gps function on the watch as i always have my cel phone with me   the charge   is very awkward to use  it requires swiping left right  up down and tapping the face and tapping the side  some activities  such as weight lifting no longer show up  the application does not seem to allow the user to find out how many activity minutes they have logged during each day  only the amount for the current day  their may be ways to access this information but who wants to spend hours trying to figure out counter intuitive controls and application  this is frustrating to the point i am considering to replace this new monitor with a different brand      
8,2.0,                       i am updating my review to downgrade from   to   stars   the reminder to move seems buggy   for example  it worked just fine until i changed the notification setting for only weekdays   now i get no notifications   the o  levels while sleeping worked just fine until i was outside my return window   now it doesn t work   not a huge deal but now i don t know if my charge   has a defective sensor or if there s another reason   i find the fitbit troubleshooting to be lacking for this specific issue but appears that maybe only now available with premium   i am going to try the free premium to see if this corrects the issue but honestly  i am not thrilled that something worked and now doesn t   overall  i can t recommend until these buggy issues are resolved my original review i wanted an upgrade from my fitbit zip and bought the charge   after some research   first  i got it on sale for about    less than the current list price   i like the reminders to move every hour  this can be shut off but i think it helps to not remain desk bound for too long   i really like the sleep tracking if for no other reason than to remind myself to go to bed on time   i have some work to do in this area  step tracking is ok and seems consistent for my normal dog walk routes but random steps get added just by moving my arm i like that it comes with two band sizes   although i think for me the large has too much extra and the small feels like it could have another notch or two to be perfect while i like that it has gps tracking  i don t find it to be all that accurate   for example  when using the bicycling mode  distances that i know through other tracking such as mapmyride or my car odometer are just way off through this app  it even randomly stops tracking in portions of my ride    my mph are off too  it is not easy to pause the activity which is why it seems i ve gone much slower than i actually have   gps also drains the battery like crazy   i don t think this feature is a significant advantage over my current mapmyride app so i probably won t use it much speaking of the battery   i like that it can charge in my usb port on computer   it doesn t charge when plugged in a wall charger apparently  which i find strange    and because this fitbit charge   has made me ocd  it really bugs me that the battery never seems to reach      charged   it stays at     forever   i am overall happy with it and might even go for the free trial of the fitbit premium app just to see what i m missing   i hope the battery lasts a good long time      
9,3.0,                       there are reviews you read about tech and you re like  that s      user error  but battery life  across this many reviews  is      not user error  a   hour run or walk regularly drains my battery       i cannot count the number of times i ve gone out with a battery about half full and the fitbit is dead before i m even    minutes in  this is probably the  th fitbit i ve purchased for the family  my  rd  and this is also the worst  i m tempted to go back to my charge    so disappointing      
