,CommentsStars,CommentsContent
0,1.0,                       when i first opened it it looked fine but then i went to turn it on and it took like an hour to even get it on  after that i went to charge the phone and it says it s on   percent all the time and when i have it on the charger it doesn t do anything and i ve tried with   chargers  i m debating on whether i should pay to fix it or just return the phone because it s so impractical and doesn t work even close to right      
1,5.0,                       to begin   my seller was chubbiestech  the phone arrived two days early in the amazonrenewed box  included was a charger  cord  screen protector  and sim tool  the phone itself was pristine  absolutely spotless  zero scratches  dents  or marks  and it has     of it s battery capacity  the phone functions perfectly  it arrived in such a condition that i would have thought it was a brand new phone straight from the apple store   i had been reading some of the concerning negative reviews and decided to purchase this phone  i do not regret it one bit  i am very pleased      
2,5.0,                       very pleased with the quality and condition of the phone   a few scratches around the top of the phone  by my case covers them  my phone even arrived a day earlier than expected   even with a hurricane looming  my new phone was easy to set up and it have all of the info from my old phone transferred  would definitely recommend this seller  the even included a screen protector      
3,5.0,                       i like the reliability of the apple cell phone   the fingerprint reader is a time saver and is safer than passwords  battery life so for good     
4,5.0,                       so far  all is good  set up wand transfer went smoothly and phone is operating well   it was in great shape      
5,2.0,                       loved the red  hated low battery life  apple recommends replacement       approx      fee  no ear phones        walmart  i m having problems with the finger print recongination feature  fat fingers  poor reader abilites  i ll have to return the phone if my teck  can t fix this  phone returned     
6,5.0,                       as the title says  works as well as the iphone    replaced it because i thought a problem was hardware related  turned out it wasn t   do like the expanded    gb memory over the    gb memory of the   because i can have my entire music library onboard  use music  podcasts  calendar  all of it  signing in to my account  the phone filled with all my apps and data  honestly don t notice it s much faster with updated chip and i seldom use the camera  so newer features don t make a significant difference to me but bottom line is is works as well as i m used to  will use it until i upgrade to iphone    when that comes out  so i can be ready for  g when it really it deployed and working  most places have little to no  g  regardless of what the ads say       
7,5.0,                       i had a great experience with this purchase thus far  after reading some reviews about possible issues i was concerned and contacted seller  they responded quickly       min  with multiple questions i had and related information about the t mobile only iphone i had purchased and made me feel very comforable with the purchase  a  customer service was my experience and the phone is in great shape for  renewed   will update if needed  with phone and network carriers it pays to do a little homework sometimes      
8,5.0,                       yes the shutter sound can t be turned off but by just using live mode to take photos that is resolved  the phone was for my wife and she likes the shutter sound  who knows why   so zero problem either way  phone arrived indistinguishable from new  shiny and scratch free  setup was easy  sim card from old phone worked perfectly  charged extremely fast and battery seems to last a long time  we added the extended warranty  a    gb phone for less than      can t be beat      
9,1.0,                       i got this with international shipping to south africa  the packaging seemed really secured  and still  i received a half cracked home button on this phone  i m highly doubtful it was due to shipment damage  this was meant to be a gift so i m very very disappointed  the post clearly stated that the phone was  professionally inspected  tested  and cleaned to work and look like new    i provided some images but my old phone doesn t have the best camera quality  if you re looking for a seller who keeps their promises  this is not the place to purchase from  i don t recommend at all      
10,5.0,                       i was so nervous about ordering a refurbished iphone off amazon but this was worth the money  i ve had the phone for about a week now and i have no complaints  cosmetically  there were a few scratches by the power button and on the lower left portion of the screen but i put on a case and glass screen protector so you can t even see the scratches anymore  my phone came with     battery health remaining  my t mobile sim card booted up just fine and i had no issues with creating getting the phone set up  would recommend      
11,5.0,                       i ordered the fully unlocked version  when it came in the mail it was in new condition  no scratches or dings  and it came with the charger and tool to get my sim card out  we have a plan with verizon  i was able to take out my sim from my old iphone and put it in this one and it turned on and loaded all my stuff with zero issues  my phone is working fine and the battery life is just as good if not better than my last phone  so far no bugs or glitches  i m very happy with my purchase  there were a lot of mixed reviews so i was skeptical on buying it but i m glad i did  plus it came with an amazon backed warranty so if one came defective i didn t feel like i would loose my money  my advice would be to pay close attention to your selection when adding the phone to your cart for service options and when in doubt go for the fully unlocked version      
12,1.0,                       so embarrassing  i bought this phone for my daughter s birthday and it turn on for few minutes and then shut off and never came back on end up buying a new one for just      dollars more  with all the warranties  and i had to pay for the return      
13,1.0,                       i received an iphone   that was purchased as an upgrade for my sons   th birthday this phone is listed as fully unlocked on amazon when we tried to activate it through our phone service they were unable to do so because the phone is said to be listed with a carrier already  now we have a phone that while it appears to look great does not work for our service provider so does us no good    how disappointing to have purchased this as a gift only to have to turn around and tell someone it s not able to be activated  i don t know how well it works because i cannot even activate it      
14,5.0,                    bien good       
15,5.0,                       we haven t had any problems with this phone  it looks and works great  had an old phone and needed more memory  shipment was quick and well packaged      
16,5.0,                       this was shipped very quickly   the phone performs well   it was the replacement for the fatally damaged iphone   which my son had become very fond of   glad i made this replacement purchase   price was right      
17,1.0,                       if i could give this product a zero i would  ordered this phone once and the front camera didn t work  decided to return it and replace it with another phone from this same vendor  big mistake   the second phone s front camera doesn t work either  clearly they do not quality check their products before they send them out  don t waste your time and money      
18,5.0,                       i bought the iphone        it looked like new when i received it  it did not come in the original iphone box  it came in a cardboard box with the plug in to charge it and the little metal piece for sim card  it worked great in every aspect except that i noticed the sound quality was not as good as my iphone  s  the sound was more  tinny  sound  probably not noticeable to others  but it was for me  i don t know if it was a defect or how the iphone   was made  it just startled me when i would use it for an alarm clock playing music  i did not have any problem at all returning the iphone  the package came with a card that had their phone number and email address  backed by amazon  there is a    day warranty and i turned it back in shortly before the    days was up  when i spoke with the customer service  they were really nice and just wanted to know what was wrong with the iphone  i was sent an email with the return label and i sent it back with no problem and got a full refund  even though the phone did not work out for me  i would still recommend this company because of their great service and following through with what they say they will do      
19,1.0,                       the phone could text and call but could not connect to cellular data  defective and not as described and now i don t have a phone for     days until i can get this replaced      
20,3.0,                       it had scratches on the phone   but it was my daughters birthday present   did not feel like returning it   the charging port and cable were not apple  but i think it mentioned that   the phone was just inside the box   no wrapping whatsoever  phone is good i guess overall     
21,5.0,                       excellent condition  like new  arrived promptly everything works apart from fingerprint function but i had the same problem with my last one  maybe i just don t have good enough fingerprints      
22,1.0,                       i should have known better  as soon as i tried to turn the phone on to set it up  there were problems  the phone was not responding to charging or me pressing the home power buttons i finally got it to turn on and assumed it was just a freak occurence  i was mistaken  and began to set up the phone  the phone kept resetting itself or shutting down completely throughout the night  again  i blamed it the amount of data i was transferring from my old phone   mistaken again i used the phone for a few days  and it reset or shut down probably an average of   times a day  sometimes the phone would freeze completely and become unresponsive to any buttons  touching  or even my attempts to force it to shut down  i would just have to leave it alone for an hour or until it reset itself again i ended up returning the phone  and asked to exchange it for one that worked  the company faied to do so and sent me a refund instead  now i am without a phone right before the holidays and must scramble to find a new one  i will not be buying this phone ever again and i recommend that you don t either      
23,4.0,                       phone arrived in good condition and given as a gift to grandson grandson was disappointed as charger and cord received was too generic and charging was not too quick  maybe you could send a better charger and cord in order to improve your image to your customers  hope you can do something about it battery is being monitored at this time  hopefully  there will be no issues next month and so on will be posting whatever issues we might have in the coming months thanks for your attention teresa b july           sunday there are other issues found on this iphone    camera flickers and makes noise    someone else s email is showing on the phone    very slow in applications    clicking when trying to use video in view of these issues  the iphone was not properly refurbished and it is very very disappointing the iphone has to be replaced  please let me know how to send it back  if not  just refund the money thanks teresa b      
