,CommentsStars,CommentsContent
0,5.0 ,                       this phone came in perfect condition  i got my husband a red one and i got myself a yellow one   we are definitely satisfied       we upgraded from iphone  s and were in love with the cameras  they re great for taking our product pictures since we work through our phones  there wasn t a single scratch on either of them   they arrived within   days from purchasing      
1,5.0 ,                       for its price it s absolutely worth it  due note that the battery s do not come at      mine came at    which is totally fine  apart from that there are super minor damage making the devices like new and i will happily be using this for the upcoming years upgrading from a    would recommend      
2,4.0 ,                       the phone works perfectly  my complaint is that it didn t come with the headphones and the charger is not the an original for iphones     
3,1.0 ,                       it said fully unlocked but then further down the page after comparisons when it says product description  you find it is not fully unlocked  not compatible with verizon which is what i have     
4,5.0 ,                       this is a great phone   looks brand new  runs very well  the camera quality is amazing  i would for sure but from this seller     
5,5.0 ,                       just what i needed for my teenager  she wanted a newer iphone   almost        which no way in h   i was going to spend that money   so i looked on amazon and came across this iphone xr  read the reviews  thought about it for a little and decided to give it a try  the one part that convinced me was the price and most importantly that the purchase was backed up with amazon purchase and returns so received it yesterday  fully unlocked  no scratches or dents  screen was in perfect shape  came with the charger and it was just like any brand new purchased phone i had a previous sim card  called metro by tmobile and transferred altransferredl the info to the new iphone and vuala  i gad a fully working iphone for less than       my goal  and didn t even needed to go to the store to activate so  overall on my personal opinion with no benefits or paying me for review  this was a great purchase      
6,5.0 ,                       was really unsure about ordering but i took one for the team and i wasn t disappointed  honestly i had a hard time connecting it but that was a me problem not with the phone  it looks new tbh  only thing that was a little scratched up is where the charger goes but it wasn t like omg this looks horrible  battery life is at      came with a screen protector  a charger and cube not apple but worked fine      
7,1.0 ,                       i ordered this phone on december first and it is now the     it was supposed to get here on the  th now the    is supposed to be the latest  i am kissed and i hope it comes in     
8,5.0 ,              your browser does not support html  video                          my phone came in brand new i say it doesn t even look refurbished  battery life came in at     very surprising  so far the phone has been working great am very happy with my purchase  although it did arrive   days late but i m not complaining      
9,5.0 ,                       great buy  my son is very happy  everything is working great now  not one scratch or crack on it  looks like new  even came with a screen protector on it  came very fast     days without prime      
10,1.0 ,                       el tel fono      visualmente pero ya al usarlo innumerables problemas desde que se apaga solo  no carga  se recalienta al punto que te pide que le bajes la temperatura  el faceid no vale  la se al se va  etc muchos problemas  no vale la pena      
11,5.0 ,                       i got the iphoe xr from electro wireless  the phone works perfectly but the screen has alot of scratches when i applied the screen protector it made bubbles      
12,1.0 ,                       could not get it to work  screen would go purple  the whole phone would crash  and it would get stuck in a reset loop  absolutely unusable  utter garbage  cannot even get it repaired      
13,5.0 ,                       okay so this literally the best phone  i love it so much   my mom got it for me as a birthday gift and it works amazing   don t even get me started on the camera quality  especially on snapchat    i highly recommend             
14,5.0 ,                       easy to switch over to my current number     
15,3.0 ,                       i paid    gb now that the phone is activated it only shows   gigabytes not a happy camper     
16,5.0 ,                       my daughter loved it  works great      
17,1.0 ,                       this cellphone worked when i turned it on at first but the next day  the screen got blacked and blurred  i m so mad that the product wasn t reviewed correctly before selling it and also i bought a renewed iphone but when i got the product the warranty information stated it was refurbished instead  this is the worst purchase i ve ever done      
18,3.0 ,                       el tel fono llego sin detalles la pantalla se ve a perfecto  s lo que parece que vino la bater a fallada porque se drenaba rapid simo no llegaba a dar ni   horas de pantalla encendida  lo termin  devolviendo por ese tema pero por lo dem s es muy buen equipo     
19,5.0 ,                       phone came in excellent condition  has worked great for the months i have owned it thus far  i would use them again      
20,5.0 ,                       the phone arrived quickly and looked like brand new  i ve had it for almost a month now with no issues at all  the price in my opinion is unbeatable and i would most definitely purchase again      
21,5.0 ,                       got my product earlier than expected  came with everything described and looks like new conditioned  i m not much of a picture guy but the camera seems well detailed  haven t had it long enough to accurately state how the battery life is but it seems to be near     capacity so no complaints     
22,4.0 ,                       i love the phone it comes with a screen protector and charger  my only complaint is that there was no sim card included which seemed odd  it wasn t a problem because i had one but thought that it might be helpful to know if you are changing from another brand to apple  but the phone is just what i was hoping for and is not a scam      
23,4.0 ,                       i spent almost a month with this phone and their hasn t been any problems with data  battery  calls  quality  or anything else  i switched from an iphone  s  which doesn t turn on anymore  and it is amazing not having to charge     times a day  this battery is fine throughout the whole day with mild to intense use  with mild use and school going on  the battery can last me almost   days  i ve seen reviews where the battery comes at      but mine was not included in those cases  my phone came at     and that annoys me a little but it s worth the     dollars i save by not buying it from the apple store  i am not sure about waterproofing but my phone came without a scratch or a chip on the aluminum paint  it was like it was new besides for the fact of the battery  i was really happy with it but another annoying thing was that they didn t require a signature with the delivery  my neighbors have stolen airpods that i ve ordered before so i was quite annoyed by the fact that they just left it in the mail box without making me personally accept it or sign for it  beware about that if you live in a shady neighborhood or busy street      
24,5.0 ,                       screen is very easy to break so make sure you put it in a good phone case      
25,5.0 ,                       i thought this was a bit risky looking at the    of bad reviews  trust me it is worth it  my iphone xr came with no scratches  dents  or cracks  it had      batter life and is the best phone i ever had  do not listen to the bad reviews      
26,5.0 ,                       sparkling and solid     
27,5.0 ,                       this is the best phone i have ever bought off amazon  the phone is just like new  the camera quality is amazing  the battery last me through a       hour shift  i would definitely buy again      
28,1.0 ,                       it s fine the screen is scratched up and the back is     
29,1.0 ,                       this item is going back    not worth buying refurbished no more  last two purchased iphones you are unable to hear people on a call  have to put it on speaker   returning      
30,5.0 ,                       this is a great phone  the only thing is that it does come with some scratches but with a screen protector they are not even noticeable the battery life is as good as any other phone if you re on it all day it will die if not it lives idk it is just a phone not over priced at all  also the charging box it comes with is not trust worthy it was sparking anytime i tried to plug it into the wall      
